# Matter power spectrum P(k) at redshift z=2 to z=4
# for k=1.04064e-05 to 16.51 h/Mpc,
# number of wavenumbers equal to 124
# 0:z   1:k (h/Mpc)              2:P (Mpc/h)^3
2.0     1.040638539702e-05      8.312215967735e+00
2.0     1.310086302123e-05      1.038451561170e+01
2.0     1.649300937386e-05      1.297344538993e+01
2.0     2.076346861771e-05      1.620779417407e+01
2.0     2.613965827982e-05      2.024844302907e+01
2.0     3.290788006409e-05      2.529635971661e+01
2.0     4.142856646095e-05      3.160256371380e+01
2.0     5.215547509190e-05      3.948055650740e+01
2.0     6.565985295739e-05      4.932180055458e+01
2.0     8.266085742272e-05      6.161496399356e+01
2.0     1.040638539702e-04      7.696977558386e+01
2.0     1.310086302123e-04      9.614645509089e+01
2.0     1.649300937386e-04      1.200917664418e+02
2.0     2.076346861771e-04      1.499826550701e+02
2.0     2.613965827982e-04      1.872780810186e+02
2.0     3.290788006409e-04      2.337787077622e+02
2.0     4.142856646095e-04      2.916921872634e+02
2.0     5.215547509190e-04      3.636984588865e+02
2.0     6.565985295739e-04      4.530047798932e+02
2.0     8.266085742272e-04      5.633755462300e+02
2.0     1.040638539702e-03      6.991198189337e+02
2.0     1.310086302123e-03      8.650158280462e+02
2.0     1.649300937386e-03      1.066091054445e+03
2.0     2.076346861771e-03      1.307245699505e+03
2.0     2.613965827982e-03      1.592409312435e+03
2.0     3.290788006409e-03      1.923455447761e+03
2.0     4.142856646095e-03      2.298628443937e+03
2.0     5.215547509190e-03      2.710467494541e+03
2.0     6.565985295739e-03      3.143340265004e+03
2.0     8.266085742272e-03      3.570720813722e+03
2.0     1.040638539702e-02      3.952138456681e+03
2.0     1.310086302123e-02      4.232209783049e+03
2.0     1.649300937383e-02      4.342725941613e+03
2.0     2.076346845758e-02      4.216520473637e+03
2.0     2.613953535810e-02      3.822166463289e+03
2.0     3.289074948932e-02      3.219645451642e+03
2.0     4.085496948384e-02      2.615850177497e+03
2.0     4.758645817065e-02      2.269487274410e+03
2.0     5.246534223406e-02      2.099572087525e+03
2.0     5.648595286818e-02      1.993780242845e+03
2.0     6.007449462291e-02      1.913993308152e+03
2.0     6.342071539796e-02      1.844257926200e+03
2.0     6.662494229477e-02      1.776576421496e+03
2.0     6.974728753551e-02      1.706667867087e+03
2.0     7.282721459431e-02      1.632490127190e+03
2.0     7.589252360485e-02      1.553535096526e+03
2.0     7.896394793143e-02      1.470459330996e+03
2.0     8.205770709328e-02      1.384774267661e+03
2.0     8.518701887277e-02      1.298571040495e+03
2.0     8.836304229388e-02      1.214291499809e+03
2.0     9.159549089029e-02      1.134301217411e+03
2.0     9.489304557728e-02      1.060769846030e+03
2.0     9.826364067105e-02      9.953491943082e+02
2.0     1.017146667450e-01      9.390385465018e+02
2.0     1.052531172684e-01      8.920510197348e+02
2.0     1.088856962014e-01      8.538082854669e+02
2.0     1.126188978196e-01      8.229296223460e+02
2.0     1.164590663788e-01      7.973394670820e+02
2.0     1.204124408947e-01      7.744536683006e+02
2.0     1.244851888030e-01      7.514773243036e+02
2.0     1.286834312658e-01      7.258340951038e+02
2.0     1.330132622335e-01      6.956802448556e+02
2.0     1.374807629271e-01      6.603395520503e+02
2.0     1.420920131156e-01      6.205247481506e+02
2.0     1.468531003701e-01      5.782199626759e+02
2.0     1.517701283501e-01      5.362145679873e+02
2.0     1.568492251005e-01      4.974149665561e+02
2.0     1.620965522838e-01      4.641053328230e+02
2.0     1.675183162461e-01      4.373945109511e+02
2.0     1.731207817908e-01      4.169137255360e+02
2.0     1.789102895246e-01      4.009126118512e+02
2.0     1.848932776290e-01      3.868374183960e+02
2.0     1.910763089075e-01      3.718087298991e+02
2.0     1.974661039619e-01      3.536286833954e+02
2.0     2.040695813624e-01      3.319287312824e+02
2.0     2.108939057123e-01      3.082652527155e+02
2.0     2.179465445608e-01      2.851826558452e+02
2.0     2.252353352192e-01      2.649400879928e+02
2.0     2.327685626799e-01      2.487108739806e+02
2.0     2.405550500539e-01      2.361802915173e+02
2.0     2.486042632468e-01      2.255888265816e+02
2.0     2.569264320095e-01      2.147133237189e+02
2.0     2.655326900614e-01      2.022333214817e+02
2.0     2.744352377335e-01      1.883482869841e+02
2.0     2.836475315701e-01      1.745576583416e+02
2.0     2.931845066381e-01      1.625597175986e+02
2.0     3.030628390319e-01      1.528370523000e+02
2.0     3.133012583707e-01      1.445440619693e+02
2.0     3.239209231947e-01      1.363383439351e+02
2.0     3.349458763741e-01      1.274482402842e+02
2.0     3.464036034235e-01      1.183638632864e+02
2.0     3.583257246456e-01      1.100438519741e+02
2.0     3.707488633635e-01      1.029332515832e+02
2.0     3.837157487360e-01      9.648464687476e+01
2.0     3.972766353284e-01      9.000692903433e+01
2.0     4.114911567648e-01      8.346774095883e+01
2.0     4.264307840594e-01      7.735924100305e+01
2.0     4.421821417540e-01      7.184964310529e+01
2.0     4.588515659937e-01      6.664070194398e+01
2.0     4.765715023592e-01      6.147283299027e+01
2.0     4.955097004706e-01      5.653929150182e+01
2.0     5.158827870432e-01      5.196189604542e+01
2.0     5.379769276834e-01      4.750887411218e+01
2.0     5.621804171447e-01      4.319181705398e+01
2.0     5.890372583406e-01      3.906462760256e+01
2.0     6.193396372156e-01      3.501423569321e+01
2.0     6.542969511286e-01      3.105045674460e+01
2.0     6.958662826103e-01      2.710124930429e+01
2.0     7.474500672257e-01      2.311859703440e+01
2.0     8.154878167808e-01      1.901550842536e+01
2.0     9.132176747887e-01      1.471208390648e+01
2.0     1.067681861987e+00      1.027534864367e+01
2.0     1.313696908781e+00      6.332097579693e+00
2.0     1.651041754173e+00      3.678583188647e+00
2.0     2.078484682313e+00      2.109380756659e+00
2.0     2.616656982536e+00      1.199547740869e+00
2.0     3.294175969156e+00      6.770977618986e-01
2.0     4.147121838492e+00      3.796234781449e-01
2.0     5.220917068284e+00      2.115319469348e-01
2.0     6.572745170133e+00      1.172053078168e-01
