# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.355153694524e-10       4.894074928474e-15       3.729087704602e-13       0.000000000000e+00       7.971474183687e-09       4.453925265606e-10      -1.977442869544e-12 
    3       1.283589632884e-10       7.082265912846e-15       4.406769866640e-13       0.000000000000e+00       4.914749193718e-09       3.154561950149e-10      -1.606596721171e-12 
    4       1.214211056124e-10       6.971828771418e-15       4.303522081653e-13       0.000000000000e+00       3.410343400839e-09       2.385893426407e-10      -1.155643539582e-12 
    5       1.161398461214e-10       5.333454568465e-15       3.813394824551e-13       0.000000000000e+00       2.538005342659e-09       1.882167601728e-10      -7.419204540748e-13 
    6       1.124382999206e-10       3.364532747585e-15       3.181134268733e-13       0.000000000000e+00       1.976841891482e-09       1.528460013937e-10      -4.039566425765e-13 
    7       1.099815194301e-10       1.878573163818e-15       2.560847029809e-13       0.000000000000e+00       1.591115570540e-09       1.268374888280e-10      -1.550733263331e-13 
    8       1.085303398244e-10       1.079358983384e-15       2.033056688481e-13       0.000000000000e+00       1.312293098970e-09       1.071239003297e-10       6.463327963305e-15 
    9       1.078363873394e-10       7.713284424031e-16       1.633178152670e-13       0.000000000000e+00       1.102877714926e-09       9.183714179950e-11       9.189074972072e-14 
   10       1.076697001526e-10       6.699795229952e-16       1.367340297731e-13       0.000000000000e+00       9.409907148663e-10       7.971656626643e-11       1.181794633167e-13 
   11       1.079515230818e-10       5.966359774153e-16       1.221355984139e-13       0.000000000000e+00       7.940260794139e-10       7.036332195621e-11       1.046772832305e-13 
   12       1.085820170867e-10       5.090869874255e-16       1.169690059635e-13       0.000000000000e+00       6.926370177177e-10       6.200248515547e-11       6.963887091557e-14 
   13       1.094199221453e-10       4.355978879990e-16       1.184697776975e-13       0.000000000000e+00       6.094871945998e-10       5.527094207398e-11       2.879629145992e-14 
   14       1.105208417048e-10       4.033417801088e-16       1.240755239065e-13       0.000000000000e+00       5.403865941573e-10       4.954836409274e-11      -7.330469704852e-15 
   15       1.117666533928e-10       4.104048511521e-16       1.316278411819e-13       0.000000000000e+00       4.822843207671e-10       4.462940440108e-11      -3.248371953257e-14 
   16       1.131479364539e-10       4.375169379537e-16       1.396623968947e-13       0.000000000000e+00       4.329363708718e-10       4.043653941628e-11      -4.460849016737e-14 
   17       1.146453662418e-10       4.702680793527e-16       1.474131331538e-13       0.000000000000e+00       3.906501693556e-10       3.681699491606e-11      -4.510364570149e-14 
   18       1.162391602392e-10       5.093406351500e-16       1.546388772248e-13       0.000000000000e+00       3.539887356072e-10       3.364239963116e-11      -3.752769787549e-14 
   19       1.179433404725e-10       5.636477529836e-16       1.614968259989e-13       0.000000000000e+00       3.223580368332e-10       3.086334096070e-11      -2.560099643027e-14 
   20       1.197246297503e-10       6.434040294303e-16       1.682928566921e-13       0.000000000000e+00       2.945299861738e-10       2.838319002457e-11      -1.372842556364e-14 
   21       1.215733969658e-10       7.496738803799e-16       1.753523810969e-13       0.000000000000e+00       2.700600884007e-10       2.617999160132e-11      -4.417459822878e-15 
   22       1.234606563039e-10       8.794876972195e-16       1.829762574864e-13       0.000000000000e+00       2.483555431120e-10       2.422042358515e-11       5.828288814238e-16 
   23       1.254029079582e-10       1.030490939304e-15       1.911507975261e-13       0.000000000000e+00       2.291127224957e-10       2.247902153881e-11       1.240277374408e-15 
   24       1.274082733691e-10       1.200365927735e-15       1.996930652008e-13       0.000000000000e+00       2.118816998953e-10       2.091166846351e-11      -1.560237488833e-15 
   25       1.294676632680e-10       1.389788545737e-15       2.083258107024e-13       0.000000000000e+00       1.964558680226e-10       1.950175426916e-11      -6.388585434021e-15 
   26       1.315550717438e-10       1.599929924146e-15       2.166816604091e-13       0.000000000000e+00       1.825521208712e-10       1.822768920374e-11      -1.144982864784e-14 
   27       1.336816881018e-10       1.829787063986e-15       2.243905375264e-13       0.000000000000e+00       1.700008248186e-10       1.707722103744e-11      -1.552774262969e-14 
   28       1.358593224784e-10       2.077875052540e-15       2.310803827079e-13       0.000000000000e+00       1.585828041916e-10       1.603247888384e-11      -1.765151126031e-14 
   29       1.380922487370e-10       2.345296839182e-15       2.365897960013e-13       0.000000000000e+00       1.482378341847e-10       1.508536065031e-11      -1.776850147466e-14 
   30       1.403685829639e-10       2.634193329959e-15       2.408253336128e-13       0.000000000000e+00       1.388528353652e-10       1.422045058126e-11      -1.621444373152e-14 
   31       1.426665695132e-10       2.946905554156e-15       2.437287294158e-13       0.000000000000e+00       1.302339618337e-10       1.341533013556e-11      -1.349429005295e-14 
   32       1.449920313189e-10       3.285255275209e-15       2.453688529934e-13       0.000000000000e+00       1.223353883423e-10       1.266837934913e-11      -1.026777895586e-14 
   33       1.473524900328e-10       3.651018507918e-15       2.458901128006e-13       0.000000000000e+00       1.151000960320e-10       1.197999481257e-11      -7.384371721202e-15 
   34       1.497482344118e-10       4.045844046506e-15       2.454491207864e-13       0.000000000000e+00       1.084254117841e-10       1.134625031508e-11      -5.673097470207e-15 
   35       1.521790458995e-10       4.470294635856e-15       2.440629326686e-13       0.000000000000e+00       1.022761527072e-10       1.076401542116e-11      -5.147315642579e-15 
   36       1.546380798098e-10       4.924450661862e-15       2.417091325557e-13       0.000000000000e+00       9.660190313317e-11       1.022675979249e-11      -5.518401489168e-15 
   37       1.571148096517e-10       5.408347019664e-15       2.383477334166e-13       0.000000000000e+00       9.132758150502e-11       9.725513582837e-12      -6.437216161565e-15 
   38       1.596145525896e-10       5.922668935122e-15       2.338600411005e-13       0.000000000000e+00       8.643895279026e-11       9.258407102645e-12      -7.630281536269e-15 
   39       1.621442830328e-10       6.468273994311e-15       2.280874979315e-13       0.000000000000e+00       8.192001041713e-11       8.823747244726e-12      -8.799429118685e-15 
   40       1.647067827456e-10       7.046004436989e-15       2.208458026139e-13       0.000000000000e+00       7.772698901278e-11       8.417165061633e-12      -9.579938828963e-15 
   41       1.673014608847e-10       7.656645115138e-15       2.119644656166e-13       0.000000000000e+00       7.380347698350e-11       8.033267362287e-12      -9.647112096435e-15 
   42       1.699283070138e-10       8.300783611146e-15       2.014251516177e-13       0.000000000000e+00       7.013748138825e-11       7.671798341041e-12      -9.087764458580e-15 
   43       1.725844044397e-10       8.978902691168e-15       1.892654386822e-13       0.000000000000e+00       6.671887140438e-11       7.333091523303e-12      -8.142630881747e-15 
