# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.355157906754e-10       4.894263068901e-15       3.729087668676e-13       1.881403602143e-19       7.971474183687e-09       4.453925265606e-10      -1.977442869544e-12 
    3       1.283598036611e-10       7.082642287348e-15       4.406769706568e-13       3.763738361538e-19       4.914749193718e-09       3.154561950149e-10      -1.606596721171e-12 
    4       1.214225016830e-10       6.972456269444e-15       4.303521621842e-13       6.274947483017e-19       3.410343400839e-09       2.385893426407e-10      -1.155643539582e-12 
    5       1.161419318300e-10       5.334396201718e-15       3.813393777445e-13       9.416220083624e-19       2.538005342659e-09       1.882167601728e-10      -7.419204540748e-13 
    6       1.124412060778e-10       3.365851678180e-15       3.181132210690e-13       1.318899864761e-18       1.976841891482e-09       1.528460013937e-10      -4.039566425765e-13 
    7       1.099853732744e-10       1.880332730662e-15       2.560843379320e-13       1.759495163010e-18       1.591115570540e-09       1.268374888280e-10      -1.550733263331e-13 
    8       1.085352646700e-10       1.081622726265e-15       2.033050687020e-13       2.263594237933e-18       1.312293098970e-09       1.071239003297e-10       6.463327963305e-15 
    9       1.078425023192e-10       7.741601232286e-16       1.633168848398e-13       2.831399525879e-18       1.102877714926e-09       9.183714179950e-11       9.189074972072e-14 
   10       1.076771200598e-10       6.734431435712e-16       1.367326532145e-13       3.463125991979e-18       9.409907148663e-10       7.971656626643e-11       1.181794633167e-13 
   11       1.079603583096e-10       6.007957931423e-16       1.221336381691e-13       4.158997471339e-18       7.940260794139e-10       7.036332195621e-11       1.046772832305e-13 
   12       1.085923736632e-10       5.140075162876e-16       1.169663020247e-13       4.919243023691e-18       6.926370177177e-10       6.200248515547e-11       6.963887091557e-14 
   13       1.094319018544e-10       4.413439142584e-16       1.184661471314e-13       5.744093398498e-18       6.094871945998e-10       5.527094207398e-11       2.879629145992e-14 
   14       1.105345422866e-10       4.099783521855e-16       1.240707606354e-13       6.633777701868e-18       5.403865941573e-10       4.954836409274e-11      -7.330469704852e-15 
   15       1.117821688081e-10       4.179972732752e-16       1.316217159921e-13       7.588520348190e-18       4.822843207671e-10       4.462940440108e-11      -3.248371953257e-14 
   16       1.131653572014e-10       4.461307553053e-16       1.396546576429e-13       8.608538368326e-18       4.329363708718e-10       4.043653941628e-11      -4.460849016737e-14 
   17       1.146647797100e-10       4.799690566003e-16       1.474035051388e-13       9.694039133066e-18       3.906501693556e-10       3.681699491606e-11      -4.510364570149e-14 
   18       1.162606510858e-10       5.201947286246e-16       1.546270637085e-13       1.084521835882e-17       3.539887356072e-10       3.364239963116e-11      -3.752769787549e-14 
   19       1.179669909708e-10       5.757210757739e-16       1.614825087593e-13       1.206225966087e-17       3.223580368332e-10       3.086334096070e-11      -2.560099643027e-14 
   20       1.197505202029e-10       6.567628124313e-16       1.682756968136e-13       1.334533174819e-17       2.945299861738e-10       2.838319002457e-11      -1.372842556364e-14 
   21       1.216016059816e-10       7.643844269356e-16       1.753320196107e-13       1.469459087309e-17       2.700600884007e-10       2.617999160132e-11      -4.417459822878e-15 
   22       1.234912611529e-10       8.956163338745e-16       1.829523162716e-13       1.611017776920e-17       2.483555431120e-10       2.422042358515e-11       5.828288814238e-16 
   23       1.254359847505e-10       1.048103964796e-15       1.911228800325e-13       1.759222175397e-17       2.291127224957e-10       2.247902153881e-11       1.240277374408e-15 
   24       1.274438973111e-10       1.219529557823e-15       1.996607574398e-13       1.914083761461e-17       2.118816998953e-10       2.091166846351e-11      -1.560237488833e-15 
   25       1.295059086987e-10       1.410568862587e-15       2.082886820630e-13       2.075613173314e-17       1.964558680226e-10       1.950175426916e-11      -6.388585434021e-15 
   26       1.315960122665e-10       1.622392819542e-15       2.166392647523e-13       2.243819823163e-17       1.825521208712e-10       1.822768920374e-11      -1.144982864784e-14 
   27       1.337253965136e-10       1.853998190676e-15       2.243424141951e-13       2.418712506691e-17       1.700008248186e-10       1.707722103744e-11      -1.552774262969e-14 
   28       1.359058707601e-10       2.103899772251e-15       2.310260578037e-13       2.600299154664e-17       1.585828041916e-10       1.603247888384e-11      -1.765151126031e-14 
   29       1.381417077668e-10       2.373200196117e-15       2.365287837394e-13       2.788587884468e-17       1.482378341847e-10       1.508536065031e-11      -1.776850147466e-14 
   30       1.404210224136e-10       2.664040002291e-15       2.407571378609e-13       2.983586166387e-17       1.388528353652e-10       1.422045058126e-11      -1.621444373152e-14 
   31       1.427220577357e-10       2.978759808991e-15       2.436528454970e-13       3.185300872430e-17       1.302339618337e-10       1.341533013556e-11      -1.349429005295e-14 
   32       1.450506349571e-10       3.319180970712e-15       2.452847700295e-13       3.393739701847e-17       1.223353883423e-10       1.266837934913e-11      -1.026777895586e-14 
   33       1.474142737639e-10       3.687079063815e-15       2.457973159238e-13       3.608910299072e-17       1.151000960320e-10       1.197999481257e-11      -7.384371721202e-15 
   34       1.498132607264e-10       4.084102414283e-15       2.453470936572e-13       3.830820155488e-17       1.084254117841e-10       1.134625031508e-11      -5.673097470207e-15 
   35       1.522473748341e-10       4.510813313395e-15       2.439511611011e-13       4.059477492470e-17       1.022761527072e-10       1.076401542116e-11      -5.147315642579e-15 
   36       1.547097686658e-10       4.967291679245e-15       2.415871076728e-13       4.294890745034e-17       9.660190313317e-11       1.022675979249e-11      -5.518401489168e-15 
   37       1.571899127875e-10       5.453571920976e-15       2.382149551810e-13       4.537068402976e-17       9.132758150502e-11       9.725513582837e-12      -6.437216161565e-15 
   38       1.596931215045e-10       5.970338785512e-15       2.337160236075e-13       4.786019126248e-17       8.643895279026e-11       9.258407102645e-12      -7.630281536269e-15 
   39       1.622263662196e-10       6.518449371420e-15       2.279317738306e-13       5.041751738549e-17       8.192001041713e-11       8.823747244726e-12      -8.799429118685e-15 
   40       1.647924254429e-10       7.098745416861e-15       2.206779273095e-13       5.304275251028e-17       7.772698901278e-11       8.417165061633e-12      -9.579938828963e-15 
   41       1.673907049956e-10       7.712011250637e-15       2.117840221053e-13       5.573598610229e-17       7.380347698350e-11       8.033267362287e-12      -9.647112096435e-15 
   42       1.700211916334e-10       8.358833882676e-15       2.012317570084e-13       5.849729740620e-17       7.013748138825e-11       7.671798341041e-12      -9.087764458580e-15 
   43       1.726809659419e-10       9.039695477709e-15       1.890587499139e-13       6.132676262223e-17       6.671887140438e-11       7.333091523303e-12      -8.142630881747e-15 
   44       1.753626153815e-10       9.755006484920e-15       1.753222026866e-13       6.422445780477e-17       6.352226225100e-11       7.016256657950e-12      -7.109421976744e-15 
   45       1.780578843835e-10       1.050513512406e-14       1.600819411949e-13       6.719045311220e-17       6.051598248892e-11       6.719673460337e-12      -6.278809646390e-15 
   46       1.807708631705e-10       1.129051565658e-14       1.433408989611e-13       7.022479298214e-17       5.769502815598e-11       6.442892820640e-12      -5.711466021985e-15 
   47       1.835080653197e-10       1.211156576952e-14       1.250887101445e-13       7.332751040802e-17       5.505589949616e-11       6.185127881890e-12      -5.400212417142e-15 
   48       1.862745619080e-10       1.296865398364e-14       1.053182814905e-13       7.649863227901e-17       5.258666805010e-11       5.944638783443e-12      -5.331245595504e-15 
   49       1.890738169008e-10       1.386209763207e-14       8.402585142634e-14       7.973817925867e-17       5.026635118874e-11       5.718663533321e-12      -5.483689063614e-15 
   50       1.919076538934e-10       1.479216110925e-14       6.120415713497e-14       8.304616077565e-17       4.807118210311e-11       5.504172721365e-12      -5.825926309129e-15 
   51       1.947765275904e-10       1.575905474734e-14       3.681961214169e-14       8.642255867455e-17       4.599687725243e-11       5.300535543053e-12      -6.304468152229e-15 
   52       1.976790414762e-10       1.676293214070e-14       1.082903599135e-14       8.986733891747e-17       4.404133200608e-11       5.107457946317e-12      -6.851287944812e-15 
   53       2.006116682313e-10       1.780388788769e-14      -1.681425411108e-14       9.338045574095e-17       4.219795962493e-11       4.924192400877e-12      -7.386189607674e-15 
   54       2.035685913032e-10       1.888195558203e-14      -4.616070853565e-14       9.696185130458e-17       4.045539028699e-11       4.749507539564e-12      -7.816207485514e-15 
   55       2.065439205124e-10       1.999712286472e-14      -7.725643097941e-14       1.006114581170e-16       3.880090613776e-11       4.582087281331e-12      -8.060711785244e-15 
   56       2.095393463616e-10       2.114938556044e-14      -1.101158675845e-13       1.043292078248e-16       3.723243523352e-11       4.421913857781e-12      -8.135403168780e-15 
   57       2.125581097191e-10       2.233870347144e-14      -1.447427977907e-13       1.081150239915e-16       3.574900997083e-11       4.269175184508e-12      -8.088133019205e-15 
   58       2.156027298800e-10       2.356498318034e-14      -1.811380594873e-13       1.119688192734e-16       3.434714007982e-11       4.123852152169e-12      -7.975418649863e-15 
   59       2.186749386314e-10       2.482807670618e-14      -2.192994877746e-13       1.158904951765e-16       3.302065720923e-11       3.985705000858e-12      -7.862844675590e-15 
   60       2.217756143174e-10       2.612778016038e-14      -2.592218537255e-13       1.198799418135e-16       3.176055951149e-11       3.854259694480e-12      -7.825464383957e-15 
   61       2.249051935305e-10       2.746383494383e-14      -3.008976962453e-13       1.239370515704e-16       3.055749224789e-11       3.728964457640e-12      -7.928940451276e-15 
   62       2.280651633356e-10       2.883593469257e-14      -3.443201743802e-13       1.280617642429e-16       2.941019184919e-11       3.609731270346e-12      -8.167112373024e-15 
   63       2.312567885131e-10       3.024371751332e-14      -3.894807494855e-13       1.322540316465e-16       2.831867005420e-11       3.496492291839e-12      -8.511063837546e-15 
   64       2.344806137150e-10       3.168676234154e-14      -4.363683163737e-13       1.365138047938e-16       2.728167478552e-11       3.389032359822e-12      -8.926941189008e-15 
   65       2.377364126844e-10       3.316458767815e-14      -4.849691704136e-13       1.408410340931e-16       2.629661837345e-11       3.286980763968e-12      -9.375743672610e-15 
   66       2.410231374758e-10       3.467665032604e-14      -5.352669746294e-13       1.452356695464e-16       2.535950578004e-11       3.189803019422e-12      -9.813113679796e-15 
   67       2.443388676745e-10       3.622234412680e-14      -5.872427267994e-13       1.496976609478e-16       2.446486282302e-11       3.096792640304e-12      -1.018912699347e-14 
   68       2.476816875467e-10       3.780097254732e-14      -6.408760203449e-13       1.542269734270e-16       2.360718736251e-11       3.007255778593e-12      -1.045936428274e-14 
   69       2.510526373877e-10       3.941166281360e-14      -6.961491972159e-13       1.588236372963e-16       2.278580475718e-11       2.921126973864e-12      -1.062119950847e-14 
   70       2.544532717180e-10       4.105343202867e-14      -7.530439812509e-13       1.634877087064e-16       2.200087183024e-11       2.838463965484e-12      -1.068452147556e-14 
   71       2.578847577039e-10       4.272520988561e-14      -8.115402590266e-13       1.682192557742e-16       2.125190871961e-11       2.759262631744e-12      -1.066118052839e-14 
   72       2.613478481086e-10       4.442583673535e-14      -8.716160800466e-13       1.730183591739e-16       2.053776605242e-11       2.683453695980e-12      -1.056506731907e-14 
   73       2.648428542448e-10       4.615406165449e-14      -9.332476569290e-13       1.778851127274e-16       1.985659211939e-11       2.610899432698e-12      -1.041219157561e-14 
   74       2.683696189268e-10       4.790854051314e-14      -9.964093655955e-13       1.828196239949e-16       1.920580004932e-11       2.541390373697e-12      -1.022076087019e-14 
   75       2.719274894221e-10       4.968783404274e-14      -1.061073745459e-12       1.878220148657e-16       1.858203498350e-11       2.474642014184e-12      -1.001125938732e-14 
   76       2.755157208230e-10       5.149051271901e-14      -1.127210822716e-12       1.928924208229e-16       1.798200097270e-11       2.410367426148e-12      -9.802508393486e-15 
   77       2.791348308680e-10       5.331549776247e-14      -1.194785937344e-12       1.980309872780e-16       1.740518831359e-11       2.348517666677e-12      -9.598844151835e-15 
   78       2.827854441858e-10       5.516177909950e-14      -1.263761518347e-12       2.032378736378e-16       1.685158622854e-11       2.289079428621e-12      -9.400734081177e-15 
   79       2.864678658667e-10       5.702831431779e-14      -1.334097712027e-12       2.085132551256e-16       1.632085231383e-11       2.232001313305e-12      -9.208584054883e-15 
   80       2.901820632411e-10       5.891402892443e-14      -1.405752368295e-12       2.138573233442e-16       1.581229734345e-11       2.177192093189e-12      -9.022734770633e-15 
   81       2.939276476576e-10       6.081781660409e-14      -1.478681026976e-12       2.192702868396e-16       1.532487007278e-11       2.124518974527e-12      -8.843458120166e-15 
   82       2.977038562609e-10       6.273853947720e-14      -1.552836904116e-12       2.247523716645e-16       1.485714204239e-11       2.073805860031e-12      -8.670953559033e-15 
   83       3.015095337706e-10       6.467502835806e-14      -1.628170878297e-12       2.303038219416e-16       1.440729238176e-11       2.024831611533e-12      -8.505344476344e-15 
   84       3.053435759561e-10       6.662603729892e-14      -1.704632996738e-12       2.359248882709e-16       1.397354688637e-11       1.977384450858e-12      -8.346749360009e-15 
   85       3.092063844503e-10       6.859009799841e-14      -1.782177310509e-12       2.416157895078e-16       1.355561216977e-11       1.931439330117e-12      -8.195516799713e-15 
   86       3.130986208259e-10       7.056564161818e-14      -1.860757819522e-12       2.473767456524e-16       1.315345250740e-11       1.887006917042e-12      -8.052022967712e-15 
   87       3.170207560334e-10       7.255104184844e-14      -1.940327035670e-12       2.532079897959e-16       1.276684925214e-11       1.844079289009e-12      -7.916597948995e-15 
   88       3.209730599390e-10       7.454461439781e-14      -2.020835994678e-12       2.591097684802e-16       1.239539327289e-11       1.802629139198e-12      -7.789523368100e-15 
   89       3.249555908623e-10       7.654461648313e-14      -2.102234267956e-12       2.650823420569e-16       1.203847739318e-11       1.762608982754e-12      -7.671030015936e-15 
   90       3.289681851142e-10       7.854924631937e-14      -2.184469974450e-12       2.711259850463e-16       1.169528882974e-11       1.723950362948e-12      -7.561295476595e-15 
   91       3.330104465346e-10       8.055664260944e-14      -2.267489792491e-12       2.772409864967e-16       1.136480163107e-11       1.686563057337e-12      -7.460441754171e-15 
   92       3.370817360302e-10       8.256488403407e-14      -2.351238971646e-12       2.834276503436e-16       1.104576911609e-11       1.650334283927e-12      -7.368532899578e-15 
   93       3.411814024393e-10       8.457205485776e-14      -2.435661434118e-12       2.896862983947e-16       1.073701759164e-11       1.615156709468e-12      -7.285483004592e-15 
   94       3.453095375697e-10       8.657645414192e-14      -2.520700070637e-12       2.960172790190e-16       1.043839446092e-11       1.581019017232e-12      -7.210769509651e-15 
   95       3.494663159030e-10       8.857641720059e-14      -2.606296511190e-12       3.024209604346e-16       1.014994939391e-11       1.547927556284e-12      -7.143672189118e-15 
   96       3.536517563326e-10       9.057025268010e-14      -2.692391052339e-12       3.088977285892e-16       9.871642373953e-12       1.515878359910e-12      -7.083355386841e-15 
   97       3.578657150142e-10       9.255624295644e-14      -2.778922670309e-12       3.154479875554e-16       9.603340272022e-12       1.484856747133e-12      -7.028864412599e-15 
   98       3.621078782158e-10       9.453264453269e-14      -2.865829034060e-12       3.220721599255e-16       9.344813420885e-12       1.454836924242e-12      -6.979121938541e-15 
   99       3.663777551684e-10       9.649768843647e-14      -2.953046518375e-12       3.287706872072e-16       9.095732189309e-12       1.425781586312e-12      -6.932924395630e-15 
  100       3.706746709166e-10       9.844958061730e-14      -3.040510216934e-12       3.355440302183e-16       8.855663556255e-12       1.397641518727e-12      -6.888938370088e-15 
  101       3.749977591689e-10       1.003865023441e-13      -3.128153955394e-12       3.423926694825e-16       8.624067685072e-12       1.370355198705e-12      -6.845696999835e-15 
  102       3.793459551482e-10       1.023066106024e-13      -3.215910304474e-12       3.493171056239e-16       8.400294497696e-12       1.343848396819e-12      -6.801596370934e-15 
  103       3.837179884421e-10       1.042080384922e-13      -3.303710593033e-12       3.563178597629e-16       8.183580248841e-12       1.318033778521e-12      -6.754891914034e-15 
  104       3.881126496394e-10       1.060889333329e-13      -3.391485834495e-12       3.633954731265e-16       7.973219559844e-12       1.292831742074e-12      -6.704086379491e-15 
  105       3.925296466583e-10       1.079475759874e-13      -3.479169620496e-12       3.705505049712e-16       7.769115365577e-12       1.268236996425e-12      -6.649161212720e-15 
  106       3.969688513052e-10       1.097822784728e-13      -3.566695644330e-12       3.777835351149e-16       7.571297216507e-12       1.244260276028e-12      -6.590505576009e-15 
  107       4.014300317280e-10       1.115913484941e-13      -3.653996845351e-12       3.850951650783e-16       7.379750973422e-12       1.220907744437e-12      -6.528540314912e-15 
  108       4.059128482751e-10       1.133730902560e-13      -3.741005432085e-12       3.924860184717e-16       7.194417309744e-12       1.198180829203e-12      -6.463718657750e-15 
  109       4.104168493544e-10       1.151258052742e-13      -3.827652905348e-12       3.999567413811e-16       7.015190213866e-12       1.176076056760e-12      -6.396526915123e-15 
  110       4.149414672924e-10       1.168477931878e-13      -3.913870081365e-12       4.075080027551e-16       6.841915491466e-12       1.154584887315e-12      -6.327485179405e-15 
  111       4.194860141935e-10       1.185373525709e-13      -3.999587114883e-12       4.151404947913e-16       6.674389267834e-12       1.133693549743e-12      -6.257148024260e-15 
