# Matter power spectrum P(k) at redshift z=5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.984537356233e+00 
       2.373043761528e-05       4.443230893851e+00 
       3.705205197341e-05       6.883061596407e+00 
       5.046040160262e-05       9.320533892760e+00 
       6.399420676399e-05       1.176689946745e+01 
       7.769321405898e-05       1.423166225247e+01 
       9.159857522556e-05       1.672363055706e+01 
       1.057532435558e-04       1.925138347210e+01 
       1.202023933008e-04       2.182353537499e+01 
       1.349938674647e-04       2.444891654871e+01 
       1.501786593808e-04       2.713671518385e+01 
       1.658114333596e-04       2.989660193543e+01 
       1.819510894196e-04       3.273884672675e+01 
       1.986613765579e-04       3.567443432529e+01 
       2.160115580438e-04       3.871518137151e+01 
       2.340771306401e-04       4.187385647244e+01 
       2.529405972213e-04       4.516430403886e+01 
       2.726922886571e-04       4.860157153110e+01 
       2.934312256600e-04       5.220203750434e+01 
       3.152660040981e-04       5.598353751415e+01 
       3.383156775180e-04       5.996548263681e+01 
       3.627105977775e-04       6.416896246966e+01 
       3.885931583209e-04       6.861682195198e+01 
       4.161183645581e-04       7.333369817311e+01 
       4.454541324261e-04       7.834599814429e+01 
       4.767811907995e-04       8.368179651129e+01 
       5.102924387431e-04       8.937062514786e+01 
       5.461915893473e-04       9.544312804993e+01 
       5.846909251320e-04       1.019305519589e+02 
       6.260080050474e-04       1.088640508185e+02 
       6.703612104985e-04       1.162737889249e+02 
       7.179641068864e-04       1.241878508492e+02 
       7.690187318622e-04       1.326309879274e+02 
       8.237080952403e-04       1.416232690850e+02 
       8.821883665213e-04       1.511787309254e+02 
       9.445813962622e-04       1.613041549504e+02 
       1.010968318642e-03       1.719981141740e+02 
       1.081384969221e-03       1.832504140587e+02 
       1.155819700313e-03       1.950420231272e+02 
       1.234213899658e-03       2.073455289136e+02 
       1.316465168833e-03       2.201260785227e+02 
       1.402432774394e-03       2.333427075141e+02 
       1.491944724558e-03       2.469499177500e+02 
       1.584805697329e-03       2.608993291555e+02 
       1.680805061300e-03       2.751412633778e+02 
       1.779724358910e-03       2.896261582349e+02 
       1.881343813733e-03       3.043057214207e+02 
       1.985447627100e-03       3.191338027171e+02 
       2.091828006459e-03       3.340670106821e+02 
       2.200287998256e-03       3.490650799187e+02 
       2.310643277916e-03       3.640905785501e+02 
       2.422723085604e-03       3.791103142613e+02 
       2.536370500476e-03       3.940940591421e+02 
       2.651442230081e-03       4.090146964929e+02 
       2.767808065318e-03       4.238480840194e+02 
       2.885350122018e-03       4.385729540402e+02 
       3.003961962113e-03       4.531705768685e+02 
       3.123547662764e-03       4.676246695689e+02 
       3.244020881646e-03       4.819211091653e+02 
       3.365303950641e-03       4.960477327779e+02 
       3.487327018288e-03       5.099941415818e+02 
       3.610027252458e-03       5.237514903339e+02 
       3.733348108622e-03       5.373124032621e+02 
       3.857238664757e-03       5.506706276244e+02 
       3.981653021215e-03       5.638210168792e+02 
       4.106549762154e-03       5.767594703348e+02 
       4.231891474164e-03       5.894825615165e+02 
       4.357644317282e-03       6.019878631552e+02 
       4.483777643502e-03       6.142733586463e+02 
       4.610263657980e-03       6.263378995912e+02 
       4.737077118433e-03       6.381806223395e+02 
       4.864195068510e-03       6.498012929075e+02 
       4.991596601329e-03       6.612001360205e+02 
       5.119262649698e-03       6.723775079853e+02 
       5.247175799933e-03       6.833344035458e+02 
       5.375320126495e-03       6.940717289268e+02 
       5.503681045008e-03       7.045908520634e+02 
       5.632245181484e-03       7.148934629780e+02 
       5.761000255846e-03       7.249810986735e+02 
       5.889934978076e-03       7.348556298661e+02 
       6.019038955502e-03       7.445190233746e+02 
       6.148302609931e-03       7.539732800329e+02 
       6.277717103485e-03       7.632206805573e+02 
       6.407274272154e-03       7.722636208107e+02 
       6.536966566162e-03       7.811040761614e+02 
       6.666786996400e-03       7.897446405431e+02 
       6.796729086234e-03       7.981875844476e+02 
       6.926786828089e-03       8.064354010190e+02 
       7.056954644300e-03       8.144907708439e+02 
       7.187227351743e-03       8.223560405978e+02 
       7.317600129859e-03       8.300335970354e+02 
       7.448068491705e-03       8.375260673671e+02 
       7.578628257697e-03       8.448359925064e+02 
       7.709275531791e-03       8.519653705466e+02 
       7.840006679834e-03       8.589173139920e+02 
       7.970818309857e-03       8.656940535741e+02 
       8.101707254141e-03       8.722977288272e+02 
       8.232670552846e-03       8.787313244539e+02 
       8.363705439076e-03       8.849971927978e+02 
       8.494809325229e-03       8.910971650176e+02 
       8.625979790500e-03       8.970341552697e+02 
       8.757214569446e-03       9.028105155636e+02 
       8.888511541496e-03       9.084284780826e+02 
       9.019868721331e-03       9.138901856377e+02 
       9.151284250039e-03       9.191982303719e+02 
       9.282756386994e-03       9.243545412819e+02 
       9.414283502372e-03       9.293615517949e+02 
