# Matter power spectrum P(k) at redshift z=5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.984450082557e+00 
       2.373043761528e-05       4.443035868944e+00 
       3.705205197341e-05       6.882760515544e+00 
       5.046040160262e-05       9.320128221307e+00 
       6.399420676399e-05       1.176639070239e+01 
       7.769321405898e-05       1.423105204551e+01 
       9.159857522556e-05       1.672292080902e+01 
       1.057532435558e-04       1.925057642692e+01 
       1.202023933008e-04       2.182263372338e+01 
       1.349938674647e-04       2.444792355214e+01 
       1.501786593808e-04       2.713563482376e+01 
       1.658114333596e-04       2.989543909644e+01 
       1.819510894196e-04       3.273760742190e+01 
       1.986613765579e-04       3.567312597546e+01 
       2.160115580438e-04       3.871381315264e+01 
       2.340771306401e-04       4.187243974745e+01 
       2.529405972213e-04       4.516285289393e+01 
       2.726922886571e-04       4.860010345007e+01 
       2.934312256600e-04       5.220057420907e+01 
       3.152660040981e-04       5.598210601846e+01 
       3.383156775180e-04       5.996411656636e+01 
       3.627105977775e-04       6.416770372062e+01 
       3.885931583209e-04       6.861572276308e+01 
       4.161183645581e-04       7.333282372415e+01 
       4.454541324261e-04       7.834542979507e+01 
       4.767811907995e-04       8.368163584056e+01 
       5.102924387431e-04       8.937099894522e+01 
       5.461915893473e-04       9.544419446286e+01 
       5.846909251320e-04       1.019325079838e+02 
       6.260080050474e-04       1.088671413531e+02 
       6.703612104985e-04       1.162783175371e+02 
       7.179641068864e-04       1.241941924088e+02 
       7.690187318622e-04       1.326396031168e+02 
       8.237080952403e-04       1.416347207141e+02 
       8.821883665213e-04       1.511937017624e+02 
       9.445813962622e-04       1.613234666233e+02 
       1.010968318642e-03       1.720227464634e+02 
       1.081384969221e-03       1.832815237495e+02 
       1.155819700313e-03       1.950809614566e+02 
       1.234213899658e-03       2.073938566418e+02 
       1.316465168833e-03       2.201855777136e+02 
       1.402432774394e-03       2.334153892885e+02 
       1.491944724558e-03       2.470380255314e+02 
       1.584805697329e-03       2.610053371675e+02 
       1.680805061300e-03       2.752678704308e+02 
       1.779724358910e-03       2.897762771053e+02 
       1.881343813733e-03       3.044824642617e+02 
       1.985447627100e-03       3.193404630634e+02 
       2.091828006459e-03       3.343070427144e+02 
       2.200287998256e-03       3.493420756141e+02 
       2.310643277916e-03       3.644082420400e+02 
       2.422723085604e-03       3.794724390310e+02 
       2.536370500476e-03       3.945045016889e+02 
       2.651442230081e-03       4.094773507769e+02 
       2.767808065318e-03       4.243668566937e+02 
       2.885350122018e-03       4.391517406659e+02 
       3.003961962113e-03       4.538132391385e+02 
       3.123547662764e-03       4.683350142509e+02 
       3.244020881646e-03       4.827028685021e+02 
       3.365303950641e-03       4.969045467239e+02 
       3.487327018288e-03       5.109295419689e+02 
       3.610027252458e-03       5.247688869859e+02 
       3.733348108622e-03       5.384150724496e+02 
