# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.516401306224e+00 
       2.373043761528e-05       7.872954689434e+00 
       3.705205197341e-05       1.219607291782e+01 
       5.046040160262e-05       1.651499333020e+01 
       6.399420676399e-05       2.084964545960e+01 
       7.769321405898e-05       2.521686134664e+01 
       9.159857522556e-05       2.963223977325e+01 
       1.057532435558e-04       3.411097207007e+01 
       1.202023933008e-04       3.866831092775e+01 
       1.349938674647e-04       4.331988969794e+01 
       1.501786593808e-04       4.808197393605e+01 
       1.658114333596e-04       5.297168127056e+01 
       1.819510894196e-04       5.800718816585e+01 
       1.986613765579e-04       6.320793383739e+01 
       2.160115580438e-04       6.859482662568e+01 
       2.340771306401e-04       7.419045597585e+01 
       2.529405972213e-04       8.001931064288e+01 
       2.726922886571e-04       8.610800245694e+01 
       2.934312256600e-04       9.248549151950e+01 
       3.152660040981e-04       9.918330710672e+01 
       3.383156775180e-04       1.062357550337e+02 
       3.627105977775e-04       1.136800969914e+02 
       3.885931583209e-04       1.215566833473e+02 
       4.161183645581e-04       1.299090140618e+02 
       4.454541324261e-04       1.387836951372e+02 
       4.767811907995e-04       1.482302520526e+02 
       5.102924387431e-04       1.583007528989e+02 
       5.461915893473e-04       1.690491922096e+02 
       5.846909251320e-04       1.805305863752e+02 
       6.260080050474e-04       1.927997400753e+02 
       6.703612104985e-04       2.059096617164e+02 
       7.179641068864e-04       2.199096405925e+02 
       7.690187318622e-04       2.348430435815e+02 
       8.237080952403e-04       2.507449490211e+02 
       8.821883665213e-04       2.676397914787e+02 
       9.445813962622e-04       2.855392367775e+02 
       1.010968318642e-03       3.044405415903e+02 
       1.081384969221e-03       3.243256085025e+02 
       1.155819700313e-03       3.451608996342e+02 
       1.234213899658e-03       3.668982614128e+02 
       1.316465168833e-03       3.894765810718e+02 
       1.402432774394e-03       4.128241003878e+02 
       1.491944724558e-03       4.368611398852e+02 
       1.584805697329e-03       4.615029349969e+02 
       1.680805061300e-03       4.866623442643e+02 
       1.779724358910e-03       5.122522687631e+02 
       1.881343813733e-03       5.381876375249e+02 
       1.985447627100e-03       5.643869319061e+02 
       2.091828006459e-03       5.907732996768e+02 
       2.200287998256e-03       6.172752604987e+02 
       2.310643277916e-03       6.438262687948e+02 
       2.422723085604e-03       6.703672814938e+02 
       2.536370500476e-03       6.968445734327e+02 
       2.651442230081e-03       7.232100459259e+02 
       2.767808065318e-03       7.494209567257e+02 
