# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.516323201246e+00 
       2.373043761528e-05       7.872780374996e+00 
       3.705205197341e-05       1.219580442391e+01 
       5.046040160262e-05       1.651463277487e+01 
       6.399420676399e-05       2.084919530107e+01 
       7.769321405898e-05       2.521632452107e+01 
       9.159857522556e-05       2.963161981662e+01 
       1.057532435558e-04       3.411027325193e+01 
       1.202023933008e-04       3.866753840730e+01 
       1.349938674647e-04       4.331904971295e+01 
       1.501786593808e-04       4.808107403513e+01 
       1.658114333596e-04       5.297073059704e+01 
       1.819510894196e-04       5.800619780980e+01 
       1.986613765579e-04       6.320691726942e+01 
       2.160115580438e-04       6.859380023479e+01 
       2.340771306401e-04       7.418943973680e+01 
       2.529405972213e-04       8.001832894319e+01 
       2.726922886571e-04       8.610708513066e+01 
       2.934312256600e-04       9.248467513241e+01 
       3.152660040981e-04       9.918263656267e+01 
       3.383156775180e-04       1.062352855804e+02 
       3.627105977775e-04       1.136798967303e+02 
       3.885931583209e-04       1.215568363649e+02 
       4.161183645581e-04       1.299096243423e+02 
       4.454541324261e-04       1.387848914320e+02 
       4.767811907995e-04       1.482321939319e+02 
       5.102924387431e-04       1.583036382230e+02 
       5.461915893473e-04       1.690532663073e+02 
       5.846909251320e-04       1.805361532172e+02 
       6.260080050474e-04       1.928071757458e+02 
       6.703612104985e-04       2.059194304299e+02 
       7.179641068864e-04       2.199223134491e+02 
       7.690187318622e-04       2.348593201015e+02 
       8.237080952403e-04       2.507656813227e+02 
       8.821883665213e-04       2.676660106986e+02 
       9.445813962622e-04       2.855721810401e+02 
       1.010968318642e-03       3.044816845509e+02 
       1.081384969221e-03       3.243766872072e+02 
       1.155819700313e-03       3.452239402844e+02 
       1.234213899658e-03       3.669756015818e+02 
       1.316465168833e-03       3.895708870254e+02 
       1.402432774394e-03       4.129383784210e+02 
       1.491944724558e-03       4.369987409487e+02 
       1.584805697329e-03       4.616675522918e+02 
       1.680805061300e-03       4.868580038553e+02 
       1.779724358910e-03       5.124833136933e+02 
       1.881343813733e-03       5.384587061154e+02 
       1.985447627100e-03       5.647029311062e+02 
       2.091828006459e-03       5.911393744809e+02 
       2.200287998256e-03       6.176967603792e+02 
       2.310643277916e-03       6.443087102513e+02 
       2.422723085604e-03       6.709163147009e+02 
       2.536370500476e-03       6.974659439933e+02 
       2.651442230081e-03       7.239095578247e+02 
       2.767808065318e-03       7.502044364609e+02 
       2.885350122018e-03       7.763130629761e+02 
       3.003961962113e-03       8.022024116494e+02 
       3.123547662764e-03       8.278437750152e+02 
       3.244020881646e-03       8.532122057216e+02 
       3.365303950641e-03       8.782861355756e+02 
       3.487327018288e-03       9.030470204678e+02 
       3.610027252458e-03       9.274789799781e+02 
       3.733348108622e-03       9.515686773383e+02 
       3.857238664757e-03       9.753047366546e+02 
       3.981653021215e-03       9.986777490130e+02 
       4.106549762154e-03       1.021680180769e+03 
       4.231891474164e-03       1.044305729774e+03 
       4.357644317282e-03       1.066549895139e+03 
       4.483777643502e-03       1.088408923864e+03 
       4.610263657980e-03       1.109880605376e+03 
       4.737077118433e-03       1.130963224445e+03 
       4.864195068510e-03       1.151656164179e+03 
       4.991596601329e-03       1.171959606503e+03 
       5.119262649698e-03       1.191873950380e+03 
       5.247175799933e-03       1.211400729283e+03 
       5.375320126495e-03       1.230541326917e+03 
       5.503681045008e-03       1.249297962992e+03 
       5.632245181484e-03       1.267673450465e+03 
       5.761000255846e-03       1.285670351901e+03 
       5.889934978076e-03       1.303291837135e+03 
