# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380698533252e-10       4.986328932780e-15       3.799381535038e-13       0.000000000000e+00       8.121737599025e-09       4.537882386541e-10      -2.014717947198e-12 
    3       1.307785478933e-10       7.215767626566e-15       4.489838101638e-13       0.000000000000e+00       5.007392910847e-09       3.214025888889e-10      -1.636881296500e-12 
    4       1.237099106192e-10       7.103248729408e-15       4.384644081307e-13       0.000000000000e+00       3.474628856086e-09       2.430867854803e-10      -1.177427583684e-12 
    5       1.183290986401e-10       5.433990941104e-15       3.885277856116e-13       0.000000000000e+00       2.585847102181e-09       1.917646727114e-10      -7.559057595239e-13 
    6       1.145577777702e-10       3.427954665542e-15       3.241099099435e-13       0.000000000000e+00       2.014105640615e-09       1.557271701287e-10      -4.115712823989e-13 
    7       1.120546866201e-10       1.913984533542e-15       2.609119358364e-13       0.000000000000e+00       1.621108323990e-09       1.292283934242e-10      -1.579964804582e-13 
    8       1.105761520737e-10       1.099705052817e-15       2.071380094485e-13       0.000000000000e+00       1.337030009412e-09       1.091432009957e-10       6.585162609173e-15 
    9       1.098691184862e-10       7.858680925898e-16       1.663963791740e-13       0.000000000000e+00       1.123667115773e-09       9.356828490600e-11       9.362290334411e-14 
   10       1.096992892224e-10       6.826087317227e-16       1.393114855652e-13       0.000000000000e+00       9.587285228751e-10       8.121923481057e-11       1.204071629080e-13 
   11       1.099864245536e-10       6.078826499397e-16       1.244378717110e-13       0.000000000000e+00       8.089935832672e-10       7.168968052278e-11       1.066504648182e-13 
   12       1.106288034597e-10       5.186833491112e-16       1.191738882625e-13       0.000000000000e+00       7.056933234240e-10       6.317124076632e-11       7.095157347759e-14 
   13       1.114825031471e-10       4.438089697709e-16       1.207029497559e-13       0.000000000000e+00       6.209761143849e-10       5.631280714606e-11       2.933910562505e-14 
   14       1.126041751960e-10       4.109448296867e-16       1.264143650734e-13       0.000000000000e+00       5.505729578549e-10       5.048235776084e-11      -7.468650095142e-15 
   15       1.138734706103e-10       4.181410406178e-16       1.341090445972e-13       0.000000000000e+00       4.913754483970e-10       4.547067498357e-11      -3.309604223818e-14 
   16       1.152807910525e-10       4.457641940886e-16       1.422950528211e-13       0.000000000000e+00       4.410972826696e-10       4.119877390104e-11      -4.544936651359e-14 
   17       1.168064476036e-10       4.791326991331e-16       1.501918915544e-13       0.000000000000e+00       3.980139802765e-10       3.751100047527e-11      -4.595385579953e-14 
   18       1.184302848431e-10       5.189417781311e-16       1.575538419227e-13       0.000000000000e+00       3.606614733190e-10       3.427656362043e-11      -3.823510028596e-14 
   19       1.201665891147e-10       5.742725928137e-16       1.645410640008e-13       0.000000000000e+00       3.284345314012e-10       3.144511930114e-11      -2.608357883235e-14 
   20       1.219814559473e-10       6.555322863470e-16       1.714652008333e-13       0.000000000000e+00       3.000819180526e-10       2.891821716924e-11      -1.398720832639e-14 
   21       1.238650726862e-10       7.638053390110e-16       1.786577982712e-13       0.000000000000e+00       2.751507592471e-10       2.667348814423e-11      -4.500729565062e-15 
   22       1.257879071296e-10       8.960661646506e-16       1.864253858084e-13       0.000000000000e+00       2.530370802112e-10       2.467698199392e-11       5.938152882366e-16 
   23       1.277667705022e-10       1.049915839196e-15       1.947540170836e-13       0.000000000000e+00       2.334315297058e-10       2.290275427281e-11       1.263656778261e-15 
   24       1.298099373346e-10       1.222992995176e-15       2.034573077116e-13       0.000000000000e+00       2.158756998934e-10       2.130585637046e-11      -1.589648186078e-15 
   25       1.319081470242e-10       1.415986256307e-15       2.122527816864e-13       0.000000000000e+00       2.001590889090e-10       1.986936509421e-11      -6.509011172645e-15 
   26       1.340349034449e-10       1.630088829408e-15       2.207661403414e-13       0.000000000000e+00       1.859932541581e-10       1.857128372218e-11      -1.166565953658e-14 
   27       1.362016068220e-10       1.864278808831e-15       2.286203308822e-13       0.000000000000e+00       1.732053644005e-10       1.739912906831e-11      -1.582044277351e-14 
   28       1.384202899144e-10       2.117043291042e-15       2.354362805912e-13       0.000000000000e+00       1.615721124704e-10       1.633469337741e-11      -1.798424474307e-14 
   29       1.406953071486e-10       2.389506016169e-15       2.410495471041e-13       0.000000000000e+00       1.510321383164e-10       1.536972183127e-11      -1.810344023949e-14 
   30       1.430145505975e-10       2.683848246641e-15       2.453649251984e-13       0.000000000000e+00       1.414702309423e-10       1.448850808514e-11      -1.652008828819e-14 
   31       1.453558545181e-10       3.002455140473e-15       2.483230504227e-13       0.000000000000e+00       1.326888904262e-10       1.366821100522e-11      -1.374865932822e-14 
   32       1.477251516077e-10       3.347182801603e-15       2.499940905616e-13       0.000000000000e+00       1.246414277078e-10       1.290718009087e-11      -1.046132804079e-14 
   33       1.501301053020e-10       3.719840722958e-15       2.505251761898e-13       0.000000000000e+00       1.172697491146e-10       1.220581940847e-11      -7.523568172119e-15 
   34       1.525710098013e-10       4.122108778768e-15       2.500758714138e-13       0.000000000000e+00       1.104692461250e-10       1.156012873761e-11      -5.780036159560e-15 
   35       1.550476424292e-10       4.554560321734e-15       2.486635534541e-13       0.000000000000e+00       1.042040726452e-10       1.096691863362e-11      -5.244343270149e-15 
   36       1.575530294763e-10       5.017277253038e-15       2.462653838762e-13       0.000000000000e+00       9.842286266442e-11       1.041953566040e-11      -5.622424137409e-15 
   37       1.600764460259e-10       5.510295125596e-15       2.428406218882e-13       0.000000000000e+00       9.304911932792e-11       9.908840888828e-12      -6.558558596278e-15 
   38       1.626233094716e-10       6.034312081873e-15       2.382683359375e-13       0.000000000000e+00       8.806833927075e-11       9.432929385447e-12      -7.774113421967e-15 
   39       1.652007256913e-10       6.590201873563e-15       2.323869795136e-13       0.000000000000e+00       8.346421419502e-11       8.990076127756e-12      -8.965299601601e-15 
   40       1.678115288859e-10       7.178822616763e-15       2.250087772155e-13       0.000000000000e+00       7.919215374441e-11       8.575829813030e-12      -9.760522030262e-15 
   41       1.704551170748e-10       7.800973958025e-15       2.159600257602e-13       0.000000000000e+00       7.519468295868e-11       8.184695587778e-12      -9.828961523323e-15 
   42       1.731314796248e-10       8.457254555748e-15       2.052220442024e-13       0.000000000000e+00       7.145958282818e-11       7.816412824378e-12      -9.259070103417e-15 
   43       1.758376448627e-10       9.148156276298e-15       1.928331189589e-13       0.000000000000e+00       6.797653156281e-11       7.471321335241e-12      -8.296120625041e-15 
   44       1.785660633821e-10       9.874097939951e-15       1.788514839231e-13       0.000000000000e+00       6.471966587495e-11       7.148514087883e-12      -7.243435586108e-15 
   45       1.813083267495e-10       1.063545539999e-14       1.633380408361e-13       0.000000000000e+00       6.165671731435e-11       6.846340255065e-12      -6.397166095898e-15 
   46       1.840686042710e-10       1.143267198039e-14       1.462957217167e-13       0.000000000000e+00       5.878258759342e-11       6.564342261180e-12      -5.819127963964e-15 
   47       1.868535339914e-10       1.226617421366e-14       1.277139027117e-13       0.000000000000e+00       5.609371098524e-11       6.301718416893e-12      -5.502007184666e-15 
   48       1.896682841441e-10       1.313633860209e-14       1.075852879651e-13       0.000000000000e+00       5.357793417734e-11       6.056696064940e-12      -5.431740328690e-15 
   49       1.925163854304e-10       1.404348956005e-14       8.590596960994e-14       0.000000000000e+00       5.121387901511e-11       5.826461149406e-12      -5.587057377725e-15 
   50       1.953996970728e-10       1.498789767744e-14       6.266846726211e-14       0.000000000000e+00       4.897733068187e-11       5.607927155321e-12      -5.935745843702e-15 
   51       1.983186832214e-10       1.596977872867e-14       3.783847995979e-14       0.000000000000e+00       4.686392489150e-11       5.400451387408e-12      -6.423308268200e-15 
   52       2.012719216600e-10       1.698929083775e-14       1.137192750019e-14       0.000000000000e+00       4.487151734079e-11       5.203734250677e-12      -6.980435691180e-15 
   53       2.042558189951e-10       1.804653213931e-14      -1.677884456847e-14       0.000000000000e+00       4.299339712964e-11       5.017014123796e-12      -7.525420326009e-15 
   54       2.072644492313e-10       1.914153873596e-14      -4.666533533157e-14       0.000000000000e+00       4.121798011332e-11       4.839036428151e-12      -7.963544101640e-15 
   55       2.102918113622e-10       2.027430003028e-14      -7.833461888112e-14       0.000000000000e+00       3.953230870397e-11       4.668460274382e-12      -8.212657341988e-15 
   56       2.133396287108e-10       2.144481386034e-14      -1.118015102985e-13       0.000000000000e+00       3.793427190145e-11       4.505267559153e-12      -8.288756668662e-15 
   57       2.164112043642e-10       2.265304148322e-14      -1.470699587044e-13       0.000000000000e+00       3.642288386284e-11       4.349649740295e-12      -8.240595470085e-15 
