# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380702905792e-10       4.986524245207e-15       3.799381497741e-13       1.953123573288e-19       8.121737599025e-09       4.537882386541e-10      -2.014717947198e-12 
    3       1.307794202491e-10       7.216158349089e-15       4.489837935460e-13       3.907218402218e-19       5.007392910847e-09       3.214025888889e-10      -1.636881296500e-12 
    4       1.237113598218e-10       7.103900149668e-15       4.384643603957e-13       6.514168975531e-19       3.474628856086e-09       2.430867854803e-10      -1.177427583684e-12 
    5       1.183312637273e-10       5.434968474146e-15       3.885276769073e-13       9.775215080985e-19       2.585847102181e-09       1.917646727114e-10      -7.559057595239e-13 
    6       1.145607945307e-10       3.429323883085e-15       3.241096962902e-13       1.369186021742e-18       2.014105640615e-09       1.557271701287e-10      -4.115712823989e-13 
    7       1.120586871352e-10       1.915811191345e-15       2.609115568663e-13       1.826584276984e-18       1.621108323990e-09       1.292283934242e-10      -1.579964804582e-13 
    8       1.105812643507e-10       1.102055115619e-15       2.071373864181e-13       2.349910333175e-18       1.337030009412e-09       1.091432009957e-10       6.585162609173e-15 
    9       1.098754661921e-10       7.888077560384e-16       1.663954132725e-13       2.939374911141e-18       1.123667115773e-09       9.356828490600e-11       9.362290334411e-14 
   10       1.097069915193e-10       6.862044406672e-16       1.393100565289e-13       3.595201643067e-18       9.587285228751e-10       8.121923481057e-11       1.204071629080e-13 
   11       1.099955960362e-10       6.122011124543e-16       1.244358367462e-13       4.317623236533e-18       8.089935832672e-10       7.168968052278e-11       1.066504648182e-13 
   12       1.106395541911e-10       5.237915456081e-16       1.191710812693e-13       5.106877658047e-18       7.056933234240e-10       6.317124076632e-11       7.095157347759e-14 
   13       1.114949387850e-10       4.497741566100e-16       1.206991808379e-13       5.963204438637e-18       6.209761143849e-10       5.631280714606e-11       2.933910562505e-14 
   14       1.126183972003e-10       4.178345367586e-16       1.264094203111e-13       6.886841197830e-18       5.505729578549e-10       5.048235776084e-11      -7.468650095142e-15 
   15       1.138895765179e-10       4.260230624866e-16       1.341026860572e-13       7.878020473205e-18       4.913754483970e-10       4.547067498357e-11      -3.309604223818e-14 
   16       1.152988748057e-10       4.547065744226e-16       1.422870187704e-13       8.936966930778e-18       4.410972826696e-10       4.119877390104e-11      -4.544936651359e-14 
   17       1.168265999166e-10       4.892037083275e-16       1.501818968470e-13       1.006389501728e-17       3.980139802765e-10       3.751100047527e-11      -4.595385579953e-14 
   18       1.184525935953e-10       5.302098843946e-16       1.575415785400e-13       1.125900691021e-17       3.606614733190e-10       3.427656362043e-11      -3.823510028596e-14 
   19       1.201911397101e-10       5.868064260224e-16       1.645262016258e-13       1.252249211827e-17       3.284345314012e-10       3.144511930114e-11      -2.608357883235e-14 
