# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -2.784683418805e-04      -2.088718696440e-04      -2.088718726764e-04      -2.784678059839e-04      -2.088410619375e-04      -2.089932243308e-04       5.998438270039e-01       5.987610905250e-01      -1.283650944986e-11      -2.772733845115e-15      -1.324648824348e-11      -1.907218270678e-14      -3.103450988573e-14 
       2.373043761528e-05      -1.433349538200e-03      -1.075558631871e-03      -1.075558712263e-03      -1.433335333565e-03      -1.075396936601e-03      -1.076182505705e-03       5.998403326271e-01       5.987582435235e-01      -3.402750502759e-10      -7.350409597445e-14      -3.511415951357e-10      -5.057161709159e-13      -8.226758807924e-13 
       3.705205197341e-05      -3.491761829058e-03      -2.622068106879e-03      -2.622068584530e-03      -3.491677460600e-03      -2.621660625900e-03      -2.623584565159e-03       5.998340986031e-01       5.987531645539e-01      -2.021278432051e-09      -4.366751576503e-13      -2.085815384927e-09      -3.005549803860e-12      -4.886821592937e-12 
       5.046040160262e-05      -6.469295194221e-03      -4.863134377936e-03      -4.863136020312e-03      -6.469005236948e-03      -4.862342907445e-03      -4.865934959590e-03       5.998250674730e-01       5.987458055950e-01      -6.947787545181e-09      -1.501249397642e-12      -7.169563641463e-09      -1.033866998104e-11      -1.679768077602e-11 
       6.399420676399e-05      -1.039019321697e-02      -7.821501777459e-03      -7.821506023472e-03      -1.038944406910e-02      -7.820153002273e-03      -7.825980606854e-03       5.998131512079e-01       5.987360938240e-01      -1.795420672906e-08      -3.880367117519e-12      -1.852711622789e-08      -2.674282732260e-11      -4.340825431007e-11 
       7.769321405898e-05      -1.528762300622e-02      -1.152835763890e-02      -1.152836685683e-02      -1.528599792520e-02      -1.152622958330e-02      -1.153491225146e-02       5.997982278025e-01       5.987239277430e-01      -3.895691214584e-08      -8.421983051131e-12      -4.019946632724e-08      -5.809724221277e-11      -9.418781046485e-11 
       9.159857522556e-05      -2.120406105227e-02      -1.602394821753e-02      -1.602396601129e-02      -2.120092709756e-02      -1.602075421489e-02      -1.603297998097e-02       5.997801422990e-01       5.987091790216e-01      -7.515162297436e-08      -1.625227420742e-11      -7.754735448082e-08      -1.122411131311e-10      -1.816993693807e-10 
       1.057532435558e-04      -2.819179191393e-02      -2.135839492381e-02      -2.135842650555e-02      -2.818623590458e-02      -2.135376421217e-02      -2.137030890165e-02       5.997586998389e-01       5.986916860656e-01      -1.332798922637e-07      -2.883506720670e-11      -1.375260482253e-07      -1.994072446354e-10      -3.222446158787e-10 
       1.202023933008e-04      -3.631351496566e-02      -2.759273454265e-02      -2.759278719032e-02      -3.630426527902e-02      -2.758618837115e-02      -2.760793859420e-02       5.997336643326e-01       5.986712522468e-01      -2.219805257700e-07      -4.804836602531e-11      -2.290474249848e-07      -3.327993336913e-10      -5.367138793143e-10 
       1.349938674647e-04      -4.564305162190e-02      -3.480021360874e-02      -3.480029723963e-02      -4.562838116472e-02      -3.479113545161e-02      -3.481911645853e-02       5.997047537952e-01       5.986476430370e-01      -3.522462279106e-07      -7.628696823207e-11      -3.634507647965e-07      -5.293517426568e-10      -8.516915361203e-10 
       1.501786593808e-04      -5.626613836455e-02      -4.306787488201e-02      -4.306800277160e-02      -5.624374376020e-02      -4.305547294629e-02      -4.309088279200e-02       5.996716336130e-01       5.986205793816e-01      -5.380134522857e-07      -1.165929520783e-10      -5.551104487809e-07      -8.107241910737e-10      -1.300883327303e-09 
       1.658114333596e-04      -6.828128402789e-02      -5.249848295901e-02      -5.249867265478e-02      -6.824813386618e-02      -5.248174264837e-02      -5.252599452461e-02       5.996339113851e-01       5.985897337270e-01      -7.969206682502e-07      -1.728264356679e-10      -8.222173618100e-07      -1.204601631153e-09      -1.926952167407e-09 
