# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.907140924594e+00 
       2.373043761528e-05       6.508868635917e+00 
       3.705205197341e-05       1.008295792343e+01 
       5.046040160262e-05       1.365358248296e+01 
       6.399420676399e-05       1.723722094343e+01 
       7.769321405898e-05       2.084779144223e+01 
       9.159857522556e-05       2.449819270294e+01 
       1.057532435558e-04       2.820098695207e+01 
       1.202023933008e-04       3.196878750471e+01 
       1.349938674647e-04       3.581452298132e+01 
       1.501786593808e-04       3.975164521966e+01 
       1.658114333596e-04       4.379431139344e+01 
       1.819510894196e-04       4.795755490777e+01 
       1.986613765579e-04       5.225745430309e+01 
       2.160115580438e-04       5.671130416278e+01 
       2.340771306401e-04       6.133779059362e+01 
       2.529405972213e-04       6.615717198346e+01 
       2.726922886571e-04       7.119146451559e+01 
       2.934312256600e-04       7.646462878934e+01 
       3.152660040981e-04       8.200275316787e+01 
       3.383156775180e-04       8.783422591280e+01 
       3.627105977775e-04       9.398988440372e+01 
       3.885931583209e-04       1.005031258262e+02 
       4.161183645581e-04       1.074099588011e+02 
       4.454541324261e-04       1.147489685041e+02 
       4.767811907995e-04       1.225611638632e+02 
       5.102924387431e-04       1.308896670679e+02 
       5.461915893473e-04       1.397792052455e+02 
       5.846909251320e-04       1.492753629483e+02 
       6.260080050474e-04       1.594235621919e+02 
       6.703612104985e-04       1.702677506216e+02 
       7.179641068864e-04       1.818488086584e+02 
       7.690187318622e-04       1.942027220741e+02 
       8.237080952403e-04       2.073586179529e+02 
       8.821883665213e-04       2.213368063528e+02 
       9.445813962622e-04       2.361470111239e+02 
       1.010968318642e-03       2.517869999688e+02 
       1.081384969221e-03       2.682417911918e+02 
       1.155819700313e-03       2.854835740997e+02 
       1.234213899658e-03       3.034723893713e+02 
       1.316465168833e-03       3.221575058790e+02 
       1.402432774394e-03       3.414793498887e+02 
       1.491944724558e-03       3.613717817119e+02 
       1.584805697329e-03       3.817644691115e+02 
       1.680805061300e-03       4.025851535089e+02 
       1.779724358910e-03       4.237616718998e+02 
       1.881343813733e-03       4.452236084114e+02 
       1.985447627100e-03       4.669035521753e+02 
       2.091828006459e-03       4.887380033788e+02 
