# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.907057134069e+00 
       2.373043761528e-05       6.508681526346e+00 
       3.705205197341e-05       1.008266942727e+01 
       5.046040160262e-05       1.365319448648e+01 
       6.399420676399e-05       1.723673554865e+01 
       7.769321405898e-05       2.084721110147e+01 
       9.159857522556e-05       2.449752033169e+01 
       1.057532435558e-04       2.820022604891e+01 
       1.202023933008e-04       3.196794228800e+01 
       1.349938674647e-04       3.581359855504e+01 
       1.501786593808e-04       3.975064777493e+01 
       1.658114333596e-04       4.379324845624e+01 
       1.819510894196e-04       4.795643564406e+01 
       1.986613765579e-04       5.225628989651e+01 
       2.160115580438e-04       5.671010828298e+01 
       2.340771306401e-04       6.133657997779e+01 
       2.529405972213e-04       6.615596715753e+01 
       2.726922886571e-04       7.119029069718e+01 
       2.934312256600e-04       7.646351701172e+01 
       3.152660040981e-04       8.200174168557e+01 
       3.383156775180e-04       8.783336195897e+01 
       3.627105977775e-04       9.398922639186e+01 
       3.885931583209e-04       1.005027460984e+02 
       4.161183645581e-04       1.074099470658e+02 
       4.454541324261e-04       1.147494361169e+02 
       4.767811907995e-04       1.225622491519e+02 
       5.102924387431e-04       1.308915419108e+02 
       5.461915893473e-04       1.397820831566e+02 
       5.846909251320e-04       1.492795089252e+02 
       6.260080050474e-04       1.594293045965e+02 
       6.703612104985e-04       1.702754953082e+02 
       7.179641068864e-04       1.818590555269e+02 
       7.690187318622e-04       1.942160840779e+02 
       8.237080952403e-04       2.073758424499e+02 
       8.821883665213e-04       2.213587984378e+02 
       9.445813962622e-04       2.361748583381e+02 
       1.010968318642e-03       2.518219975187e+02 
       1.081384969221e-03       2.682854665719e+02 
       1.155819700313e-03       2.855377098696e+02 
       1.234213899658e-03       3.035390428077e+02 
       1.316465168833e-03       3.222390243092e+02 
       1.402432774394e-03       3.415783807467e+02 
       1.491944724558e-03       3.614912766749e+02 
       1.584805697329e-03       3.819076820256e+02 
       1.680805061300e-03       4.027556321450e+02 
       1.779724358910e-03       4.239632439557e+02 
       1.881343813733e-03       4.454603623525e+02 
       1.985447627100e-03       4.671798136657e+02 
       2.091828006459e-03       4.890583081947e+02 
       2.200287998256e-03       5.110369972710e+02 
