# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.582685967981e+00 
       2.373043761528e-05       8.021360998377e+00 
       3.705205197341e-05       1.242597061655e+01 
       5.046040160262e-05       1.682630328930e+01 
       6.399420676399e-05       2.124266422415e+01 
       7.769321405898e-05       2.569220274808e+01 
       9.159857522556e-05       3.019081168226e+01 
       1.057532435558e-04       3.475396871606e+01 
       1.202023933008e-04       3.939721405551e+01 
       1.349938674647e-04       4.413647574314e+01 
       1.501786593808e-04       4.898832594239e+01 
       1.658114333596e-04       5.397020495144e+01 
       1.819510894196e-04       5.910063186360e+01 
       1.986613765579e-04       6.439941232632e+01 
       2.160115580438e-04       6.988784880524e+01 
       2.340771306401e-04       7.558895655975e+01 
       2.529405972213e-04       8.152768596131e+01 
       2.726922886571e-04       8.773115047687e+01 
       2.934312256600e-04       9.422885610988e+01 
       3.152660040981e-04       1.010529264678e+02 
       3.383156775180e-04       1.082383140353e+02 
       3.627105977775e-04       1.158229828913e+02 
       3.885931583209e-04       1.238480440136e+02 
       4.161183645581e-04       1.323578173429e+02 
       4.454541324261e-04       1.413997874112e+02 
       4.767811907995e-04       1.510244132600e+02 
       5.102924387431e-04       1.612847444710e+02 
       5.461915893473e-04       1.722357933823e+02 
       5.846909251320e-04       1.839336134511e+02 
       6.260080050474e-04       1.964340424329e+02 
       6.703612104985e-04       2.097910879504e+02 
       7.179641068864e-04       2.240549684077e+02 
       7.690187318622e-04       2.392698681542e+02 
       8.237080952403e-04       2.554715267594e+02 
       8.821883665213e-04       2.726848393859e+02 
       9.445813962622e-04       2.909216917592e+02 
       1.010968318642e-03       3.101792888399e+02 
       1.081384969221e-03       3.304391920747e+02 
       1.155819700313e-03       3.516672313898e+02 
       1.234213899658e-03       3.738143455110e+02 
       1.316465168833e-03       3.968182696877e+02 
       1.402432774394e-03       4.206058930436e+02 
       1.491944724558e-03       4.450960341338e+02 
       1.584805697329e-03       4.702023305670e+02 
       1.680805061300e-03       4.958359982561e+02 
       1.779724358910e-03       5.219082964495e+02 
       1.881343813733e-03       5.483325505791e+02 
       1.985447627100e-03       5.750257053633e+02 
       2.091828006459e-03       6.019094598970e+02 
       2.200287998256e-03       6.289109864270e+02 
       2.310643277916e-03       6.559624849832e+02 
       2.422723085604e-03       6.830037995238e+02 
       2.536370500476e-03       7.099801921591e+02 
       2.651442230081e-03       7.368426575362e+02 
       2.767808065318e-03       7.635476477102e+02 
       2.885350122018e-03       7.900569506592e+02 
       3.003961962113e-03       8.163369637908e+02 
       3.123547662764e-03       8.423585151833e+02 
       3.244020881646e-03       8.680962927594e+02 
       3.365303950641e-03       8.935284534094e+02 
       3.487327018288e-03       9.186362583178e+02 
       3.610027252458e-03       9.434037028205e+02 
