# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.582606390713e+00 
       2.373043761528e-05       8.021183398087e+00 
       3.705205197341e-05       1.242569706149e+01 
       5.046040160262e-05       1.682593593745e+01 
       6.399420676399e-05       2.124220558007e+01 
       7.769321405898e-05       2.569165580327e+01 
       9.159857522556e-05       3.019018003936e+01 
       1.057532435558e-04       3.475325672511e+01 
       1.202023933008e-04       3.939642697295e+01 
       1.349938674647e-04       4.413561992431e+01 
       1.501786593808e-04       4.898740907820e+01 
       1.658114333596e-04       5.396923635759e+01 
       1.819510894196e-04       5.909962283920e+01 
       1.986613765579e-04       6.439837659589e+01 
       2.160115580438e-04       6.988680306674e+01 
       2.340771306401e-04       7.558792116445e+01 
       2.529405972213e-04       8.152668575645e+01 
       2.726922886571e-04       8.773021585885e+01 
       2.934312256600e-04       9.422802433377e+01 
       3.152660040981e-04       1.010522432839e+02 
       3.383156775180e-04       1.082378357327e+02 
       3.627105977775e-04       1.158227788552e+02 
       3.885931583209e-04       1.238481999156e+02 
       4.161183645581e-04       1.323584391272e+02 
       4.454541324261e-04       1.414010062564e+02 
       4.767811907995e-04       1.510263917440e+02 
       5.102924387431e-04       1.612876841839e+02 
       5.461915893473e-04       1.722399442773e+02 
       5.846909251320e-04       1.839392852289e+02 
       6.260080050474e-04       1.964416182669e+02 
       6.703612104985e-04       2.098010408056e+02 
       7.179641068864e-04       2.240678801493e+02 
       7.690187318622e-04       2.392864514889e+02 
       8.237080952403e-04       2.554926498679e+02 
       8.821883665213e-04       2.727115528418e+02 
       9.445813962622e-04       2.909552570257e+02 
       1.010968318642e-03       3.102212073511e+02 
       1.081384969221e-03       3.304912336202e+02 
       1.155819700313e-03       3.517314603652e+02 
       1.234213899658e-03       3.738931435532e+02 
       1.316465168833e-03       3.969143533218e+02 
       1.402432774394e-03       4.207223252339e+02 
       1.491944724558e-03       4.452362289967e+02 
       1.584805697329e-03       4.703700509212e+02 
       1.680805061300e-03       4.960353460580e+02 
       1.779724358910e-03       5.221436966093e+02 
       1.881343813733e-03       5.486087288509e+02 
       1.985447627100e-03       5.753476611931e+02 
       2.091828006459e-03       6.022824352628e+02 
       2.200287998256e-03       6.293404316399e+02 
       2.310643277916e-03       6.564540205294e+02 
       2.422723085604e-03       6.835631820845e+02 
       2.536370500476e-03       7.106132756425e+02 
       2.651442230081e-03       7.375553553331e+02 
       2.767808065318e-03       7.643458961491e+02 
       2.885350122018e-03       7.909466739653e+02 
       3.003961962113e-03       8.173240405212e+02 
       3.123547662764e-03       8.434487472116e+02 
       3.244020881646e-03       8.692953764233e+02 
       3.365303950641e-03       8.948419533998e+02 
       3.487327018288e-03       9.200695844729e+02 
       3.610027252458e-03       9.449620898740e+02 
       3.733348108622e-03       9.695058814352e+02 
       3.857238664757e-03       9.936893688252e+02 
       3.981653021215e-03       1.017502965771e+03 
       4.106549762154e-03       1.040938996617e+03 
       4.231891474164e-03       1.063991040420e+03 
       4.357644317282e-03       1.086654511447e+03 
       4.483777643502e-03       1.108925585954e+03 
       4.610263657980e-03       1.130802011698e+03 
       4.737077118433e-03       1.152282041117e+03 
       4.864195068510e-03       1.173365045691e+03 
       4.991596601329e-03       1.194051210772e+03 
       5.119262649698e-03       1.214340942847e+03 
       5.247175799933e-03       1.234235804293e+03 
       5.375320126495e-03       1.253737204898e+03 
       5.503681045008e-03       1.272847406215e+03 
       5.632245181484e-03       1.291569274225e+03 
       5.761000255846e-03       1.309905419797e+03 
       5.889934978076e-03       1.327859072519e+03 
       6.019038955502e-03       1.345433648085e+03 
       6.148302609931e-03       1.362632636888e+03 
       6.277717103485e-03       1.379460037568e+03 
       6.407274272154e-03       1.395920012480e+03 
       6.536966566162e-03       1.412016011213e+03 
       6.666786996400e-03       1.427752564008e+03 
       6.796729086234e-03       1.443133745040e+03 
       6.926786828089e-03       1.458163868222e+03 
       7.056954644300e-03       1.472847723633e+03 
       7.187227351743e-03       1.487189464411e+03 
       7.317600129859e-03       1.501193334838e+03 
       7.448068491705e-03       1.514863849991e+03 
       7.578628257697e-03       1.528205631981e+03 
       7.709275531791e-03       1.541222397504e+03 
       7.840006679834e-03       1.553919608304e+03 
       7.970818309857e-03       1.566301140229e+03 
       8.101707254141e-03       1.578370703654e+03 
       8.232670552846e-03       1.590133565976e+03 
       8.363705439076e-03       1.601593831552e+03 
       8.494809325229e-03       1.612754702739e+03 
       8.625979790500e-03       1.623621345668e+03 
       8.757214569446e-03       1.634197905387e+03 
       8.888511541496e-03       1.644488326548e+03 
       9.019868721331e-03       1.654496393696e+03 
       9.151284250039e-03       1.664226617565e+03 
       9.282756386994e-03       1.673684584231e+03 
       9.414283502372e-03       1.682871618639e+03 
       9.545864070270e-03       1.691791488007e+03 
       9.677496662351e-03       1.700448801059e+03 
       9.809179941995e-03       1.708847530520e+03 
       9.940912658886e-03       1.716990801616e+03 
       1.007269364402e-02       1.724882689887e+03 
       1.020452180510e-02       1.732526843456e+03 
       1.033639612222e-02       1.739926477358e+03 
       1.046831564399e-02       1.747085732979e+03 
       1.060027948378e-02       1.754006808883e+03 
       1.073228681639e-02       1.760694144921e+03 
       1.086433687490e-02       1.767150864129e+03 
       1.099642894770e-02       1.773380094315e+03 
       1.112856237583e-02       1.779385375673e+03 
       1.126073655044e-02       1.785169339237e+03 
       1.139295091047e-02       1.790736226023e+03 
       1.152520494046e-02       1.796088139789e+03 
       1.165749816853e-02       1.801227832428e+03 
       1.178983016452e-02       1.806160038892e+03 
       1.192220053825e-02       1.810885905945e+03 
       1.205460893787e-02       1.815408907411e+03 
       1.218705504840e-02       1.819732546458e+03 
       1.231953859028e-02       1.823859815416e+03 
       1.245205931810e-02       1.827791254310e+03 
       1.258461701939e-02       1.831532662984e+03 
       1.271721151347e-02       1.835084934235e+03 
       1.284984265044e-02       1.838451236570e+03 
       1.298251031021e-02       1.841633218835e+03 
       1.311521440158e-02       1.844635726416e+03 
       1.324795486143e-02       1.847459999454e+03 
       1.338073165393e-02       1.850108260220e+03 
       1.351354476986e-02       1.852584143236e+03 
       1.364639422595e-02       1.854889535463e+03 
       1.377928006424e-02       1.857026687399e+03 
       1.391220235156e-02       1.858998412949e+03 
       1.404516117903e-02       1.860807294090e+03 
       1.417815666155e-02       1.862455916630e+03 
       1.431118893742e-02       1.863945018862e+03 
       1.444425816794e-02       1.865279499829e+03 
       1.457736453706e-02       1.866459195679e+03 
       1.471050825103e-02       1.867487987746e+03 
       1.484368953822e-02       1.868366954246e+03 
       1.497690864875e-02       1.869099473372e+03 
       1.511016585436e-02       1.869686455550e+03 
       1.524346144820e-02       1.870131663963e+03 
       1.537679574464e-02       1.870436288844e+03 
       1.551016907917e-02       1.870602532609e+03 
       1.564358180828e-02       1.870633060690e+03 
       1.577703430938e-02       1.870529236288e+03 
       1.591052698073e-02       1.870293658601e+03 
       1.604406024142e-02       1.869928364387e+03 
       1.617763453133e-02       1.869435370597e+03 
       1.631125031118e-02       1.868816213543e+03 
       1.644490806251e-02       1.868073398967e+03 
       1.657860828775e-02       1.867208950246e+03 
       1.671235151029e-02       1.866224780376e+03 
       1.684613827459e-02       1.865122891112e+03 
       1.697996914622e-02       1.863903581517e+03 
       1.711384471207e-02       1.862570322094e+03 
       1.724776558040e-02       1.861126481715e+03 
       1.738173238109e-02       1.859572431827e+03 
       1.751574576578e-02       1.857908200801e+03 
       1.764980640804e-02       1.856137613386e+03 
       1.778391500363e-02       1.854262234521e+03 
       1.791807227070e-02       1.852284060165e+03 
       1.805227895006e-02       1.850203877381e+03 
       1.818653580541e-02       1.848024703851e+03 
       1.832084362365e-02       1.845746846025e+03 
       1.845520321520e-02       1.843373044464e+03 
       1.858961541424e-02       1.840903849768e+03 
       1.872408107911e-02       1.838342588051e+03 
       1.885860109264e-02       1.835690203112e+03 
       1.899317636251e-02       1.832946466710e+03 
       1.912780782161e-02       1.830115992336e+03 
       1.926249642850e-02       1.827197057456e+03 
       1.939724316775e-02       1.824196795766e+03 
       1.953204905044e-02       1.821107978063e+03 
       1.966691511458e-02       1.817942839443e+03 
       1.980184242558e-02       1.814693646813e+03 
       1.993683207674e-02       1.811367109476e+03 
       2.007188518977e-02       1.807963794327e+03 
       2.020700291530e-02       1.804481805272e+03 
       2.034218643342e-02       1.800926312222e+03 
       2.047743695426e-02       1.797298811234e+03 
       2.061275571856e-02       1.793599587112e+03 
       2.074814399829e-02       1.789829654017e+03 
       2.088360309724e-02       1.785990699197e+03 
       2.101913435170e-02       1.782084101494e+03 
       2.115473913110e-02       1.778111076706e+03 
       2.129041883873e-02       1.774076934466e+03 
       2.142617491241e-02       1.769975650001e+03 
       2.156200882525e-02       1.765814478304e+03 
       2.169792208640e-02       1.761591782053e+03 
       2.183391624183e-02       1.757309437668e+03 
       2.196999287514e-02       1.752970254170e+03 
       2.210615360838e-02       1.748571185708e+03 
       2.224240010293e-02       1.744120692220e+03 
       2.237873406036e-02       1.739612006879e+03 
       2.251515722336e-02       1.735051243543e+03 
       2.265167137665e-02       1.730442484656e+03 
       2.278827834800e-02       1.725779411522e+03 
       2.292498000920e-02       1.721066709737e+03 
       2.306177827707e-02       1.716308097553e+03 
       2.319867511457e-02       1.711500297477e+03 
       2.333567253186e-02       1.706648514133e+03 
       2.347277258747e-02       1.701749961954e+03 
       2.360997738941e-02       1.696810104758e+03 
       2.374728909641e-02       1.691826182199e+03 
       2.388470991917e-02       1.686804480832e+03 
       2.402224212160e-02       1.681741078961e+03 
       2.415988802217e-02       1.676638027800e+03 
       2.429764999526e-02       1.671494288232e+03 
       2.443553047256e-02       1.666317236294e+03 
       2.457353194453e-02       1.661106196914e+03 
       2.471165696187e-02       1.655857951963e+03 
       2.484990813710e-02       1.650576141379e+03 
       2.498828814611e-02       1.645263250602e+03 
       2.512679972984e-02       1.639915860171e+03 
       2.526544569592e-02       1.634540170503e+03 
       2.540422892050e-02       1.629136038301e+03 
       2.554315234997e-02       1.623701373894e+03 
       2.568221900292e-02       1.618238264514e+03 
       2.582143197196e-02       1.612747709011e+03 
       2.596079442580e-02       1.607232907689e+03 
       2.610030961129e-02       1.601694041912e+03 
       2.623998085549e-02       1.596134125664e+03 
       2.637981156794e-02       1.590545547704e+03 
       2.651980524290e-02       1.584938013734e+03 
       2.665996546168e-02       1.579306658611e+03 
       2.680029589511e-02       1.573657954281e+03 
       2.694080030602e-02       1.567986113785e+03 
       2.708148255186e-02       1.562298793334e+03 
       2.722234658737e-02       1.556593507404e+03 
       2.736339646738e-02       1.550868351867e+03 
       2.750463634970e-02       1.545125292423e+03 
       2.764607049807e-02       1.539372185429e+03 
       2.778770328530e-02       1.533598417616e+03 
       2.792953919641e-02       1.527818305498e+03 
       2.807158283200e-02       1.522018277190e+03 
       2.821383891169e-02       1.516205221266e+03 
       2.835631227763e-02       1.510381203805e+03 
       2.849900789825e-02       1.504547309270e+03 
       2.864193087208e-02       1.498704898690e+03 
       2.878508643170e-02       1.492846604638e+03 
       2.892847994792e-02       1.486983729194e+03 
       2.907211693401e-02       1.481107876285e+03 
       2.921600305018e-02       1.475233430687e+03 
       2.936014410820e-02       1.469341456273e+03 
       2.950454607619e-02       1.463446734478e+03 
       2.964921508358e-02       1.457544546465e+03 
       2.979415742637e-02       1.451640480768e+03 
       2.993937957245e-02       1.445727884669e+03 
       3.008488816723e-02       1.439810933788e+03 
       3.023069003948e-02       1.433890168120e+03 
       3.037679220740e-02       1.427965656241e+03 
       3.052320188494e-02       1.422038035268e+03 
       3.066992648838e-02       1.416109707066e+03 
       3.081697364318e-02       1.410181395805e+03 
       3.096435119115e-02       1.404244109608e+03 
       3.111206719787e-02       1.398309080056e+03 
       3.126012996051e-02       1.392375783389e+03 
       3.140854801586e-02       1.386445925898e+03 
       3.155733014887e-02       1.380510969017e+03 
       3.170648540141e-02       1.374577477824e+03 
       3.185602308155e-02       1.368646080084e+03 
       3.200595277315e-02       1.362720783458e+03 
       3.215628434598e-02       1.356791568760e+03 
       3.230702796621e-02       1.350868038178e+03 
       3.245819410741e-02       1.344947025056e+03 
       3.260979356215e-02       1.339024517121e+03 
       3.276183745398e-02       1.333110633476e+03 
       3.291433725013e-02       1.327201543306e+03 
       3.306730477471e-02       1.321294068587e+03 
       3.322075222260e-02       1.315387462803e+03 
       3.337469217403e-02       1.309491879104e+03 
       3.352913760980e-02       1.303603998382e+03 
       3.368410192736e-02       1.297715438163e+03 
       3.383959895760e-02       1.291834805218e+03 
       3.399564298254e-02       1.285960401981e+03 
       3.415224875396e-02       1.280090549861e+03 
       3.430943151287e-02       1.274231296222e+03 
       3.446720701016e-02       1.268372003620e+03 
       3.462559152820e-02       1.262526657397e+03 
       3.478460190367e-02       1.256684363347e+03 
       3.494425555159e-02       1.250851689806e+03 
       3.510457049068e-02       1.245023655241e+03 
       3.526556537007e-02       1.239210077213e+03 
       3.542725949757e-02       1.233398581085e+03 
       3.558967286947e-02       1.227595895014e+03 
       3.575282620204e-02       1.221799640495e+03 
       3.591674096486e-02       1.216013946361e+03 
       3.608143941613e-02       1.210237167042e+03 
       3.624694463996e-02       1.204468122219e+03 
       3.641328058594e-02       1.198710272957e+03 
       3.658047211114e-02       1.192958830839e+03 
       3.674854502456e-02       1.187218020762e+03 
       3.691752613441e-02       1.181482565830e+03 
       3.708744329831e-02       1.175756980585e+03 
       3.725832547669e-02       1.170039897104e+03 
       3.743020278953e-02       1.164332682829e+03 
       3.760310657689e-02       1.158633205685e+03 
       3.777706946333e-02       1.152948206980e+03 
       3.795212542663e-02       1.147264421151e+03 
       3.812830987117e-02       1.141592334940e+03 
       3.830565970624e-02       1.135928827577e+03 
       3.848421342989e-02       1.130277405410e+03 
       3.866401121852e-02       1.124631459892e+03 
       3.884509502293e-02       1.118991217134e+03 
       3.902750867120e-02       1.113365251999e+03 
       3.921129797920e-02       1.107745675856e+03 
       3.939651086917e-02       1.102130520743e+03 
       3.958319749728e-02       1.096524225714e+03 
       3.977141039084e-02       1.090928482957e+03 
       3.996120459624e-02       1.085339637996e+03 
       4.015263783837e-02       1.079757767920e+03 
       4.034577069283e-02       1.074180351967e+03 
       4.054066677207e-02       1.068612840179e+03 
       4.073739292676e-02       1.063048327989e+03 
       4.093601946408e-02       1.057492416697e+03 
       4.113662038441e-02       1.051945355285e+03 
       4.133927363850e-02       1.046401689502e+03 
       4.154406140720e-02       1.040859165408e+03 
       4.175107040600e-02       1.035335740482e+03 
       4.196039221729e-02       1.029795410300e+03 
       4.217212365321e-02       1.024269626758e+03 
       4.238636715250e-02       1.018745787345e+03 
       4.260323121533e-02       1.013221804167e+03 
       4.282283088035e-02       1.007707881579e+03 
       4.304528824899e-02       1.002186969397e+03 
