# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369232381014e-10       4.881761828223e-15       3.738534646245e-13       0.000000000000e+00       8.041349752837e-09       4.503246050832e-10      -1.983616762278e-12 
    3       1.296797454168e-10       7.110247426351e-15       4.430862309735e-13       0.000000000000e+00       4.957721168826e-09       3.189045081738e-10      -1.617220043020e-12 
    4       1.226627225076e-10       7.047810474244e-15       4.337916895479e-13       0.000000000000e+00       3.440114157820e-09       2.411683470585e-10      -1.168507071625e-12 
    5       1.173121361120e-10       5.432550058177e-15       3.853314840035e-13       0.000000000000e+00       2.560174909151e-09       1.902529441582e-10      -7.550421353084e-13 
    6       1.135656373825e-10       3.453536987576e-15       3.222648908112e-13       0.000000000000e+00       1.994163077375e-09       1.545274350587e-10      -4.156283386269e-13 
    7       1.110709872525e-10       1.938586579895e-15       2.600822476024e-13       0.000000000000e+00       1.605083843478e-09       1.282418877608e-10      -1.640681123230e-13 
    8       1.095825500176e-10       1.111631063130e-15       2.069300827416e-13       0.000000000000e+00       1.323815953499e-09       1.082893612897e-10       7.735286333850e-16 
    9       1.088739032689e-10       7.885189188321e-16       1.664356661922e-13       0.000000000000e+00       1.112564961477e-09       9.282724240219e-11       8.952054941752e-14 
   10       1.086894439012e-10       6.839531827195e-16       1.393152828440e-13       0.000000000000e+00       9.492615691596e-10       8.059618083142e-11       1.186266292287e-13 
   11       1.089767240258e-10       6.119923783296e-16       1.242527253374e-13       0.000000000000e+00       8.009961970742e-10       7.111658459992e-11       1.070354321219e-13 
   12       1.095877046914e-10       5.243100921850e-16       1.187482246675e-13       0.000000000000e+00       6.987179242896e-10       6.266875110075e-11       7.303072101107e-14 
   13       1.104335412323e-10       4.478756729383e-16       1.200528488941e-13       0.000000000000e+00       6.148416853062e-10       5.586029896648e-11       3.226622777235e-14 
   14       1.115280656658e-10       4.120926183540e-16       1.255978986262e-13       0.000000000000e+00       5.451361851382e-10       5.005780529014e-11      -4.621472603550e-15 
   15       1.127929502142e-10       4.174640998907e-16       1.331878022652e-13       0.000000000000e+00       4.865249304990e-10       4.513626971626e-11      -3.093437268822e-14 
   16       1.141753772036e-10       4.451520765092e-16       1.413431304035e-13       0.000000000000e+00       4.367452695566e-10       4.090360077036e-11      -4.434243656758e-14 
   17       1.156810658943e-10       4.793205442914e-16       1.492546941457e-13       0.000000000000e+00       3.940893912695e-10       3.721211701104e-11      -4.592747020617e-14 
   18       1.172783401869e-10       5.190898106554e-16       1.566088759934e-13       0.000000000000e+00       3.571074610909e-10       3.399995968646e-11      -3.903243197609e-14 
   19       1.189832614190e-10       5.732086731399e-16       1.635464510020e-13       0.000000000000e+00       3.252001946850e-10       3.121530945829e-11      -2.732770923726e-14 
   20       1.207747507562e-10       6.523160689491e-16       1.703783171780e-13       0.000000000000e+00       2.971287163353e-10       2.873129259537e-11      -1.525305528292e-14 
   21       1.226392441263e-10       7.582504226828e-16       1.774319450767e-13       0.000000000000e+00       2.724446674948e-10       2.650667734387e-11      -5.432795536560e-15 
   22       1.245387946093e-10       8.888387558350e-16       1.850165480495e-13       0.000000000000e+00       2.505501118381e-10       2.449817174749e-11       2.060530194727e-16 
   23       1.264927265852e-10       1.041346038984e-15       1.931540762232e-13       0.000000000000e+00       2.311387982758e-10       2.271040491961e-11       1.479384003338e-15 
   24       1.285145265387e-10       1.212733238647e-15       2.017019712663e-13       0.000000000000e+00       2.137568946746e-10       2.113597669337e-11      -8.790820102067e-16 
   25       1.305906085077e-10       1.403825329172e-15       2.103713162980e-13       0.000000000000e+00       1.981960319095e-10       1.973290708483e-11      -5.516281932699e-15 
   26       1.326881860040e-10       1.616192192737e-15       2.187695090468e-13       0.000000000000e+00       1.841706590412e-10       1.843921813651e-11      -1.066896782568e-14 
   27       1.348215044812e-10       1.848847177233e-15       2.265389132168e-13       0.000000000000e+00       1.715095935124e-10       1.725686730679e-11      -1.504476700280e-14 
   28       1.370082450473e-10       2.100174923885e-15       2.333273715865e-13       0.000000000000e+00       1.599916534757e-10       1.619692889901e-11      -1.755184750537e-14 
   29       1.392538385225e-10       2.371116915493e-15       2.389619642895e-13       0.000000000000e+00       1.495561045113e-10       1.525019346679e-11      -1.805926742316e-14 
   30       1.415458691686e-10       2.663604249647e-15       2.433230794078e-13       0.000000000000e+00       1.400889352146e-10       1.438855180713e-11      -1.682363135883e-14 
   31       1.438617523553e-10       2.979781299171e-15       2.463253467712e-13       0.000000000000e+00       1.313946534124e-10       1.357682630649e-11      -1.427145684840e-14 
