# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369236663469e-10       4.881955118763e-15       3.738534609568e-13       1.932904737658e-19       8.041349752837e-09       4.503246050832e-10      -1.983616762278e-12 
    3       1.296805998015e-10       7.110634104713e-15       4.430862146325e-13       3.866777075259e-19       4.957721168826e-09       3.189045081738e-10      -1.617220043020e-12 
    4       1.226641418588e-10       7.048455153297e-15       4.337916426105e-13       6.446758316076e-19       3.440114157820e-09       2.411683470585e-10      -1.168507071625e-12 
    5       1.173142566074e-10       5.433517477474e-15       3.853313771217e-13       9.674082493667e-19       2.560174909151e-09       1.902529441582e-10      -7.550421353084e-13 
    6       1.135685920192e-10       3.454892042288e-15       3.222646807549e-13       1.355024521055e-18       1.994163077375e-09       1.545274350587e-10      -4.156283386269e-13 
    7       1.110749053982e-10       1.940394347756e-15       2.600818750427e-13       1.807697441784e-18       1.605083843478e-09       1.282418877608e-10      -1.640681123230e-13 
    8       1.095875570510e-10       1.113956828876e-15       2.069294703061e-13       2.325619733180e-18       1.323815953499e-09       1.082893612897e-10       7.735286333850e-16 
    9       1.088801203183e-10       7.914281955680e-16       1.664347168125e-13       2.909000445532e-18       1.112564961477e-09       9.282724240219e-11       8.952054941752e-14 
   10       1.086969876829e-10       6.875117296039e-16       1.393138784070e-13       3.558061174554e-18       9.492615691596e-10       8.059618083142e-11       1.186266292287e-13 
   11       1.089857067817e-10       6.162662139717e-16       1.242507256406e-13       4.273032200728e-18       8.009961970742e-10       7.111658459992e-11       1.070354321219e-13 
   12       1.095982342229e-10       5.293655031543e-16       1.187454666729e-13       5.054148659473e-18       6.987179242896e-10       6.266875110075e-11       7.303072101107e-14 
   13       1.104457210232e-10       4.537792168302e-16       1.200491462625e-13       5.901646847071e-18       6.148416853062e-10       5.586029896648e-11       3.226622777235e-14 
   14       1.115419950839e-10       4.189111209325e-16       1.255930415121e-13       6.815760760583e-18       5.451361851382e-10       5.005780529014e-11      -4.621472603550e-15 
   15       1.128087247799e-10       4.252646459346e-16       1.331815573424e-13       7.796718960074e-18       4.865249304990e-10       4.513626971626e-11      -3.093437268822e-14 
   16       1.141930889107e-10       4.540019941317e-16       1.413352410916e-13       8.844741828809e-18       4.367452695566e-10       4.090360077036e-11      -4.434243656758e-14 
   17       1.157008035677e-10       4.892873826685e-16       1.492448810033e-13       9.960039292075e-18       3.940893912695e-10       3.721211701104e-11      -4.592747020617e-14 
   18       1.173001898673e-10       5.302413114409e-16       1.565968372616e-13       1.114280883985e-17       3.571074610909e-10       3.399995968646e-11      -3.903243197609e-14 
   19       1.190073067152e-10       5.856127350120e-16       1.635318631751e-13       1.239323526951e-17       3.252001946850e-10       3.121530945829e-11      -2.732770923726e-14 
   20       1.208010732654e-10       6.660407079851e-16       1.703608358173e-13       1.371148776146e-17       2.971287163353e-10       2.873129259537e-11      -1.525305528292e-14 
   21       1.226679237165e-10       7.733637267921e-16       1.774112054612e-13       1.509772279338e-17       2.724446674948e-10       2.650667734387e-11      -5.432795536560e-15 
   22       1.245699097805e-10       9.054088351425e-16       1.849921660952e-13       1.655208093043e-17       2.505501118381e-10       2.449817174749e-11       2.060530194727e-16 
