# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04488e-05 to 1003.78 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044883175527e-05       2.390766352519e+00 
       2.370050338713e-05       5.350475247957e+00 
       3.700063944182e-05       8.287462849525e+00 
       5.038711707899e-05       1.122156018647e+01 
       6.389846824781e-05       1.416628044071e+01 
       7.757424324409e-05       1.713303358439e+01 
       9.145538642786e-05       2.013239071821e+01 
       1.055846293703e-04       2.317464503178e+01 
       1.200069067373e-04       2.627012920146e+01 
       1.347698002505e-04       2.942943206048e+01 
       1.499240160634e-04       3.266356893332e+01 
       1.655239007843e-04       3.598413037284e+01 
       1.816280011095e-04       3.940342209365e+01 
       1.982996714877e-04       4.293460302304e+01 
       2.156077332810e-04       4.659182503117e+01 
       2.336271873434e-04       5.039037594792e+01 
       2.524399795515e-04       5.434682811745e+01 
       2.721358152929e-04       5.847918917457e+01 
       2.928130138504e-04       6.280705563356e+01 
       3.145793865680e-04       6.735176264550e+01 
       3.375531131145e-04       7.213652582279e+01 
       3.618635775668e-04       7.718656381619e+01 
       3.876521099662e-04       8.252919130265e+01 
       4.150725592880e-04       8.819386313103e+01 
       4.442916007502e-04       9.421214993640e+01 
       4.754886553233e-04       1.006176176758e+02 
       5.088552748300e-04       1.074455803915e+02 
       5.445938267077e-04       1.147326923045e+02 
       5.829153052047e-04       1.225163464149e+02 
       6.240361095991e-04       1.308338504775e+02 
       6.681736753439e-04       1.397213647876e+02 
       7.155409301449e-04       1.492126084416e+02 
       7.663396781176e-04       1.593373705906e+02 
       8.207531854004e-04       1.701199035994e+02 
       8.789384292238e-04       1.815773121110e+02 
       9.410186427090e-04       1.937180871152e+02 
       1.007076892125e-03       2.065409558018e+02 
       1.077151416773e-03       2.200341960171e+02 
       1.151233319192e-03       2.341755297420e+02 
       1.229266925659e-03       2.489326399315e+02 
       1.311152794062e-03       2.642642705812e+02 
       1.396753004406e-03       2.801217864981e+02 
       1.485898103579e-03       2.964510380779e+02 
       1.578394942106e-03       3.131943222841e+02 
       1.674034647550e-03       3.302922652180e+02 
       1.772600100510e-03       3.476855105151e+02 
       1.873872466169e-03       3.653161020610e+02 
       1.977636536206e-03       3.831285412771e+02 
       2.083684813396e-03       4.010705465665e+02 
       2.191820403523e-03       4.190934993037e+02 
       2.301858861427e-03       4.371521943200e+02 
       2.413629176451e-03       4.552063411126e+02 
       2.526974088426e-03       4.732193601438e+02 
       2.641749910640e-03       4.911583523893e+02 
       2.757826010760e-03       5.089941133512e+02 
       2.875084071783e-03       5.267007916359e+02 
       2.993417227104e-03       5.442557590692e+02 
       3.112729139196e-03       5.616392788161e+02 
       3.232933071076e-03       5.788342672543e+02 
       3.353950983664e-03       5.958260015226e+02 
       3.475712680051e-03       6.126018541988e+02 
       3.598155008691e-03       6.291511398801e+02 
       3.721221131280e-03       6.454647566447e+02 
       3.844859856692e-03       6.615351884111e+02 
       3.969025039506e-03       6.773560947873e+02 
       4.093675039900e-03       6.929223794004e+02 
       4.218772240649e-03       7.082300327406e+02 
       4.344282616503e-03       7.232758956273e+02 
       4.470175351099e-03       7.380575161279e+02 
       4.596422496654e-03       7.525735331839e+02 
       4.722998671932e-03       7.668227780974e+02 
       4.849880794303e-03       7.808051234096e+02 
       4.977047842055e-03       7.945207166290e+02 
       5.104480643516e-03       8.079699411736e+02 
       5.232161689861e-03       8.211540463839e+02 
       5.360074968836e-03       8.340740317373e+02 
       5.488205816956e-03       8.467315616448e+02 
       5.616540787985e-03       8.591285666531e+02 
       5.745067535796e-03       8.712669549980e+02 
