# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4.5
# for k=1.04488e-05 to 1003.78 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.044883175527e-05      -3.038319942203e-04      -2.278985416357e-04      -2.278985455953e-04      -3.038312799771e-04      -2.278606874215e-04      -2.280200827528e-04       5.994353721592e-01       5.984408865378e-01      -1.461914084491e-11      -3.020161490441e-15      -1.510656254468e-11      -1.843206945208e-14      -3.248284691263e-14 
       2.370050338713e-05      -1.562490753020e-03      -1.172517665494e-03      -1.172517770287e-03      -1.562471853879e-03      -1.172319763532e-03      -1.173141876107e-03       5.994318137140e-01       5.984379771552e-01      -3.868481229217e-10      -7.992494149359e-14      -3.997446879172e-10      -4.878970309958e-13      -8.595550100888e-13 
       3.700063944182e-05      -3.805148394123e-03      -2.857718627364e-03      -2.857719249661e-03      -3.805036201390e-03      -2.857222614321e-03      -2.859235171476e-03       5.994254641336e-01       5.984327849408e-01      -2.296655921511e-09      -4.745762757922e-13      -2.373206311284e-09      -2.898183695321e-12      -5.103064001512e-12 
       5.038711707899e-05      -7.048329271479e-03      -5.299505243530e-03      -5.299507382630e-03      -7.047943802861e-03      -5.298548661097e-03      -5.302304681699e-03       5.994162710970e-01       5.984252668775e-01      -7.891748537724e-09      -1.631073230803e-12      -8.154715447522e-09      -9.966763416514e-12      -1.753520643456e-11 
       6.389846824781e-05      -1.131775057024e-02      -8.522578146861e-03      -8.522583675851e-03      -1.131675486620e-02      -8.520961775639e-03      -8.527052761157e-03       5.994041387148e-01       5.984153422830e-01      -2.038809391817e-08      -4.215052013267e-12      -2.106721174590e-08      -2.577631770254e-11      -4.530204556883e-11 
       7.757424324409e-05      -1.664858554573e-02      -1.256080337719e-02      -1.256081537802e-02      -1.664642605537e-02      -1.255827707037e-02      -1.256734767129e-02       5.993889482313e-01       5.984029124435e-01      -4.422658292447e-08      -9.146614068182e-12      -4.569905023463e-08      -5.598967803040e-11      -9.827178087692e-11 
       9.145538642786e-05      -2.308583993800e-02      -1.745787880283e-02      -1.745790196425e-02      -2.308167614910e-02      -1.745412475907e-02      -1.746688954367e-02       5.993705401328e-01       5.983878444680e-01      -8.529441827941e-08      -1.764760720692e-11      -8.813257938166e-08      -1.081556250544e-10      -1.895271177283e-10 
       1.055846293703e-04      -3.068483651292e-02      -2.326821757522e-02      -2.326825867476e-02      -3.067745634610e-02      -2.326283012859e-02      -2.328009320295e-02       5.993487193750e-01       5.983699755675e-01      -1.512239152242e-07      -3.130451657844e-11      -1.562524710296e-07      -1.921251017034e-10      -3.360295578163e-10 
       1.200069067373e-04      -3.951179955313e-02      -3.005807344752e-02      -3.005814194643e-02      -3.949951568367e-02      -3.005053423111e-02      -3.007321262980e-02       5.993232465997e-01       5.983491056398e-01      -2.517855975064e-07      -5.215268714819e-11      -2.601514684926e-07      -3.206051347457e-10      -5.594937478340e-10 
       1.347698002505e-04      -4.964452633369e-02      -3.790694103735e-02      -3.790704982010e-02      -4.962504831216e-02      -3.789658806948e-02      -3.792574006748e-02       5.992938368309e-01       5.983249960948e-01      -3.993988175887e-07      -8.278445810026e-11      -4.126571253708e-07      -5.098876127888e-10      -8.875228956557e-10 
