# Matter power spectrum P(k) at redshift z=4
# for k=1.04488e-05 to 1003.78 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044883175527e-05       2.889904994021e+00 
       2.370050338713e-05       6.467533607242e+00 
       3.700063944182e-05       1.001769390850e+01 
       5.038711707899e-05       1.356435539158e+01 
       6.389846824781e-05       1.712385044921e+01 
       7.757424324409e-05       2.070996905505e+01 
       9.145538642786e-05       2.433548694452e+01 
       1.055846293703e-04       2.801284359680e+01 
       1.200069067373e-04       3.175452588377e+01 
       1.347698002505e-04       3.557332983561e+01 
       1.499240160634e-04       3.948256639940e+01 
       1.655239007843e-04       4.349624119077e+01 
       1.816280011095e-04       4.762922341270e+01 
       1.982996714877e-04       5.189741257847e+01 
       2.156077332810e-04       5.631790709014e+01 
       2.336271873434e-04       6.090917702751e+01 
       2.524399795515e-04       6.569124316285e+01 
       2.721358152929e-04       7.068585899885e+01 
       2.928130138504e-04       7.591669576646e+01 
       3.145793865680e-04       8.140952298740e+01 
       3.375531131145e-04       8.719237906343e+01 
       3.618635775668e-04       9.329571878104e+01 
       3.876521099662e-04       9.975252460646e+01 
       4.150725592880e-04       1.065983589970e+02 
       4.442916007502e-04       1.138713337186e+02 
       4.754886553233e-04       1.216119628340e+02 
       5.088552748300e-04       1.298628627061e+02 
       5.445938267077e-04       1.386682576696e+02 
       5.829153052047e-04       1.480732523207e+02 
       6.240361095991e-04       1.581228353225e+02 
       6.681736753439e-04       1.688605963402e+02 
       7.155409301449e-04       1.803271647425e+02 
       7.663396781176e-04       1.925584143247e+02 
       8.207531854004e-04       2.055835280489e+02 
       8.789384292238e-04       2.194230600262e+02 
       9.410186427090e-04       2.340871754248e+02 
       1.007076892125e-03       2.495742734384e+02 
       1.077151416773e-03       2.658701710761e+02 
       1.151233319192e-03       2.829479851541e+02 
       1.229266925659e-03       3.007687622267e+02 
       1.311152794062e-03       3.192828062037e+02 
       1.396753004406e-03       3.384315537005e+02 
