# Matter power spectrum P(k) at redshift z=4
# for k=1.04488e-05 to 1003.78 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044883175527e-05       2.889821534332e+00 
       2.370050338713e-05       6.467347315171e+00 
       3.700063944182e-05       1.001740670686e+01 
       5.038711707899e-05       1.356396915724e+01 
       6.389846824781e-05       1.712336727399e+01 
       7.757424324409e-05       2.070939137862e+01 
       9.145538642786e-05       2.433481766756e+01 
       1.055846293703e-04       2.801208619825e+01 
       1.200069067373e-04       3.175368455769e+01 
       1.347698002505e-04       3.557240965447e+01 
       1.499240160634e-04       3.948157351434e+01 
       1.655239007843e-04       4.349518307662e+01 
       1.816280011095e-04       4.762810916904e+01 
       1.982996714877e-04       5.189625330359e+01 
       2.156077332810e-04       5.631671634498e+01 
       2.336271873434e-04       6.090797140708e+01 
       2.524399795515e-04       6.569004301378e+01 
       2.721358152929e-04       7.068468930540e+01 
       2.928130138504e-04       7.591558726366e+01 
       3.145793865680e-04       8.140851354570e+01 
       3.375531131145e-04       8.719151542448e+01 
       3.618635775668e-04       9.329505872323e+01 
       3.876521099662e-04       9.975213965797e+01 
       4.150725592880e-04       1.065983378199e+02 
       4.442916007502e-04       1.138717863277e+02 
       4.754886553233e-04       1.216130258382e+02 
       5.088552748300e-04       1.298647057860e+02 
       5.445938267077e-04       1.386710915370e+02 
       5.829153052047e-04       1.480773384172e+02 
       6.240361095991e-04       1.581284975157e+02 
       6.681736753439e-04       1.688682348446e+02 
       7.155409301449e-04       1.803372724283e+02 
       7.663396781176e-04       1.925715954697e+02 
       8.207531854004e-04       2.056005194144e+02 
       8.789384292238e-04       2.194447539200e+02 
       9.410186427090e-04       2.341146441611e+02 
       1.007076892125e-03       2.496087943533e+02 
       1.077151416773e-03       2.659132510113e+02 
       1.151233319192e-03       2.830013831779e+02 
       1.229266925659e-03       3.008345093259e+02 
       1.311152794062e-03       3.193632207537e+02 
       1.396753004406e-03       3.385292517595e+02 
       1.485898103579e-03       3.582677083649e+02 
       1.578394942106e-03       3.785094083082e+02 
       1.674034647550e-03       3.991831226821e+02 
       1.772600100510e-03       4.202175866302e+02 
       1.873872466169e-03       4.415431481167e+02 
       1.977636536206e-03       4.630930336630e+02 
       2.083684813396e-03       4.848042675746e+02 
       2.191820403523e-03       5.066182234872e+02 
       2.301858861427e-03       5.284803411154e+02 
       2.413629176451e-03       5.503419662861e+02 
       2.526974088426e-03       5.721589147272e+02 
       2.641749910640e-03       5.938914492090e+02 
       2.757826010760e-03       6.155043069012e+02 
       2.875084071783e-03       6.369662561732e+02 
       2.993417227104e-03       6.582499856725e+02 
       3.112729139196e-03       6.793316325292e+02 
       3.232933071076e-03       7.001905118388e+02 
       3.353950983664e-03       7.208087486114e+02 
       3.475712680051e-03       7.411709559340e+02 
       3.598155008691e-03       7.612640536823e+02 
       3.721221131280e-03       7.810768453737e+02 
       3.844859856692e-03       8.006000343356e+02 
       3.969025039506e-03       8.198257385446e+02 
       4.093675039900e-03       8.387475838849e+02 
       4.218772240649e-03       8.573605199572e+02 
       4.344282616503e-03       8.756605335210e+02 
       4.470175351099e-03       8.936444737603e+02 
       4.596422496654e-03       9.113105121248e+02 
       4.722998671932e-03       9.286570506425e+02 
       4.849880794303e-03       9.456837468566e+02 
       4.977047842055e-03       9.623905868354e+02 
       5.104480643516e-03       9.787778401609e+02 
       5.232161689861e-03       9.948468279352e+02 
       5.360074968836e-03       1.010598575417e+03 
       5.488205816956e-03       1.026034925321e+03 
       5.616540787985e-03       1.041158056411e+03 
       5.745067535796e-03       1.055970134427e+03 
       5.873774709920e-03       1.070473744162e+03 
       6.002651862290e-03       1.084671653248e+03 
       6.131689363893e-03       1.098566496020e+03 
       6.260878330180e-03       1.112161765119e+03 
       6.390210554214e-03       1.125460450948e+03 
       6.519678446704e-03       1.138465591625e+03 
       6.649274982110e-03       1.151180875659e+03 
       6.778993650176e-03       1.163609485033e+03 
       6.908828412258e-03       1.175754899561e+03 
       7.038773661946e-03       1.187620929349e+03 
       7.168824189491e-03       1.199211035729e+03 
       7.298975149639e-03       1.210528335953e+03 
       7.429222032517e-03       1.221576907806e+03 
       7.559560637226e-03       1.232360126875e+03 
       7.689987047882e-03       1.242881182329e+03 
       7.820497611841e-03       1.253144359754e+03 
       7.951088919888e-03       1.263153011079e+03 
       8.081757788189e-03       1.272910248520e+03 
       8.212501241839e-03       1.282419490948e+03 
       8.343316499837e-03       1.291684533698e+03 
       8.474200961356e-03       1.300708712908e+03 
       8.605152193182e-03       1.309495008190e+03 
       8.736167918215e-03       1.318047370724e+03 
       8.867246004919e-03       1.326369142344e+03 
       8.998384457645e-03       1.334463087414e+03 
       9.129581407748e-03       1.342332689104e+03 
       9.260835105408e-03       1.349981181687e+03 
       9.392143912118e-03       1.357411833639e+03 
       9.523506293757e-03       1.364627543048e+03 
       9.654920814204e-03       1.371631381132e+03 
       9.786386129455e-03       1.378428451904e+03 
       9.917900982187e-03       1.385018614248e+03 
       1.004946419673e-02       1.391405399547e+03 
       1.018107467444e-02       1.397592315030e+03 
