# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04488e-05 to 1003.78 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.044883175527e-05      -3.340449929790e-04      -2.505634375483e-04      -2.505634425246e-04      -3.340440469861e-04      -2.505175628805e-04      -2.506848143435e-04       5.988849701523e-01       5.979808398596e-01      -1.686820892649e-11      -3.180756410487e-15      -1.744284328353e-11      -1.774914537437e-14      -3.406813591079e-14 
       2.370050338713e-05      -1.717787444568e-03      -1.289126376395e-03      -1.289126508094e-03      -1.717762413766e-03      -1.288887105506e-03      -1.289749643936e-03       5.988813453868e-01       5.979778647360e-01      -4.463477558786e-10      -8.417383480367e-14      -4.615511456628e-10      -4.698200941323e-13      -9.014751338455e-13 
       3.700063944182e-05      -4.183008878554e-03      -3.141922518316e-03      -3.141923300372e-03      -4.182860291547e-03      -3.141325224824e-03      -3.143436339900e-03       5.988748769450e-01       5.979725545858e-01      -2.649740643480e-09      -4.997944007162e-13      -2.739976069395e-09      -2.790804454143e-12      -5.351625936801e-12 
       5.038711707899e-05      -7.747346388986e-03      -5.826546217197e-03      -5.826548905367e-03      -7.746835905955e-03      -5.825400594670e-03      -5.829339469587e-03       5.988655137167e-01       5.979648674844e-01      -9.104242675849e-09      -1.717681985365e-12      -9.414182722388e-09      -9.597492356200e-12      -1.838776170760e-11 
       6.389846824781e-05      -1.243828127976e-02      -9.370153000086e-03      -9.370159947946e-03      -1.243696275037e-02      -9.368230026666e-03      -9.374615259918e-03       5.988531568628e-01       5.979547195592e-01      -2.351790386256e-08      -4.438657348553e-12      -2.431819985630e-08      -2.482130821408e-11      -4.749931154885e-11 
       7.757424324409e-05      -1.829339116989e-02      -1.380997470172e-02      -1.380998978140e-02      -1.829053179896e-02      -1.380699173023e-02      -1.381649635988e-02       5.988376859945e-01       5.979420102661e-01      -5.100872282628e-08      -9.631272007636e-12      -5.274357759368e-08      -5.391529305614e-11      -1.030238032246e-10 
       9.145538642786e-05      -2.536071121472e-02      -1.919405204230e-02      -1.919408114391e-02      -2.535519858119e-02      -1.918965522382e-02      -1.920302389350e-02       5.988189394733e-01       5.979266041781e-01      -9.835756882263e-08      -1.858141470692e-11      -1.017006588110e-07      -1.041485824500e-10      -1.986581751691e-10 
       1.055846293703e-04      -3.369919607869e-02      -2.558220577215e-02      -2.558225740833e-02      -3.368942642509e-02      -2.557594885327e-02      -2.559401788340e-02       5.987967191961e-01       5.979083349598e-01      -1.743492158705e-07      -3.295820902324e-11      -1.802706605779e-07      -1.850072130679e-10      -3.521479518966e-10 
       1.200069067373e-04      -4.337927000882e-02      -3.304727372044e-02      -3.304735977231e-02      -4.336301149673e-02      -3.303859202513e-02      -3.306231332758e-02       5.987707826321e-01       5.978869987288e-01      -2.902204296655e-07      -5.490238315410e-11      -3.000684194157e-07      -3.087275408066e-10      -5.861932434785e-10 
       1.347698002505e-04      -5.448344556009e-02      -4.167665002812e-02      -4.167678667194e-02      -5.445766973742e-02      -4.166482811554e-02      -4.169529812566e-02       5.987408408594e-01       5.978623521666e-01      -4.602411935986e-07      -8.713946011842e-11      -4.758422250374e-07      -4.909980474886e-10      -9.296235424358e-10 
