# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04488e-05 to 1003.78 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044883175527e-05       3.561344399292e+00 
       2.370050338713e-05       7.970196476431e+00 
       3.700063944182e-05       1.234519511619e+01 
       5.038711707899e-05       1.671587698974e+01 
       6.389846824781e-05       2.110236733202e+01 
       7.757424324409e-05       2.552165798998e+01 
       9.145538642786e-05       2.998949071335e+01 
       1.055846293703e-04       3.452119259058e+01 
       1.200069067373e-04       3.913214883746e+01 
       1.347698002505e-04       4.383812513858e+01 
       1.499240160634e-04       4.865552128822e+01 
       1.655239007843e-04       5.360159242089e+01 
       1.816280011095e-04       5.869465715919e+01 
       1.982996714877e-04       6.395430288619e+01 
       2.156077332810e-04       6.940159322720e+01 
       2.336271873434e-04       7.505928086942e+01 
       2.524399795515e-04       8.095202775605e+01 
       2.721358152929e-04       8.710662922273e+01 
       2.928130138504e-04       9.355224148013e+01 
       3.145793865680e-04       1.003206037120e+02 
       3.375531131145e-04       1.074462478517e+02 
       3.618635775668e-04       1.149666796827e+02 
       3.876521099662e-04       1.229225154950e+02 
       4.150725592880e-04       1.313575458470e+02 
       4.442916007502e-04       1.403186972749e+02 
       4.754886553233e-04       1.498558506790e+02 
       5.088552748300e-04       1.600214716080e+02 
       5.445938267077e-04       1.708700015380e+02 
       5.829153052047e-04       1.824569624483e+02 
       6.240361095991e-04       1.948377318007e+02 
       6.681736753439e-04       2.080659658113e+02 
       7.155409301449e-04       2.221916821701e+02 
       7.663396781176e-04       2.372590571265e+02 
       8.207531854004e-04       2.533040530150e+02 
       8.789384292238e-04       2.703520452368e+02 
       9.410186427090e-04       2.884156703873e+02 
       1.007076892125e-03       3.074931463205e+02 
       1.077151416773e-03       3.275672804744e+02 
       1.151233319192e-03       3.486053326938e+02 
       1.229266925659e-03       3.705597905172e+02 
       1.311152794062e-03       3.933699916655e+02 
       1.396753004406e-03       4.169644101957e+02 
       1.485898103579e-03       4.412633738885e+02 
       1.578394942106e-03       4.661819135693e+02 
       1.674034647550e-03       4.916324929920e+02 
       1.772600100510e-03       5.175274596549e+02 
       1.873872466169e-03       5.437810645192e+02 
       1.977636536206e-03       5.703110238859e+02 
       2.083684813396e-03       5.970396701420e+02 
       2.191820403523e-03       6.238946599415e+02 
       2.301858861427e-03       6.508086576361e+02 
       2.413629176451e-03       6.777216303798e+02 
       2.526974088426e-03       7.045790979788e+02 
       2.641749910640e-03       7.313321101800e+02 
       2.757826010760e-03       7.579372819264e+02 
       2.875084071783e-03       7.843561928272e+02 
       2.993417227104e-03       8.105552983294e+02 
       3.112729139196e-03       8.365052620711e+02 
       3.232933071076e-03       8.621806436136e+02 
       3.353950983664e-03       8.875594336828e+02 
       3.475712680051e-03       9.126226633687e+02 
       3.598155008691e-03       9.373541934570e+02 
       3.721221131280e-03       9.617402055565e+02 
       3.844859856692e-03       9.857692341496e+02 
       3.969025039506e-03       1.009431576499e+03 
       4.093675039900e-03       1.032719405638e+03 
       4.218772240649e-03       1.055626539682e+03 
       4.344282616503e-03       1.078148078892e+03 
       4.470175351099e-03       1.100280183066e+03 
       4.596422496654e-03       1.122020629674e+03 
       4.722998671932e-03       1.143367468694e+03 
       4.849880794303e-03       1.164320285170e+03 
       4.977047842055e-03       1.184879063620e+03 
       5.104480643516e-03       1.205044138214e+03 
       5.232161689861e-03       1.224817143104e+03 
       5.360074968836e-03       1.244199355546e+03 
       5.488205816956e-03       1.263193066347e+03 
       5.616540787985e-03       1.281800983739e+03 
       5.745067535796e-03       1.300025799527e+03 
       5.873774709920e-03       1.317870716590e+03 
       6.002651862290e-03       1.335339156153e+03 
       6.131689363893e-03       1.352434379967e+03 
       6.260878330180e-03       1.369160691686e+03 
       6.390210554214e-03       1.385521726501e+03 
       6.519678446704e-03       1.401521245424e+03 
       6.649274982110e-03       1.417163786108e+03 
       6.778993650176e-03       1.432453292490e+03 
       6.908828412258e-03       1.447394077224e+03 
       7.038773661946e-03       1.461990847749e+03 
       7.168824189491e-03       1.476247868707e+03 
       7.298975149639e-03       1.490168989103e+03 
       7.429222032517e-03       1.503759239060e+03 
       7.559560637226e-03       1.517022776252e+03 
       7.689987047882e-03       1.529963529699e+03 
       7.820497611841e-03       1.542586777961e+03 
       7.951088919888e-03       1.554896651849e+03 
       8.081757788189e-03       1.566896988015e+03 
       8.212501241839e-03       1.578592004863e+03 
       8.343316499837e-03       1.589986380644e+03 
       8.474200961356e-03       1.601084231053e+03 
       8.605152193182e-03       1.611889234978e+03 
       8.736167918215e-03       1.622406260478e+03 
       8.867246004919e-03       1.632639425945e+03 
       8.998384457645e-03       1.642592119669e+03 
       9.129581407748e-03       1.652268533926e+03 
       9.260835105408e-03       1.661673837106e+03 
       9.392143912118e-03       1.670812135592e+03 
       9.523506293757e-03       1.679684205586e+03 
       9.654920814204e-03       1.688295372041e+03 
       9.786386129455e-03       1.696649897194e+03 
       9.917900982187e-03       1.704750991346e+03 
       1.004946419673e-02       1.712602224065e+03 
       1.018107467444e-02       1.720207434520e+03 
       1.031273138939e-02       1.727570265575e+03 
       1.044443338439e-02       1.734693847901e+03 
       1.057617976732e-02       1.741582036029e+03 
       1.070796970771e-02       1.748237728265e+03 
       1.083980243358e-02       1.754664236071e+03 
       1.097167722849e-02       1.760865137576e+03 
       1.110359342884e-02       1.766843487462e+03 
       1.123555042131e-02       1.772602544491e+03 
       1.136754764053e-02       1.778145985922e+03 
       1.149958456690e-02       1.783475658553e+03 
