# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.366906110165e-10       4.996271094697e-15       3.786453198475e-13       0.000000000000e+00       7.967201264445e-09       4.488452624857e-10      -2.009260960270e-12 
    3       1.294711430473e-10       7.186419468166e-15       4.465315629095e-13       0.000000000000e+00       4.960200211111e-09       3.184286487070e-10      -1.626119091018e-12 
    4       1.224752358907e-10       7.025694791693e-15       4.349787780980e-13       0.000000000000e+00       3.448349305395e-09       2.407887773369e-10      -1.164385084143e-12 
    5       1.171576282456e-10       5.334415959820e-15       3.844990516040e-13       0.000000000000e+00       2.569456244656e-09       1.899022802609e-10      -7.427178908576e-13 
    6       1.134311649367e-10       3.339548643691e-15       3.199340923847e-13       0.000000000000e+00       2.002492456782e-09       1.541747918038e-10      -3.999358864415e-13 
    7       1.109689288692e-10       1.855079758177e-15       2.569012884048e-13       0.000000000000e+00       1.610744425368e-09       1.279160716921e-10      -1.491241623093e-13 
    8       1.095290994505e-10       1.068297905433e-15       2.035124858046e-13       0.000000000000e+00       1.327220841258e-09       1.080292877871e-10       1.209345229917e-14 
    9       1.088312783132e-10       7.689785373421e-16       1.632919482475e-13       0.000000000000e+00       1.114966086760e-09       9.260269488815e-11       9.577479788863e-14 
   10       1.086789651880e-10       6.685847179741e-16       1.367443039846e-13       0.000000000000e+00       9.514717111060e-10       8.036013017171e-11       1.197250062484e-13 
   11       1.089699463626e-10       5.925301694524e-16       1.223263455779e-13       0.000000000000e+00       8.020247149739e-10       7.089164806877e-11       1.040105434504e-13 
   12       1.096185363231e-10       5.037113999719e-16       1.174053388389e-13       0.000000000000e+00       6.996134428009e-10       6.251796449397e-11       6.743732006300e-14 
   13       1.104809432581e-10       4.319219066628e-16       1.191295082942e-13       0.000000000000e+00       6.156228102011e-10       5.573472893171e-11       2.586564501613e-14 
   14       1.115925270098e-10       4.024806511307e-16       1.249078492459e-13       0.000000000000e+00       5.458239372846e-10       4.998971242420e-11      -1.009077193486e-14 
   15       1.128577046102e-10       4.111273657064e-16       1.325542807203e-13       0.000000000000e+00       4.871354660502e-10       4.498548851705e-11      -3.454530283995e-14 
   16       1.142528605202e-10       4.380606637465e-16       1.406068994733e-13       0.000000000000e+00       4.372890829176e-10       4.074619067284e-11      -4.566697545317e-14 
   17       1.157750530332e-10       4.700446848206e-16       1.483674088388e-13       0.000000000000e+00       3.945754888287e-10       3.711795833104e-11      -4.514432775105e-14 
   18       1.173972463354e-10       5.093183912813e-16       1.556038678948e-13       0.000000000000e+00       3.575431538093e-10       3.392077602862e-11      -3.677835798838e-14 
   19       1.191240219357e-10       5.649479390510e-16       1.624987927323e-13       0.000000000000e+00       3.255930232735e-10       3.110077958203e-11      -2.441241226806e-14 
   20       1.209172843427e-10       6.467181758221e-16       1.693925309700e-13       0.000000000000e+00       2.974838958488e-10       2.857551367158e-11      -1.251603471797e-14 
   21       1.227805613403e-10       7.551866177879e-16       1.765945054507e-13       0.000000000000e+00       2.727667596808e-10       2.634580119203e-11      -3.524820958279e-15 
   22       1.247009847926e-10       8.868686201187e-16       1.843752487860e-13       0.000000000000e+00       2.508430185992e-10       2.439698824259e-11       9.637768830418e-16 
   23       1.266822107001e-10       1.039472773259e-15       1.927376678457e-13       0.000000000000e+00       2.314059453264e-10       2.267060935063e-11       1.062281526711e-15 
   24       1.287127224177e-10       1.210932323527e-15       2.015139524002e-13       0.000000000000e+00       2.140009624097e-10       2.107956870675e-11      -2.190281590947e-15 
   25       1.307945508481e-10       1.401931421250e-15       2.103438786905e-13       0.000000000000e+00       1.984193259817e-10       1.963556836067e-11      -7.276450722117e-15 
   26       1.329196334258e-10       1.613585681884e-15       2.187612593323e-13       0.000000000000e+00       1.843750598737e-10       1.836171407793e-11      -1.234960884040e-14 
   27       1.350897498112e-10       1.844914865635e-15       2.264429410196e-13       0.000000000000e+00       1.716969044689e-10       1.722606522601e-11      -1.623249906175e-14 
   28       1.372999355136e-10       2.094506431986e-15       2.331064486334e-13       0.000000000000e+00       1.601635777988e-10       1.617403933600e-11      -1.803619532235e-14 
   29       1.395549687919e-10       2.363606986016e-15       2.386013204631e-13       0.000000000000e+00       1.497142168857e-10       1.520053309795e-11      -1.779109499148e-14 
   30       1.418500079457e-10       2.654554713606e-15       2.428185381355e-13       0.000000000000e+00       1.402345151539e-10       1.430858311966e-11      -1.593482555697e-14 
   31       1.441703090474e-10       2.969868631851e-15       2.456859845408e-13       0.000000000000e+00       1.315285912558e-10       1.349387801400e-11      -1.307214720304e-14 
   32       1.465210789377e-10       3.311294573409e-15       2.472840150936e-13       0.000000000000e+00       1.235501887512e-10       1.275193607905e-11      -9.858613780554e-15 
   33       1.489062932589e-10       3.680421030982e-15       2.477794365027e-13       0.000000000000e+00       1.162417920004e-10       1.207205318082e-11      -7.098192125170e-15 
   34       1.513231388641e-10       4.078709247924e-15       2.473485758626e-13       0.000000000000e+00       1.094997660767e-10       1.143926732531e-11      -5.564881950523e-15 
   35       1.537739321629e-10       4.506725981676e-15       2.459982278514e-13       0.000000000000e+00       1.032885505952e-10       1.085065281375e-11      -5.231020938216e-15 
   36       1.562566708278e-10       4.964622478934e-15       2.436831110354e-13       0.000000000000e+00       9.755716161543e-11       1.030385712144e-11      -5.764298348198e-15 
   37       1.587652619731e-10       5.452509220922e-15       2.403386135904e-13       0.000000000000e+00       9.222970284153e-11       9.794189546046e-12      -6.773471551283e-15 
   38       1.613041977680e-10       5.971107307814e-15       2.358336290337e-13       0.000000000000e+00       8.729179608640e-11       9.320702780870e-12      -7.982561404477e-15 
   39       1.638775929420e-10       6.521301191053e-15       2.299997277947e-13       0.000000000000e+00       8.272729438930e-11       8.881623675901e-12      -9.105012903858e-15 
   40       1.664845622719e-10       7.103963088505e-15       2.226414518937e-13       0.000000000000e+00       7.849201834826e-11       8.472417810602e-12      -9.792050646438e-15 
   41       1.691209362218e-10       7.719899186552e-15       2.135814246901e-13       0.000000000000e+00       7.452901288570e-11       8.087422358179e-12      -9.738815942443e-15 
   42       1.717863843936e-10       8.369669478817e-15       2.028176830891e-13       0.000000000000e+00       7.082615864680e-11       7.725960960187e-12      -9.053633897719e-15 
