# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.366910411893e-10       4.996461239347e-15       3.786453161924e-13       1.901445797523e-19       7.967201264445e-09       4.488452624857e-10      -2.009260960270e-12 
    3       1.294720012739e-10       7.186799851433e-15       4.465315466235e-13       3.803825724462e-19       4.960200211111e-09       3.184286487070e-10      -1.626119091018e-12 
    4       1.224766616182e-10       7.026328971782e-15       4.349787313142e-13       6.341766722271e-19       3.448349305395e-09       2.407887773369e-10      -1.164385084143e-12 
    5       1.171597582560e-10       5.335367617829e-15       3.844989450601e-13       9.516462857047e-19       2.569456244656e-09       1.899022802609e-10      -7.427178908576e-13 
    6       1.134341328140e-10       3.340881612092e-15       3.199338829644e-13       1.332936358999e-18       2.002492456782e-09       1.541747918038e-10      -3.999358864415e-13 
    7       1.109728645482e-10       1.856858047607e-15       2.569009169156e-13       1.778214682834e-18       1.610744425368e-09       1.279160716921e-10      -1.491241623093e-13 
    8       1.095341288565e-10       1.070585729281e-15       2.035118750219e-13       2.287668830976e-18       1.327220841258e-09       1.080292877871e-10       1.209345229917e-14 
    9       1.088375230999e-10       7.718403335523e-16       1.632910012464e-13       2.861502816729e-18       1.114966086760e-09       9.260269488815e-11       9.577479788863e-14 
   10       1.086865425763e-10       6.720851674449e-16       1.367429027695e-13       3.499933559026e-18       9.514717111060e-10       8.036013017171e-11       1.197250062484e-13 
   11       1.089789690800e-10       5.967342103725e-16       1.223243500131e-13       4.203187253617e-18       8.020247149739e-10       7.089164806877e-11       1.040105434504e-13 
   12       1.096291126389e-10       5.086842374352e-16       1.174025858723e-13       4.971495745747e-18       6.996134428009e-10       6.251796449397e-11       6.743732006300e-14 
   13       1.104931771091e-10       4.377290169341e-16       1.191258114608e-13       5.805092998659e-18       6.156228102011e-10       5.573472893171e-11       2.586564501613e-14 
   14       1.116065182044e-10       4.091877799996e-16       1.249029984289e-13       6.704211747238e-18       5.458239372846e-10       4.998971242420e-11      -1.009077193486e-14 
   15       1.128735491008e-10       4.188005204704e-16       1.325480421438e-13       7.669080418347e-18       4.871354660502e-10       4.498548851705e-11      -3.454530283995e-14 
   16       1.142706507270e-10       4.467660985091e-16       1.405990158970e-13       8.699920389252e-18       4.372890829176e-10       4.074619067284e-11      -4.566697545317e-14 
   17       1.157948782051e-10       4.798488789592e-16       1.483575999226e-13       9.796943643172e-18       3.945754888287e-10       3.711795833104e-11      -4.514432775105e-14 
   18       1.174191929382e-10       5.202880213418e-16       1.555918307157e-13       1.096035070037e-17       3.575431538093e-10       3.392077602862e-11      -3.677835798838e-14 
   19       1.191481740066e-10       5.771498431905e-16       1.624842023397e-13       1.219033002148e-17       3.255930232735e-10       3.110077958203e-11      -2.441241226806e-14 
   20       1.209437239135e-10       6.602193141709e-16       1.693750411801e-13       1.348705519975e-17       2.974838958488e-10       2.857551367158e-11      -1.251603471797e-14 
   21       1.228093687207e-10       7.700540258764e-16       1.765737494966e-13       1.485068715362e-17       2.727667596808e-10       2.634580119203e-11      -3.524820958279e-15 
   22       1.247322389331e-10       9.031693584068e-16       1.843508402326e-13       1.628137107443e-17       2.508430185992e-10       2.439698824259e-11       9.637768830418e-16 
   23       1.267159893746e-10       1.057273874531e-15       1.927092013293e-13       1.777924028165e-17       2.314059453264e-10       2.267060935063e-11       1.062281526711e-15 
   24       1.287491024853e-10       1.230300736096e-15       2.014810046417e-13       1.934441311701e-17       2.140009624097e-10       2.107956870675e-11      -2.190281590947e-15 
   25       1.308336082899e-10       1.422933956595e-15       2.103060093366e-13       2.097699884863e-17       1.984193259817e-10       1.963556836067e-11      -7.276450722117e-15 
   26       1.329614434788e-10       1.636288956003e-15       2.187180120792e-13       2.267709382118e-17       1.843750598737e-10       1.836171407793e-11      -1.234960884040e-14 
   27       1.351343868956e-10       1.869385248631e-15       2.263938446571e-13       2.444478739641e-17       1.716969044689e-10       1.722606522601e-11      -1.623249906175e-14 
   28       1.373474732218e-10       2.120809994297e-15       2.330510183583e-13       2.628015947606e-17       1.601635777988e-10       1.617403933600e-11      -1.803619532235e-14 
   29       1.396054795949e-10       2.391809470968e-15       2.385390592754e-13       2.818329101916e-17       1.497142168857e-10       1.520053309795e-11      -1.779109499148e-14 
   30       1.419035630857e-10       2.684721487233e-15       2.427489384222e-13       3.015425559695e-17       1.402345151539e-10       1.430858311966e-11      -1.593482555697e-14 
   31       1.442269784224e-10       3.002064636404e-15       2.456085299276e-13       3.219311992022e-17       1.315285912558e-10       1.349387801400e-11      -1.307214720304e-14 
   32       1.465809307002e-10       3.345584330015e-15       2.471981828393e-13       3.429995847119e-17       1.235501887512e-10       1.275193607905e-11      -9.858613780554e-15 
   33       1.489693935536e-10       3.716868609336e-15       2.476846997667e-13       3.647484434087e-17       1.162417920004e-10       1.207205318082e-11      -7.098192125170e-15 
   34       1.513895516011e-10       4.117378235804e-15       2.472444062825e-13       3.871784830528e-17       1.094997660767e-10       1.143926732531e-11      -5.564881950523e-15 
   35       1.538437187430e-10       4.547679501273e-15       2.458840992287e-13       4.102904840679e-17       1.032885505952e-10       1.085065281375e-11      -5.231020938216e-15 
   36       1.563298898548e-10       5.007923172801e-15       2.435585025568e-13       4.340852422889e-17       9.755716161543e-11       1.030385712144e-11      -5.764298348198e-15 
   37       1.588419690399e-10       5.498219233991e-15       2.402030134272e-13       4.585635546279e-17       9.222970284153e-11       9.794189546046e-12      -6.773471551283e-15 
   38       1.613844455420e-10       6.019288296889e-15       2.356865396990e-13       4.837262440157e-17       8.729179608640e-11       9.320702780870e-12      -7.982561404477e-15 
   39       1.639614310147e-10       6.572014317283e-15       2.298406706376e-13       5.095741495154e-17       8.272729438930e-11       8.881623675901e-12      -9.105012903858e-15 
   40       1.665720369039e-10       7.157269003834e-15       2.224699713797e-13       5.361081250482e-17       7.849201834826e-11       8.472417810602e-12      -9.792050646438e-15 
