# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.5
# for k=1.04662e-05 to 1252.33 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.046615463745e-05      -2.569663993242e-04      -1.927423489367e-04      -1.927423512232e-04      -2.569659961183e-04      -1.927178184279e-04      -1.928634874125e-04       6.001575014180e-01       5.989866287199e-01      -1.139498327180e-11      -2.480346491261e-15      -1.173560338400e-11      -1.967112697593e-14      -2.974865544402e-14 
       2.376038198236e-05      -1.323862538443e-03      -9.933629724775e-04      -9.933630332037e-04      -1.323851832143e-03      -9.932335756457e-04      -9.939863439473e-04       6.001540681856e-01       5.989838420019e-01      -3.025936674990e-10      -6.586942724189e-14      -3.116379802384e-10      -5.225031921136e-13      -7.899769562212e-13 
       3.710349534755e-05      -3.226037694177e-03      -2.422298752361e-03      -2.422299113357e-03      -3.225974070995e-03      -2.421970292059e-03      -2.423814671368e-03       6.001479400207e-01       5.989788668893e-01      -1.798428914330e-09      -3.915246589210e-13      -1.852173258294e-09      -3.106887559173e-12      -4.695149860748e-12 
       5.053373918547e-05      -5.978238776146e-03      -4.493207452254e-03      -4.493208693869e-03      -5.978020057717e-03      -4.492563424518e-03      -4.496008204094e-03       6.001390612458e-01       5.989716573222e-01      -6.183757423268e-09      -1.346385539982e-12      -6.368502619663e-09      -1.069002797239e-11      -1.614398391722e-11 
       6.409002286981e-05      -9.603384183867e-03      -7.227175053470e-03      -7.227178264137e-03      -9.602818980498e-03      -7.226065355204e-03      -7.231656253787e-03       6.001273448558e-01       5.989621423187e-01      -1.598388812669e-08      -3.480801951734e-12      -1.646126064035e-08      -2.765651673176e-11      -4.172955565260e-11 
       7.781229016556e-05      -1.413283626921e-02      -1.065311827909e-02      -1.065312525074e-02      -1.413161000033e-02      -1.065134622446e-02      -1.065967998094e-02       6.001126705198e-01       5.989502219839e-01      -3.469004562925e-08      -7.556103579051e-12      -3.572565003158e-08      -6.009064522211e-11      -9.056699230814e-11 
       9.174190112708e-05      -1.960679045337e-02      -1.480835753865e-02      -1.480837099930e-02      -1.960442520329e-02      -1.480566446833e-02      -1.481740498290e-02       6.000948841107e-01       5.989357693410e-01      -6.693696739657e-08      -1.458405172704e-11      -6.893421356112e-08      -1.161070840902e-10      -1.747574569181e-10 
       1.059220318115e-04      -2.607477980371e-02      -1.973937639512e-02      -1.973940029154e-02      -2.607058587599e-02      -1.973542300973e-02      -1.975132026611e-02       6.000737931481e-01       5.989186254244e-01      -1.187429881001e-07      -2.588025388612e-11      -1.222838826196e-07      -2.063012081685e-10      -3.100154138423e-10 
       1.203980972332e-04      -3.359629296556e-02      -2.550278955760e-02      -2.550282940344e-02      -3.358930964538e-02      -2.549713289223e-02      -2.551804555927e-02       6.000491644278e-01       5.988985969576e-01      -1.978269504603e-07      -4.313309692930e-11      -2.037219015163e-07      -3.443488000527e-10      -5.164962623047e-10 
       1.352182030212e-04      -4.224150107415e-02      -3.216654752596e-02      -3.216661083759e-02      -4.223042310594e-02      -3.215861219657e-02      -3.218553503259e-02       6.000207182789e-01       5.988754526659e-01      -3.140205019871e-07      -6.849832519799e-11      -3.233701901963e-07      -5.477956063527e-10      -8.198743313050e-10 
       1.504336312308e-04      -5.209208436884e-02      -3.981141353232e-02      -3.981151037681e-02      -5.207517036881e-02      -3.980045548920e-02      -3.983455297923e-02       5.999881231222e-01       5.988489166928e-01      -4.798021560271e-07      -1.047101978413e-10      -4.940739782718e-07      -8.390914173291e-10      -1.252736532363e-09 
       1.660993656557e-04      -6.324214346460e-02      -4.853275646953e-02      -4.853290016534e-02      -6.321710032530e-02      -4.851781697849e-02      -4.856046504190e-02       5.999509904115e-01       5.988186678121e-01      -7.109825957550e-07      -1.552560819257e-10      -7.321085222275e-07      -1.246941931194e-09      -1.856378865124e-09 
       1.822746616995e-04      -7.579916495994e-02      -5.844271268285e-02      -5.844292067371e-02      -7.576300392598e-02      -5.842255952272e-02      -5.847539767776e-02       5.999088630867e-01       5.987843238348e-01      -1.027592179142e-06      -2.245363397846e-10      -1.058087865302e-06      -1.808076606678e-09      -2.683116155967e-09 
       1.990236653020e-04      -8.988500384584e-02      -6.967278092699e-02      -6.967307591945e-02      -8.983385685062e-02      -6.964583290901e-02      -6.971083001040e-02       5.998612093348e-01       5.987454416965e-01      -1.455013005700e-06      -3.181617882968e-10      -1.498132619512e-06      -2.569564057953e-09      -3.799252704955e-09 
       2.164160844181e-04      -1.056368108277e-01      -8.237692575004e-02      -8.237733717659e-02      -1.055656975190e-01      -8.234115536421e-02      -8.242069301132e-02       5.998074095274e-01       5.987015032942e-01      -2.025439669900e-06      -4.432718091941e-10      -2.085370107212e-06      -3.591851143586e-09      -5.288898954822e-09 
       2.345279149384e-04      -1.232077994074e-01      -9.673527866787e-02      -9.673584452195e-02      -1.231103364987e-01      -9.668808592871e-02      -9.678506496921e-02       5.997467429750e-01       5.986519029502e-01      -2.779758545021e-06      -6.089216158527e-10      -2.861860985493e-06      -4.952762697358e-09      -7.258876112104e-09 
       2.534422204530e-04      -1.427677208985e-01      -1.129585402385e-01      -1.129593095229e-01      -1.426357450300e-01      -1.128965887042e-01      -1.130145660274e-01       5.996783733443e-01       5.985959370853e-01      -3.769947202989e-06      -8.267122887676e-10      -3.881072019016e-06      -6.752779784509e-09      -9.845015329746e-09 
