# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04662e-05 to 1252.33 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046615463745e-05       2.374813870853e+00 
       2.376038198236e-05       5.319289001396e+00 
       3.710349534755e-05       8.241184099359e+00 
       5.053373918547e-05       1.116029829702e+01 
       6.409002286981e-05       1.409013434968e+01 
       7.781229016556e-05       1.704210140348e+01 
       9.174190112708e-05       2.002677642859e+01 
       1.059220318115e-04       2.305446354864e+01 
       1.203980972332e-04       2.613551161441e+01 
       1.352182030212e-04       2.928053091097e+01 
       1.504336312308e-04       3.250056396142e+01 
       1.660993656557e-04       3.580723555284e+01 
       1.822746616995e-04       3.921289282652e+01 
       1.990236653020e-04       4.273074502828e+01 
       2.164160844181e-04       4.637500405284e+01 
       2.345279149384e-04       5.016102891890e+01 
       2.534422204530e-04       5.410547562117e+01 
       2.732499615879e-04       5.822644939276e+01 
       2.940508653643e-04       6.254365895141e+01 
       3.159543176948e-04       6.707856813843e+01 
       3.390802521723e-04       7.185453716056e+01 
       3.635599952194e-04       7.689694576660e+01 
       3.895370109835e-04       8.223328427832e+01 
       4.171674689393e-04       8.789319483216e+01 
       4.466205333915e-04       9.390844111761e+01 
       4.780782483270e-04       1.003127803533e+02 
       5.117348661769e-04       1.071417034686e+02 
       5.477954498908e-04       1.144320116144e+02 
       5.864735715359e-04       1.222211935341e+02 
       6.279879469527e-04       1.305465773285e+02 
       6.725578955390e-04       1.394442410765e+02 
       7.203976063313e-04       1.489476901552e+02 
       7.717093298790e-04       1.590863443496e+02 
       8.266757926854e-04       1.698839129762e+02 
       8.854523243233e-04       1.813567802137e+02 
       9.481593574820e-04       1.935125521306e+02 
       1.014876058753e-03       2.063489390172e+02 
       1.085635827580e-03       2.198531211823e+02 
       1.160424239958e-03       2.340017073908e+02 
       1.239179727688e-03       2.487613250691e+02 
       1.321796928534e-03       2.640897826712e+02 
       1.408132297896e-03       2.799376891888e+02 
       1.498011316077e-03       2.962503509242e+02 
       1.591236505675e-03       3.129697414013e+02 
       1.687595497339e-03       3.300363864889e+02 
