# Matter power spectrum P(k) at redshift z=4
# for k=1.04662e-05 to 1252.33 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046615463745e-05       2.870643198359e+00 
       2.376038198236e-05       6.429883882127e+00 
       3.710349534755e-05       9.961826859127e+00 
       5.053373918547e-05       1.349040319117e+01 
       6.409002286981e-05       1.703193283545e+01 
       7.781229016556e-05       2.060020488841e+01 
       9.174190112708e-05       2.420800225362e+01 
       1.059220318115e-04       2.786777776559e+01 
       1.203980972332e-04       3.159203792690e+01 
       1.352182030212e-04       3.539360479234e+01 
       1.504336312308e-04       3.928582236518e+01 
       1.660993656557e-04       4.328273765129e+01 
       1.822746616995e-04       4.739927010873e+01 
       1.990236653020e-04       5.165138015125e+01 
       2.164160844181e-04       5.605623888855e+01 
       2.345279149384e-04       6.063240256617e+01 
       2.534422204530e-04       6.539999317894e+01 
       2.732499615879e-04       7.038088229349e+01 
       2.940508653643e-04       7.559887693343e+01 
       3.159543176948e-04       8.107990222758e+01 
       3.390802521723e-04       8.685217149270e+01 
       3.635599952194e-04       9.294633428478e+01 
       3.895370109835e-04       9.939558538061e+01 
       4.171674689393e-04       1.062357135999e+02 
       4.466205333915e-04       1.135050640077e+02 
       4.780782483270e-04       1.212443816921e+02 
       5.117348661769e-04       1.294964965794e+02 
       5.477954498908e-04       1.383058103615e+02 
       5.864735715359e-04       1.477175429987e+02 
       6.279879469527e-04       1.577767074683e+02 
       6.725578955390e-04       1.685267937614e+02 
       7.203976063313e-04       1.800081729442e+02 
       7.717093298790e-04       1.922562726825e+02 
       8.266757926854e-04       2.052996204256e+02 
       8.854523243233e-04       2.191579013834e+02 
       9.481593574820e-04       2.338402138217e+02 
       1.014876058753e-03       2.493437315390e+02 
       1.085635827580e-03       2.656529500084e+02 
       1.160424239958e-03       2.827396457577e+02 
       1.239179727688e-03       3.005635951969e+02 
       1.321796928534e-03       3.190739763701e+02 
       1.408132297896e-03       3.382113153135e+02 
       1.498011316077e-03       3.579097593460e+02 
       1.591236505675e-03       3.780994325512e+02 
       1.687595497339e-03       3.987086876070e+02 
       1.786868517943e-03       4.196660830398e+02 
       1.888834871686e-03       4.409020076969e+02 
       1.993278190033e-03       4.623498989828e+02 
       2.099990403001e-03       4.839471299957e+02 
       2.208774512640e-03       5.056355240294e+02 
       2.319446326928e-03       5.273609355660e+02 
       2.431835346064e-03       5.490755043105e+02 
       2.545784995326e-03       5.707355240307e+02 
       2.661152381292e-03       5.923019337151e+02 
       2.777807721218e-03       6.137399398613e+02 
       2.895633565607e-03       6.350190864059e+02 
       3.014523905780e-03       6.561125525377e+02 
       3.134383233717e-03       6.769970786793e+02 
       3.255125601351e-03       6.976525110971e+02 
       3.376673710775e-03       7.180614538176e+02 
       3.498958054978e-03       7.382091027334e+02 
       3.621916120120e-03       7.580827171678e+02 
       3.745491654238e-03       7.776717485215e+02 
       3.869634003183e-03       7.969671879760e+02 
       3.994297511863e-03       8.159615699286e+02 
       4.119440987235e-03       8.346489299798e+02 
       4.245027218577e-03       8.530245190821e+02 
       4.371022550148e-03       8.710849482103e+02 
       4.497396501295e-03       8.888271645876e+02 
       4.624121429184e-03       9.062497178941e+02 
       4.751172229615e-03       9.233513418807e+02 
       4.878526071723e-03       9.401319195060e+02 
       5.006162162716e-03       9.565916591315e+02 
       5.134061539207e-03       9.727311655265e+02 
       5.262206882030e-03       9.885519044925e+02 
       5.390582351791e-03       1.004055123821e+03 
       5.519173442700e-03       1.019242881294e+03 
       5.647966852537e-03       1.034117489849e+03 
       5.776950366838e-03       1.048681158994e+03 
       5.906112755635e-03       1.062936942250e+03 
       6.035443681281e-03       1.076887296107e+03 
       6.164933616064e-03       1.090535331391e+03 
       6.294573768474e-03       1.103884498969e+03 
       6.424356017137e-03       1.116937683175e+03 
       6.554272851536e-03       1.129698394396e+03 
       6.684317318752e-03       1.142170165777e+03 
       6.814482975552e-03       1.154356346044e+03 
       6.944763845229e-03       1.166260449056e+03 
       7.075154378676e-03       1.177886314336e+03 
       7.205649419222e-03       1.189237358431e+03 
       7.336244170848e-03       1.200316913550e+03 
       7.466934169390e-03       1.211129192272e+03 
       7.597715256448e-03       1.221677542830e+03 
       7.728583555693e-03       1.231965303841e+03 
       7.859535451344e-03       1.241996905383e+03 
       7.990567568576e-03       1.251775332535e+03 
       8.121676755680e-03       1.261303772351e+03 
       8.252860067794e-03       1.270586811137e+03 
       8.384114752044e-03       1.279626986444e+03 
       8.515438233968e-03       1.288428034693e+03 
       8.646828105098e-03       1.296993014483e+03 
       8.778282111580e-03       1.305326505563e+03 
       8.909798143747e-03       1.313430920949e+03 
       9.041374226545e-03       1.321309524744e+03 
       9.173008510746e-03       1.328965967610e+03 
       9.304699264861e-03       1.336403145815e+03 
       9.436444867704e-03       1.343624380859e+03 
       9.568243801544e-03       1.350632643973e+03 
       9.700094645786e-03       1.357430807977e+03 
       9.831996071153e-03       1.364024660410e+03 
       9.963946834302e-03       1.370413481768e+03 
       1.009594577286e-02       1.376600729625e+03 
       1.022799180083e-02       1.382590344484e+03 
       1.036008390434e-02       1.388384841451e+03 
       1.049222113772e-02       1.393987262527e+03 
       1.062440261983e-02       1.399399185691e+03 
       1.075662753072e-02       1.404625230956e+03 
       1.088889510847e-02       1.409666470439e+03 
       1.102120464632e-02       1.414526744262e+03 
       1.115355548992e-02       1.419208242275e+03 
       1.128594703486e-02       1.423712751139e+03 
       1.141837872438e-02       1.428043954074e+03 
       1.155085004712e-02       1.432203291387e+03 
       1.168336053520e-02       1.436194288283e+03 
       1.181590976232e-02       1.440018807903e+03 
       1.194849734201e-02       1.443678871226e+03 
       1.208112292604e-02       1.447177313792e+03 
       1.221378620292e-02       1.450516711385e+03 
       1.234648689651e-02       1.453698525019e+03 
       1.247922476470e-02       1.456725573320e+03 
       1.261199959825e-02       1.459599742400e+03 
       1.274481121963e-02       1.462323408424e+03 
       1.287765948202e-02       1.464898590522e+03 
       1.301054426832e-02       1.467327386346e+03 
       1.314346549028e-02       1.469612482413e+03 
       1.327642308768e-02       1.471755122690e+03 
       1.340941702752e-02       1.473758002290e+03 
       1.354244730337e-02       1.475622770240e+03 
       1.367551393470e-02       1.477351922794e+03 
       1.380861696625e-02       1.478947289110e+03 
       1.394175646755e-02       1.480410826349e+03 
       1.407493253233e-02       1.481743987910e+03 
       1.420814527812e-02       1.482949426132e+03 
       1.434139484579e-02       1.484028839917e+03 
       1.447468139922e-02       1.484982843056e+03 
       1.460800512489e-02       1.485815607785e+03 
       1.474136623161e-02       1.486526908526e+03 
       1.487476495024e-02       1.487119649591e+03 
       1.500820153342e-02       1.487595455902e+03 
       1.514167625540e-02       1.487956271610e+03 
       1.527518941182e-02       1.488203071796e+03 
       1.540874131954e-02       1.488338949229e+03 
       1.554233231655e-02       1.488364218407e+03 
       1.567596276185e-02       1.488281658027e+03 
       1.580963303533e-02       1.488092061231e+03 
       1.594334353778e-02       1.487798356301e+03 
       1.607709469079e-02       1.487401163603e+03 
       1.621088693680e-02       1.486902590534e+03 
       1.634472073904e-02       1.486304042126e+03 
       1.647859658163e-02       1.485606517921e+03 
       1.661251496957e-02       1.484813527812e+03 
       1.674647642885e-02       1.483925032717e+03 
       1.688048150654e-02       1.482942589601e+03 
       1.701453077085e-02       1.481867870630e+03 
       1.714862481133e-02       1.480702789364e+03 
       1.728276423896e-02       1.479448699481e+03 
       1.741694968631e-02       1.478107488547e+03 
       1.755118180777e-02       1.476679659467e+03 
       1.768546127971e-02       1.475167652642e+03 
       1.781978880070e-02       1.473571899259e+03 
       1.795416509174e-02       1.471894939084e+03 
       1.808859089652e-02       1.470136786136e+03 
       1.822306698170e-02       1.468299387371e+03 
       1.835759413713e-02       1.466386440071e+03 
       1.849217317624e-02       1.464395961790e+03 
       1.862680493629e-02       1.462330200784e+03 
       1.876149027872e-02       1.460189432495e+03 
       1.889623008950e-02       1.457979561284e+03 
       1.903102527953e-02       1.455697163137e+03 
       1.916587678496e-02       1.453345335100e+03 
       1.930078556764e-02       1.450924584949e+03 
       1.943575261555e-02       1.448436247541e+03 
       1.957077894316e-02       1.445882195301e+03 
       1.970586559200e-02       1.443261933332e+03 
       1.984101363100e-02       1.440581630090e+03 
       1.997622415710e-02       1.437837258638e+03 
       2.011149829568e-02       1.435031474132e+03 
       2.024683720113e-02       1.432165708800e+03 
       2.038224205735e-02       1.429243911300e+03 
       2.051771407838e-02       1.426259202937e+03 
       2.065325450891e-02       1.423222412401e+03 
       2.078886462497e-02       1.420127818851e+03 
       2.092454573448e-02       1.416980643298e+03 
       2.106029917794e-02       1.413779904146e+03 
       2.119612632908e-02       1.410527071912e+03 
       2.133202859555e-02       1.407223571986e+03 
       2.146800741967e-02       1.403870150925e+03 
       2.160406427911e-02       1.400466267328e+03 
       2.174020068767e-02       1.397018475589e+03 
       2.187641819609e-02       1.393522306751e+03 
       2.201271839283e-02       1.389980551229e+03 
       2.214910290491e-02       1.386395079289e+03 
       2.228557339877e-02       1.382764335431e+03 
       2.242213158117e-02       1.379092399165e+03 
       2.255877920007e-02       1.375379049013e+03 
       2.269551804565e-02       1.371627635022e+03 
       2.283234995117e-02       1.367831704104e+03 
       2.296927679409e-02       1.364001160221e+03 
       2.310630049701e-02       1.360131773958e+03 
       2.324342302880e-02       1.356225744911e+03 
       2.338064640568e-02       1.352285734265e+03 
