# Matter power spectrum P(k) at redshift z=4
# for k=1.04662e-05 to 1252.33 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046615463745e-05       2.870560623434e+00 
       2.376038198236e-05       6.429699409197e+00 
       3.710349534755e-05       9.961542394710e+00 
       5.053373918547e-05       1.349002059579e+01 
       6.409002286981e-05       1.703145418277e+01 
       7.781229016556e-05       2.059963259774e+01 
       9.174190112708e-05       2.420733920209e+01 
       1.059220318115e-04       2.786702740639e+01 
       1.203980972332e-04       3.159120442476e+01 
       1.352182030212e-04       3.539269318853e+01 
       1.504336312308e-04       3.928483877556e+01 
       1.660993656557e-04       4.328168951556e+01 
       1.822746616995e-04       4.739816648869e+01 
       1.990236653020e-04       5.165023210923e+01 
       2.164160844181e-04       5.605505995174e+01 
       2.345279149384e-04       6.063120930156e+01 
       2.534422204530e-04       6.539880591498e+01 
       2.732499615879e-04       7.037972601453e+01 
       2.940508653643e-04       7.559778239651e+01 
       3.159543176948e-04       8.107890736557e+01 
       3.390802521723e-04       8.685132315911e+01 
       3.635599952194e-04       9.294569044616e+01 
       3.895370109835e-04       9.939521785759e+01 
       4.171674689393e-04       1.062357114898e+02 
       4.466205333915e-04       1.135055379504e+02 
       4.780782483270e-04       1.212454691801e+02 
       5.117348661769e-04       1.294983685150e+02 
       5.477954498908e-04       1.383086791163e+02 
       5.864735715359e-04       1.477216722359e+02 
       6.279879469527e-04       1.577824239793e+02 
       6.725578955390e-04       1.685345015510e+02 
       7.203976063313e-04       1.800183697082e+02 
       7.717093298790e-04       1.922695687322e+02 
       8.266757926854e-04       2.053167599117e+02 
       8.854523243233e-04       2.191797854670e+02 
       9.481593574820e-04       2.338679251738e+02 
       1.014876058753e-03       2.493785592935e+02 
       1.085635827580e-03       2.656964140672e+02 
       1.160424239958e-03       2.827935191940e+02 
       1.239179727688e-03       3.006299235089e+02 
       1.321796928534e-03       3.191550923843e+02 
       1.408132297896e-03       3.383098488246e+02 
       1.498011316077e-03       3.580286408696e+02 
       1.591236505675e-03       3.782418909059e+02 
       1.687595497339e-03       3.988782414347e+02 
       1.786868517943e-03       4.198665266313e+02 
       1.888834871686e-03       4.411373917692e+02 
       1.993278190033e-03       4.626245071317e+02 
       2.099990403001e-03       4.842654517446e+02 
       2.208774512640e-03       5.060022252200e+02 
       2.319446326928e-03       5.277808252954e+02 
       2.431835346064e-03       5.495535059603e+02 
       2.545784995326e-03       5.712766412200e+02 
       2.661152381292e-03       5.929112179287e+02 
       2.777807721218e-03       6.144224587969e+02 
       2.895633565607e-03       6.357798939116e+02 
       3.014523905780e-03       6.569566596729e+02 
       3.134383233717e-03       6.779294270394e+02 
       3.255125601351e-03       6.986779480467e+02 
       3.376673710775e-03       7.191847099550e+02 
       3.498958054978e-03       7.394347722106e+02 
       3.621916120120e-03       7.594152400043e+02 
       3.745491654238e-03       7.791153964871e+02 
       3.869634003183e-03       7.985260520957e+02 
       3.994297511863e-03       8.176395510799e+02 
       4.119440987235e-03       8.364497323948e+02 
       4.245027218577e-03       8.549516459293e+02 
       4.371022550148e-03       8.731417002264e+02 
       4.497396501295e-03       8.910166380978e+02 
       4.624121429184e-03       9.085748087421e+02 
       4.751172229615e-03       9.258147470639e+02 
       4.878526071723e-03       9.427361432284e+02 
       5.006162162716e-03       9.593390180670e+02 
       5.134061539207e-03       9.756237951062e+02 
       5.262206882030e-03       9.915917678396e+02 
       5.390582351791e-03       1.007244017819e+03 
       5.519173442700e-03       1.022582446600e+03 
       5.647966852537e-03       1.037609219406e+03 
       5.776950366838e-03       1.052326405538e+03 
       5.906112755635e-03       1.066736929195e+03 
       6.035443681281e-03       1.080843123078e+03 
       6.164933616064e-03       1.094647984200e+03 
       6.294573768474e-03       1.108154858262e+03 
       6.424356017137e-03       1.121366529007e+03 
       6.554272851536e-03       1.134286414951e+03 
       6.684317318752e-03       1.146917966111e+03 
       6.814482975552e-03       1.159264271606e+03 
       6.944763845229e-03       1.171328916227e+03 
       7.075154378676e-03       1.183115731921e+03 
       7.205649419222e-03       1.194627998300e+03 
       7.336244170848e-03       1.205868919487e+03 
       7.466934169390e-03       1.216842593111e+03 
       7.597715256448e-03       1.227552256801e+03 
       7.728583555693e-03       1.238001146069e+03 
       7.859535451344e-03       1.248193600386e+03 
       7.990567568576e-03       1.258132513802e+03 
       8.121676755680e-03       1.267820989267e+03 
