# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04662e-05 to 1252.33 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.046615463745e-05      -3.337625406200e-04      -2.503515626564e-04      -2.503515673985e-04      -3.337616113256e-04      -2.503057267792e-04      -2.504723302645e-04       5.988933032206e-01       5.979928443569e-01      -1.687727261793e-11      -3.102687889889e-15      -1.745058563731e-11      -1.775862745222e-14      -3.394362655283e-14 
       2.376038198236e-05      -1.719311413121e-03      -1.290271135552e-03      -1.290271261489e-03      -1.719286738630e-03      -1.290031641655e-03      -1.290892344847e-03       5.988896862314e-01       5.979898754524e-01      -4.481382963852e-10      -8.239330517707e-14      -4.633595183793e-10      -4.717036934818e-13      -9.012994521779e-13 
       3.710349534755e-05      -4.188828299388e-03      -3.146302395443e-03      -3.146303144032e-03      -4.188681680480e-03      -3.145704191583e-03      -3.147811951902e-03       5.988832303828e-01       5.979845753475e-01      -2.663057669436e-09      -4.897101412994e-13      -2.753489998454e-09      -2.804827096601e-12      -5.355987097042e-12 
       5.053373918547e-05      -7.760113274039e-03      -5.836182337051e-03      -5.836184911490e-03      -7.759609297695e-03      -5.835034527751e-03      -5.838968361833e-03       5.988738784386e-01       5.979768961515e-01      -9.154731175828e-09      -1.683874482366e-12      -9.465506245711e-09      -9.650720557504e-12      -1.841226028730e-11 
       6.409002286981e-05      -1.246090775863e-02      -9.387294897504e-03      -9.387301553685e-03      -1.245960559859e-02      -9.385367609431e-03      -9.391746215196e-03       5.988615380001e-01       5.979667607166e-01      -2.365654841775e-08      -4.352772340488e-12      -2.445928128598e-08      -2.496771646176e-11      -4.757913387185e-11 
       7.781229016556e-05      -1.832915153582e-02      -1.383719359333e-02      -1.383720804391e-02      -1.832632688986e-02      -1.383420294207e-02      -1.384369984351e-02       5.988460839587e-01       5.979540638819e-01      -5.132372263310e-08      -9.447548026576e-12      -5.306436376348e-08      -5.424862875169e-11      -1.032256957051e-10 
       9.174190112708e-05      -2.541335141635e-02      -1.923434539033e-02      -1.923437328467e-02      -2.540790442400e-02      -1.922993574433e-02      -1.924329660814e-02       5.988273559789e-01       5.979386714251e-01      -9.898981815161e-08      -1.823131079959e-11      -1.023449200065e-07      -1.048193076538e-10      -1.990974559974e-10 
       1.059220318115e-04      -3.377305256365e-02      -2.563911670168e-02      -2.563916620853e-02      -3.376339686021e-02      -2.563283927001e-02      -2.565090216952e-02       5.988051530948e-01       5.979204146454e-01      -1.755126670548e-07      -3.234519850118e-11      -1.814569536352e-07      -1.862452204941e-10      -3.530127066835e-10 
       1.203980972332e-04      -4.347939957997e-02      -3.312503015034e-02      -3.312511267392e-02      -4.346332689134e-02      -3.311631668096e-02      -3.314003626170e-02       5.987792325456e-01       5.978990893007e-01      -2.922295526314e-07      -5.389399102972e-11      -3.021180929208e-07      -3.108729040039e-10      -5.877785163855e-10 
       1.352182030212e-04      -5.461576868357e-02      -4.178032848072e-02      -4.178045955702e-02      -5.459028093574e-02      -4.176845854284e-02      -4.179893528423e-02       5.987493027349e-01       5.978744500648e-01      -4.635472190722e-07      -8.556148672509e-11      -4.792169602544e-07      -4.945428393267e-10      -9.323792386238e-10 
       1.504336312308e-04      -6.727844007590e-02      -5.170989201009e-02      -5.171009242571e-02      -6.723954144743e-02      -5.169395188303e-02      -5.173246797946e-02       5.987150194591e-01       5.978462061618e-01      -7.077027765724e-07      -1.307509569082e-10      -7.315975210622e-07      -7.575231126871e-10      -1.423506957178e-09 
       1.660993656557e-04      -8.157727277172e-02      -6.303756604776e-02      -6.303786327915e-02      -8.151970585015e-02      -6.301639669914e-02      -6.306446051936e-02       5.986759779322e-01       5.978140163174e-01      -1.047735470998e-06      -1.937896526240e-10      -1.083064295536e-06      -1.125730025974e-09      -2.107523190062e-09 
       1.822746616995e-04      -9.763630429551e-02      -7.590896731080e-02      -7.590939729994e-02      -9.755322559225e-02      -7.588109806609e-02      -7.594049974335e-02       5.986317045188e-01       5.977774782103e-01      -1.512737130474e-06      -2.801431850978e-10      -1.563667426378e-06      -1.632324327777e-09      -3.042969187878e-09 
       1.990236653020e-04      -1.155942062170e-01      -9.049485218289e-02      -9.049546166085e-02      -1.154767693171e-01      -9.045841581642e-02      -9.053129730550e-02       5.985816474574e-01       5.977361233020e-01      -2.139437925085e-06      -3.967593153275e-10      -2.211343023585e-06      -2.319801878824e-09      -4.303770121050e-09 
       2.164160844181e-04      -1.356044419059e-01      -1.069951449678e-01      -1.069959944157e-01      -1.354412730786e-01      -1.069477683982e-01      -1.070367124027e-01       5.985251654753e-01       5.976894049608e-01      -2.974236633812e-06      -5.524611058604e-10      -3.074004314424e-06      -3.242737844274e-09      -5.983323884991e-09 
       2.345279149384e-04      -1.578349393723e-01      -1.256437415964e-01      -1.256449089644e-01      -1.576114848441e-01      -1.255824044799e-01      -1.256905480971e-01       5.984615139441e-01       5.976366853478e-01      -4.075788993923e-06      -7.584365983826e-10      -4.212203761563e-06      -4.471398380512e-09      -8.199710613208e-09 
       2.534422204530e-04      -1.824670554595e-01      -1.467142227183e-01      -1.467158083556e-01      -1.821647366712e-01      -1.466350739992e-01      -1.467662548604e-01       5.983898302783e-01       5.975772234028e-01      -5.518282440927e-06      -1.028963563888e-09      -5.702515275680e-06      -6.096506964304e-09      -1.110231428402e-08 
       2.732499615879e-04      -2.096934158862e-01      -1.705266282830e-01      -1.705287611652e-01      -2.092885787530e-01      -1.704247469546e-01      -1.705836922892e-01       5.983091155149e-01       5.975101562416e-01      -7.395605857244e-06      -1.382223472026e-09      -7.641818556544e-06      -8.235551258589e-09      -1.488022273948e-08 
       2.940508653643e-04      -2.397141834990e-01      -1.974554638721e-01      -1.974583095508e-01      -2.391767825301e-01      -1.973245458699e-01      -1.975171185445e-01       5.982182146309e-01       5.974344804017e-01      -9.826609594800e-06      -1.841360321399e-09      -1.015270321903e-05      -1.104115100525e-08      -1.977283472099e-08 
       3.159543176948e-04      -2.727311706492e-01      -2.279391214378e-01      -2.279428926862e-01      -2.720230641747e-01      -2.277710689953e-01      -2.280045893876e-01       5.981157935227e-01       5.973490305306e-01      -1.296167109826e-05      -2.436058541108e-09      -1.339024275563e-05      -1.471218237501e-08      -2.608317241589e-08 
       3.390802521723e-04      -3.089387872385e-01      -2.624909054046e-01      -2.624958753274e-01      -3.080116825427e-01      -2.622752855210e-01      -2.625589549843e-01       5.980003145062e-01       5.972524529215e-01      -1.699093398871e-05      -3.204070598808e-09      -1.755041302435e-05      -1.950859897271e-08      -3.419446339693e-08 
       3.635599952194e-04      -3.485110284355e-01      -3.017118435578e-01      -3.017183629840e-01      -3.473038626323e-01      -3.014351733751e-01      -3.017806338964e-01       5.978700081458e-01       5.971431776462e-01      -2.215435549589e-05      -4.193686237108e-09      -2.288042603134e-05      -2.577119285980e-08      -4.459053541606e-08 
       3.895370109835e-04      -3.915830638742e-01      -3.463054371820e-01      -3.463139570665e-01      -3.900187644733e-01      -3.459502379720e-01      -3.463723153613e-01       5.977228454003e-01       5.970193877894e-01      -2.875388448482e-05      -5.466600349247e-09      -2.969120258365e-05      -3.394796464447e-08      -5.788050977346e-08 
