# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04662e-05 to 1252.33 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046615463745e-05       3.537649701800e+00 
       2.376038198236e-05       7.923894154621e+00 
       3.710349534755e-05       1.227649499406e+01 
       5.053373918547e-05       1.662494202464e+01 
       6.409002286981e-05       2.098934525726e+01 
       7.781229016556e-05       2.538669573253e+01 
       9.174190112708e-05       2.983274422165e+01 
       1.059220318115e-04       3.434283448786e+01 
       1.203980972332e-04       3.893237610370e+01 
       1.352182030212e-04       4.361716705240e+01 
       1.504336312308e-04       4.841364806735e+01 
       1.660993656557e-04       5.333912544953e+01 
       1.822746616995e-04       5.841198004397e+01 
       1.990236653020e-04       6.365187447693e+01 
       2.164160844181e-04       6.907996223516e+01 
       2.345279149384e-04       7.471910244200e+01 
       2.534422204530e-04       8.059408207263e+01 
       2.732499615879e-04       8.673184218601e+01 
       2.940508653643e-04       9.316170670071e+01 
       3.159543176948e-04       9.991560681987e+01 
       3.390802521723e-04       1.070282903481e+02 
       3.635599952194e-04       1.145375034561e+02 
       3.895370109835e-04       1.224841243155e+02 
       4.171674689393e-04       1.309122227660e+02 
       4.466205333915e-04       1.398690132378e+02 
       4.780782483270e-04       1.494046615858e+02 
       5.117348661769e-04       1.595718969009e+02 
       5.477954498908e-04       1.704253796302e+02 
       5.864735715359e-04       1.820207744436e+02 
       6.279879469527e-04       1.944134895451e+02 
       6.725578955390e-04       2.076570593512e+02 
       7.203976063313e-04       2.218011848986e+02 
       7.717093298790e-04       2.368894949456e+02 
       8.266757926854e-04       2.529571473333e+02 
       8.854523243233e-04       2.700284514795e+02 
       9.481593574820e-04       2.881147348312e+02 
       1.014876058753e-03       3.072127122366e+02 
       1.085635827580e-03       3.273035704698e+02 
       1.160424239958e-03       3.483529254924e+02 
       1.239179727688e-03       3.703117064808e+02 
       1.321796928534e-03       3.931178685544e+02 
       1.408132297896e-03       4.166987647157e+02 
       1.498011316077e-03       4.409739104603e+02 
       1.591236505675e-03       4.658578445698e+02 
       1.687595497339e-03       4.912628639274e+02 
       1.786868517943e-03       5.171014278359e+02 
       1.888834871686e-03       5.432881427270e+02 
       1.993278190033e-03       5.697412627462e+02 
       2.099990403001e-03       5.963837973597e+02 
       2.208774512640e-03       6.231441720719e+02 
       2.319446326928e-03       6.499557404328e+02 
       2.431835346064e-03       6.767595925517e+02 
       2.545784995326e-03       7.035019422736e+02 
       2.661152381292e-03       7.301347421926e+02 
       2.777807721218e-03       7.566151858001e+02 
       2.895633565607e-03       7.829058282488e+02 
       3.014523905780e-03       8.089736504242e+02 
       3.134383233717e-03       8.347899768632e+02 
       3.255125601351e-03       8.603299000443e+02 
       3.376673710775e-03       8.855718529134e+02 
       3.498958054978e-03       9.104974135775e+02 
       3.621916120120e-03       9.350906697393e+02 
       3.745491654238e-03       9.593383946564e+02 
       3.869634003183e-03       9.832292574959e+02 
       3.994297511863e-03       1.006753835934e+03 
       4.119440987235e-03       1.029904568364e+03 
       4.245027218577e-03       1.052675397201e+03 
       4.371022550148e-03       1.075061942321e+03 
       4.497396501295e-03       1.097060231129e+03 
       4.624121429184e-03       1.118668258432e+03 
       4.751172229615e-03       1.139884234067e+03 
       4.878526071723e-03       1.160707788345e+03 
       5.006162162716e-03       1.181138941879e+03 
       5.134061539207e-03       1.201178221202e+03 
       5.262206882030e-03       1.220827226993e+03 
       5.390582351791e-03       1.240087307001e+03 
       5.519173442700e-03       1.258960825052e+03 
       5.647966852537e-03       1.277450472788e+03 
       5.776950366838e-03       1.295558822298e+03 
       5.906112755635e-03       1.313289493208e+03 
       6.035443681281e-03       1.330645370461e+03 
       6.164933616064e-03       1.347630158517e+03 
       6.294573768474e-03       1.364247975765e+03 
       6.424356017137e-03       1.380502228325e+03 
       6.554272851536e-03       1.396397104907e+03 
       6.684317318752e-03       1.411936894854e+03 
       6.814482975552e-03       1.427125395098e+03 
       6.944763845229e-03       1.441967074072e+03 
       7.075154378676e-03       1.456466637401e+03 
       7.205649419222e-03       1.470628143854e+03 
       7.336244170848e-03       1.484455545385e+03 
