# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.377998126374e-10       4.988283551427e-15       3.766009815288e-13       0.000000000000e+00       7.952606193624e-09       4.550235713998e-10      -2.005078736140e-12 
    3       1.303314160458e-10       7.182687931805e-15       4.450975565202e-13       0.000000000000e+00       4.928430784703e-09       3.221594242729e-10      -1.624251948101e-12 
    4       1.231421924152e-10       7.028512123357e-15       4.341133775923e-13       0.000000000000e+00       3.422950084455e-09       2.433322867748e-10      -1.163676744701e-12 
    5       1.176753611828e-10       5.341289760738e-15       3.840725670348e-13       0.000000000000e+00       2.549014820274e-09       1.917279284473e-10      -7.425966019924e-13 
    6       1.138561102888e-10       3.346940253083e-15       3.198518711649e-13       0.000000000000e+00       1.985008109567e-09       1.556199608939e-10      -4.000168526573e-13 
    7       1.113754485233e-10       1.860808170219e-15       2.570014858801e-13       0.000000000000e+00       1.596132412658e-09       1.291320061333e-10      -1.491297619209e-13 
    8       1.098505514466e-10       1.072457335711e-15       2.037536852963e-13       0.000000000000e+00       1.315533532935e-09       1.090268214234e-10       1.231729968216e-14 
    9       1.091028419703e-10       7.726862211391e-16       1.636112608553e-13       0.000000000000e+00       1.105533281386e-09       9.340422099583e-11       9.627453456345e-14 
   10       1.089523785918e-10       6.725099945283e-16       1.369895601141e-13       0.000000000000e+00       9.433383827768e-10       8.102717123698e-11       1.204685287185e-13 
   11       1.092024496898e-10       5.964076903453e-16       1.224851926735e-13       0.000000000000e+00       7.957310395633e-10       7.135861070009e-11       1.047372529839e-13 
   12       1.098258581606e-10       5.068423307142e-16       1.175726637842e-13       0.000000000000e+00       6.940253266096e-10       6.307126367405e-11       6.845284650717e-14 
   13       1.106998307854e-10       4.338647243934e-16       1.192812355615e-13       0.000000000000e+00       6.106340958987e-10       5.614045327419e-11       2.670596622591e-14 
   14       1.117670384139e-10       4.033596025987e-16       1.249650983425e-13       0.000000000000e+00       5.413260215459e-10       5.028776615919e-11      -9.520619633075e-15 
   15       1.130264995599e-10       4.114390435797e-16       1.325422396278e-13       0.000000000000e+00       4.830585944138e-10       4.535585568462e-11      -3.406132867195e-14 
   16       1.144167891316e-10       4.382232891133e-16       1.405673793607e-13       0.000000000000e+00       4.335776408518e-10       4.113030471900e-11      -4.528797290168e-14 
   17       1.159484732791e-10       4.701798286025e-16       1.482912267769e-13       0.000000000000e+00       3.911809797082e-10       3.740265720477e-11      -4.499267146196e-14 
