# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.378002373835e-10       4.988471183408e-15       3.766009779207e-13       1.876319102596e-19       7.952606193624e-09       4.550235713998e-10      -2.005078736140e-12 
    3       1.303322634549e-10       7.183063288346e-15       4.450975404436e-13       3.753558438887e-19       4.928430784703e-09       3.221594242729e-10      -1.624251948101e-12 
    4       1.231436001915e-10       7.029137922544e-15       4.341133314108e-13       6.257957558691e-19       3.422950084455e-09       2.433322867748e-10      -1.163676744701e-12 
    5       1.176774644096e-10       5.342228841852e-15       3.840724618645e-13       9.390693441057e-19       2.549014820274e-09       1.917279284473e-10      -7.425966019924e-13 
    6       1.138590409038e-10       3.348255604794e-15       3.198516644495e-13       1.315319537868e-18       1.985008109567e-09       1.556199608939e-10      -4.000168526573e-13 
    7       1.113793348731e-10       1.862562957157e-15       2.570011191991e-13       1.754711875031e-18       1.596132412658e-09       1.291320061333e-10      -1.491297619209e-13 
    8       1.098555179317e-10       1.074714922924e-15       2.037530824374e-13       2.257431520271e-18       1.315533532935e-09       1.090268214234e-10       1.231729968216e-14 
    9       1.091090087850e-10       7.755101958667e-16       1.636103261712e-13       2.823680005720e-18       1.105533281386e-09       9.340422099583e-11       9.627453456345e-14 
   10       1.089598615635e-10       6.759641846615e-16       1.369881771740e-13       3.453671782223e-18       9.433383827768e-10       8.102717123698e-11       1.204685287185e-13 
   11       1.092113602162e-10       6.005561789211e-16       1.224832232117e-13       4.147630673292e-18       7.957310395633e-10       7.135861070009e-11       1.047372529839e-13 
   12       1.098363032425e-10       5.117494657807e-16       1.175699469389e-13       4.905786324882e-18       6.940253266096e-10       6.307126367405e-11       6.845284650717e-14 
   13       1.107119131462e-10       4.395951236118e-16       1.192775873894e-13       5.728370742327e-18       6.106340958987e-10       5.614045327419e-11       2.670596622591e-14 
   14       1.117808566983e-10       4.099781520079e-16       1.249603115879e-13       6.615615001110e-18       5.413260215459e-10       5.028776615919e-11      -9.520619633075e-15 
   15       1.130421485981e-10       4.190108900573e-16       1.325360837191e-13       7.567746210963e-18       4.830585944138e-10       4.535585568462e-11      -3.406132867195e-14 
   16       1.144343602552e-10       4.468138262016e-16       1.405596006064e-13       8.584984803129e-18       4.335776408518e-10       4.113030471900e-11      -4.528797290168e-14 
   17       1.159680546741e-10       4.798546755464e-16       1.482815487281e-13       9.667542199025e-18       3.911809797082e-10       3.740265720477e-11      -4.499267146196e-14 
   18       1.175971804648e-10       5.201242682690e-16       1.554786697561e-13       1.081561874634e-17       3.544252998937e-10       3.413918259779e-11      -3.681361829855e-14 
   19       1.193225183470e-10       5.766547799061e-16       1.623231863974e-13       1.202940306529e-17       3.227150111824e-10       3.129740812278e-11      -2.454434349057e-14 
   20       1.211143250637e-10       6.592774646952e-16       1.691372640419e-13       1.330906929352e-17       2.948193832218e-10       2.874906558412e-11      -1.266603419033e-14 
   21       1.229800810815e-10       7.686364903401e-16       1.762591404489e-13       1.465477912139e-17       2.702923995154e-10       2.649380660429e-11      -3.626211108343e-15 
   22       1.249091142114e-10       9.013341189994e-16       1.839956210579e-13       1.606667880265e-17       2.485390700322e-10       2.453154320221e-11       9.631476714763e-16 
   23       1.269042527168e-10       1.055015797335e-15       1.923101513978e-13       1.754490282870e-17       2.292543943354e-10       2.281382859839e-11       1.213519490352e-15 
   24       1.289510150220e-10       1.227524636837e-15       2.009825872801e-13       1.908957088597e-17       2.119868486359e-10       2.125384537269e-11      -1.855627901465e-15 
   25       1.310453308963e-10       1.419646309134e-15       2.097041450372e-13       2.070079355741e-17       1.965293713410e-10       1.982127151514e-11      -6.848561219188e-15 
   26       1.331738240694e-10       1.632628791959e-15       2.180827217941e-13       2.237866854706e-17       1.825984445878e-10       1.849537767848e-11      -1.203856668955e-14 
   27       1.353459694807e-10       1.865379513344e-15       2.257638253584e-13       2.412328645033e-17       1.700240581627e-10       1.729144197681e-11      -1.611149328460e-14 
   28       1.375676973898e-10       2.116310650920e-15       2.324035037322e-13       2.593472832907e-17       1.585864509983e-10       1.622404968729e-11      -1.797852216319e-14 
   29       1.398431756191e-10       2.386678403098e-15       2.378454835337e-13       2.781307605882e-17       1.482249248387e-10       1.527871502316e-11      -1.769301358992e-14 
   30       1.421624050470e-10       2.678902445046e-15       2.419945680940e-13       2.975840397991e-17       1.388256969160e-10       1.441743059964e-11      -1.580397751104e-14 
   31       1.445054044064e-10       2.995572692744e-15       2.447937849513e-13       3.177077944165e-17       1.301940778736e-10       1.359574006263e-11      -1.302105050049e-14 
   32       1.468777667331e-10       3.338367910666e-15       2.463277462722e-13       3.385027737904e-17       1.222841143872e-10       1.281706529444e-11      -9.957685491690e-15 
   33       1.492859257637e-10       3.708749070171e-15       2.467644019013e-13       3.599697114306e-17       1.150388171326e-10       1.209755194595e-11      -7.314932187878e-15 
   34       1.517287599260e-10       4.108075464058e-15       2.462795090419e-13       3.821093162756e-17       1.083554796592e-10       1.144831269665e-11      -5.772545981008e-15 
   35       1.542046032715e-10       4.537029331329e-15       2.448715059346e-13       4.049223706370e-17       1.021988506938e-10       1.086361300412e-11      -5.339404666342e-15 
   36       1.567048918354e-10       4.995973425550e-15       2.424826915123e-13       4.284096712226e-17       9.651838156917e-11       1.032759456070e-11      -5.772243985132e-15 
   37       1.592179619107e-10       5.485207817533e-15       2.390386080820e-13       4.525720158328e-17       9.123881410925e-11       9.822249974176e-12      -6.764118332484e-15 
   38       1.617518565246e-10       6.005378491093e-15       2.344187690249e-13       4.774102343959e-17       8.634581262383e-11       9.346327395178e-12      -8.027224443095e-15 
