# Matter power spectrum P(k) at redshift z=5.5
# for k=1.03995e-05 to 1243 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039953543896e-05       1.746020081871e+00 
       2.362715252707e-05       3.913843128671e+00 
       3.690288557276e-05       6.064958491155e+00 
       5.026440451877e-05       8.213888947061e+00 
       6.375002738089e-05       1.037051661508e+01 
       7.739908048046e-05       1.254317914507e+01 
       9.125227067342e-05       1.473959746020e+01 
       1.053520747789e-04       1.696728678800e+01 
       1.197431514480e-04       1.923378883552e+01 
       1.344727807492e-04       2.154683033986e+01 
       1.495913367397e-04       2.391444720153e+01 
       1.651527981975e-04       2.634509299565e+01 
       1.812153024208e-04       2.884774112306e+01 
       1.978417464781e-04       3.143198518745e+01 
       2.151004393591e-04       3.410814069732e+01 
       2.330658069688e-04       3.688734953845e+01 
       2.518191495799e-04       3.978168794433e+01 
       2.714494479115e-04       4.280427666961e+01 
       2.920542090557e-04       4.596939285651e+01 
       3.137403365828e-04       4.929257993863e+01 
       3.366249998083e-04       5.279075143881e+01 
       3.608364648896e-04       5.648228181737e+01 
       3.865148347006e-04       6.038707545031e+01 
       4.138126251223e-04       6.452660223542e+01 
       4.428950827964e-04       6.892388236348e+01 
       4.739401247143e-04       7.360340435425e+01 
       5.071377557701e-04       7.859095026094e+01 
       5.426888010081e-04       8.391330660356e+01 
       5.808027813663e-04       8.959783505091e+01 
       6.216947741287e-04       9.567188130587e+01 
       6.655811422290e-04       1.021620118515e+02 
       7.126740992655e-04       1.090930792605e+02 
       7.631752041348e-04       1.164871425798e+02 
       8.172680453872e-04       1.243622961577e+02 
       8.751105612573e-04       1.327314863174e+02 
       9.368276115359e-04       1.416014272577e+02 
       1.002504525669e-03       1.509717337459e+02 
       1.072182352673e-03       1.608343854121e+02 
       1.145855406415e-03       1.711736122083e+02 
       1.223471442598e-03       1.819662300706e+02 
       1.304934468295e-03       1.931824158030e+02 
       1.390109845146e-03       2.047868273117e+02 
       1.478831079880e-03       2.167399635050e+02 
       1.570907553874e-03       2.289996122859e+02 
       1.666132440652e-03       2.415222536218e+02 
       1.764290173008e-03       2.542643268632e+02 
       1.865163002780e-03       2.671832764029e+02 
       1.968536395812e-03       2.802383600179e+02 
       2.074203182650e-03       2.933912115872e+02 
       2.181966519942e-03       3.066061832302e+02 
       2.291641802565e-03       3.198501891914e+02 
       2.403057707652e-03       3.330936582297e+02 
       2.516056559817e-03       3.463098073985e+02 
       2.630494193709e-03       3.594745184142e+02 
       2.746239465532e-03       3.725662985553e+02 
       2.863173536797e-03       3.855661381090e+02 
       2.981189025715e-03       3.984572646935e+02 
       3.100189097064e-03       4.112250553340e+02 
       3.220086540844e-03       4.238567702286e+02 
       3.340802873876e-03       4.363414279983e+02 
       3.462267486105e-03       4.486695826865e+02 
       3.584416844309e-03       4.608332300315e+02 
       3.707193759434e-03       4.728255666395e+02 
       3.830546719295e-03       4.846409482082e+02 
       3.954429285456e-03       4.962746235812e+02 
       4.078799551231e-03       5.077228220667e+02 
       4.203619656709e-03       5.189823281903e+02 
       4.328855356143e-03       5.300508809334e+02 
       4.454475632939e-03       5.409265228089e+02 
       4.580452357514e-03       5.516080748023e+02 
       4.706759983548e-03       5.620946344653e+02 
       4.833375278454e-03       5.723858925755e+02 
       4.960277084235e-03       5.824819040925e+02 
       5.087446105271e-03       5.923828026924e+02 
       5.214864719920e-03       6.020894123173e+02 
       5.342516813153e-03       6.116024098663e+02 
       5.470387627763e-03       6.209228935398e+02 
       5.598463631961e-03       6.300523383362e+02 
       5.726732401438e-03       6.389921575084e+02 
       5.855182514195e-03       6.477434916972e+02 
       5.983803456649e-03       6.563085480588e+02 
       6.112585539711e-03       6.646887598823e+02 
       6.241519823668e-03       6.728864549204e+02 
       6.370598050881e-03       6.809030053080e+02 
       6.499812585389e-03       6.887406792535e+02 
       6.629156358652e-03       6.964017625316e+02 
       6.758622820736e-03       7.038880557095e+02 
       6.888205896353e-03       7.112017068363e+02 
       7.017899945196e-03       7.183451566769e+02 
       7.147699726128e-03       7.253205703877e+02 
       7.277600364802e-03       7.321297039380e+02 
       7.407597324333e-03       7.387752550695e+02 
       7.537686378721e-03       7.452591401935e+02 
       7.667863588729e-03       7.515833105359e+02 
       7.798125279958e-03       7.577506055464e+02 
       7.928468022901e-03       7.637629365221e+02 
       8.058888614779e-03       7.696221468048e+02 
       8.189384062974e-03       7.753305293819e+02 
       8.319951569909e-03       7.808901841797e+02 
       8.450588519223e-03       7.863032217522e+02 
       8.581292463131e-03       7.915714182112e+02 
       8.712061110845e-03       7.966977341163e+02 
       8.842892317960e-03       8.016834835829e+02 
       8.973784076712e-03       8.065306875353e+02 
       9.104734507036e-03       8.112415747866e+02 
       9.235741848337e-03       8.158179343426e+02 
       9.366804451931e-03       8.202618205028e+02 
       9.497920774066e-03       8.245749476666e+02 
       9.629089369506e-03       8.287594423428e+02 
       9.760308885604e-03       8.328170598685e+02 
       9.891578056831e-03       8.367494745223e+02 
       1.002289569972e-02       8.405585641595e+02 
       1.015426070821e-02       8.442462046377e+02 
       1.028567204931e-02       8.478143662058e+02 
       1.041712875908e-02       8.512645742561e+02 
       1.054862993897e-02       8.545981949735e+02 
       1.068017475236e-02       8.578171548392e+02 
       1.081176242137e-02       8.609231968177e+02 
       1.094339222391e-02       8.639180604368e+02 
       1.107506349097e-02       8.668028331335e+02 
       1.120677560401e-02       8.695810327338e+02 
       1.133852799265e-02       8.722517067471e+02 
       1.147032013246e-02       8.748167560045e+02 
       1.160215154290e-02       8.772787724839e+02 
       1.173402178546e-02       8.796386383268e+02 
       1.186593046185e-02       8.818975851809e+02 
       1.199787721238e-02       8.840574964269e+02 
       1.212986171447e-02       8.861197902175e+02 
       1.226188368116e-02       8.880855115062e+02 
       1.239394285986e-02       8.899563420412e+02 
       1.252603903110e-02       8.917335547801e+02 
       1.265817200739e-02       8.934186146383e+02 
       1.279034163215e-02       8.950125322791e+02 
       1.292254777878e-02       8.965172099133e+02 
       1.305479034968e-02       8.979333486948e+02 
       1.318706927550e-02       8.992623911174e+02 
       1.331938451426e-02       9.005058086973e+02 
       1.345173605071e-02       9.016646595920e+02 
       1.358412389562e-02       9.027402263178e+02 
       1.371654808519e-02       9.037337308629e+02 
       1.384900868049e-02       9.046467544317e+02 
       1.398150576690e-02       9.054797737149e+02 
       1.411403945369e-02       9.062346175798e+02 
       1.424660987359e-02       9.069123890669e+02 
       1.437921718233e-02       9.075135150178e+02 
       1.451186155836e-02       9.080397235918e+02 
       1.464454320250e-02       9.084919955196e+02 
       1.477726233763e-02       9.088713392163e+02 
       1.491001920850e-02       9.091791296999e+02 
       1.504281408144e-02       9.094163137613e+02 
       1.517564724420e-02       9.095841567488e+02 
       1.530851900579e-02       9.096833443482e+02 
       1.544142969630e-02       9.097149120157e+02 
       1.557437966684e-02       9.096804234884e+02 
       1.570736928943e-02       9.095804117889e+02 
       1.584039895693e-02       9.094161569626e+02 
       1.597346908298e-02       9.091889973839e+02 
       1.610658010204e-02       9.088991865689e+02 
       1.623973246933e-02       9.085481670360e+02 
       1.637292666089e-02       9.081369938206e+02 
       1.650616317360e-02       9.076663804638e+02 
       1.663944252528e-02       9.071370678176e+02 
       1.677276525473e-02       9.065508334889e+02 
       1.690613192186e-02       9.059078952416e+02 
       1.703954310780e-02       9.052098862498e+02 
       1.717299941507e-02       9.044563031494e+02 
       1.730650146766e-02       9.036494978269e+02 
       1.744004991130e-02       9.027897468548e+02 
       1.757364541359e-02       9.018780738014e+02 
       1.770728866421e-02       9.009153521989e+02 
       1.784098037520e-02       8.999023602383e+02 
       1.797472128114e-02       8.988405704394e+02 
       1.810851213944e-02       8.977295029961e+02 
       1.824235373063e-02       8.965711446319e+02 
       1.837624685860e-02       8.953664761255e+02 
       1.851019235100e-02       8.941150069206e+02 
       1.864419105949e-02       8.928187643919e+02 
       1.877824386010e-02       8.914777964471e+02 
       1.891235165363e-02       8.900950037236e+02 
       1.904651536598e-02       8.886666897859e+02 
       1.918073594856e-02       8.871976781895e+02 
       1.931501437874e-02       8.856879847093e+02 
       1.944935166022e-02       8.841367262050e+02 
       1.958374882352e-02       8.825460887973e+02 
       1.971820692641e-02       8.809168673022e+02 
       1.985272705444e-02       8.792494996152e+02 
       1.998731032141e-02       8.775436750607e+02 
       2.012195786988e-02       8.758010043319e+02 
       2.025667087175e-02       8.740232898111e+02 
       2.039145052878e-02       8.722099448361e+02 
       2.052629807319e-02       8.703618315406e+02 
       2.066121476824e-02       8.684795934468e+02 
       2.079620190886e-02       8.665636946788e+02 
       2.093126082231e-02       8.646162058396e+02 
       2.106639286880e-02       8.626350625300e+02 
       2.120159944219e-02       8.606245569860e+02 
       2.133688197070e-02       8.585825742934e+02 
       2.147224191765e-02       8.565106138453e+02 
       2.160768078216e-02       8.544082062709e+02 
       2.174320010000e-02       8.522773623046e+02 
       2.187880144433e-02       8.501207720505e+02 
       2.201448642654e-02       8.479335209161e+02 
       2.215025669712e-02       8.457219458200e+02 
       2.228611394651e-02       8.434843177088e+02 
       2.242205990603e-02       8.412197355246e+02 
       2.255809634881e-02       8.389298342261e+02 
       2.269422509071e-02       8.366146639614e+02 
       2.283044799139e-02       8.342792171749e+02 
       2.296676695527e-02       8.319180016965e+02 
       2.310318393262e-02       8.295354412607e+02 
       2.323970092062e-02       8.271297704704e+02 
       2.337631996451e-02       8.247032261211e+02 
       2.351304315873e-02       8.222532480118e+02 
       2.364987264812e-02       8.197874545221e+02 
       2.378681062915e-02       8.173013383958e+02 
       2.392385935119e-02       8.147929346790e+02 
       2.406102111783e-02       8.122665140954e+02 
       2.419829828820e-02       8.097225551066e+02 
       2.433569327838e-02       8.071614476428e+02 
       2.447320856286e-02       8.045812509414e+02 
       2.461084667600e-02       8.019876087187e+02 
       2.474861021354e-02       7.993751355926e+02 
       2.488650183423e-02       7.967482872543e+02 
       2.502452426141e-02       7.941056393485e+02 
       2.516268028473e-02       7.914496503617e+02 
       2.530097276186e-02       7.887779629794e+02 
       2.543940462031e-02       7.860926484530e+02 
       2.557797885926e-02       7.833966793258e+02 
       2.571669855148e-02       7.806861362232e+02 
       2.585556684531e-02       7.779622941822e+02 
       2.599458696671e-02       7.752285088464e+02 
       2.613376222134e-02       7.724827596487e+02 
       2.627309599677e-02       7.697259024684e+02 
       2.641259176475e-02       7.669582854598e+02 
