# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.5
# for k=1.03995e-05 to 1243 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.039953543896e-05      -2.578138755237e-04      -1.933780623184e-04      -1.933780646643e-04      -2.578134682475e-04      -1.933534507278e-04      -1.935015763772e-04       6.001532862099e-01       5.989637963767e-01      -1.137436365090e-11      -2.518056370391e-15      -1.171543740088e-11      -1.962955044910e-14      -3.017977244663e-14 
       2.362715252707e-05      -1.330253460325e-03      -9.981604170024e-04      -9.981604794980e-04      -1.330242612727e-03      -9.980303853362e-04      -9.987969787518e-04       6.001497894600e-01       5.989609598946e-01      -3.029683067776e-10      -6.707610313030e-14      -3.120524441745e-10      -5.229917063794e-13      -8.038724785653e-13 
       3.690288557276e-05      -3.242907072012e-03      -2.434978318175e-03      -2.434978689987e-03      -3.242842557329e-03      -2.434648070985e-03      -2.436526916901e-03       6.001435472952e-01       5.989558952402e-01      -1.802103308913e-09      -3.990178408065e-13      -1.856127733629e-09      -3.112300047285e-12      -4.781578090223e-12 
       5.026440451877e-05      -6.010399261297e-03      -4.517425460970e-03      -4.517426740196e-03      -6.010177407956e-03      -4.516777718072e-03      -4.520286977192e-03       6.001345026763e-01       5.989485556238e-01      -6.198283918690e-09      -1.372600153659e-12      -6.384051609545e-09      -1.071196452630e-11      -1.644619124194e-11 
       6.375002738089e-05      -9.655464240042e-03      -7.266489981962e-03      -7.266493290123e-03      -9.654890887309e-03      -7.265373606454e-03      -7.271068515394e-03       6.001225680990e-01       5.989388687108e-01      -1.602296862496e-08      -3.548833942278e-12      -1.650301929414e-08      -2.771603058513e-11      -4.251475593039e-11 
       7.739908048046e-05      -1.420921060563e-02      -1.071095104811e-02      -1.071095823137e-02      -1.420796667499e-02      -1.070916798659e-02      -1.071765498588e-02       6.001076223757e-01       5.989267352371e-01      -3.477389423381e-08      -7.703684625729e-12      -3.581529160268e-08      -6.021863610726e-11      -9.226860297508e-11 
       9.125227067342e-05      -1.971149939335e-02      -1.488794324429e-02      -1.488795711175e-02      -1.970910035450e-02      -1.488523306501e-02      -1.489718596138e-02       6.000895098739e-01       5.989120260016e-01      -6.709110465521e-08      -1.486710153982e-11      -6.909927873761e-08      -1.163418558106e-10      -1.780205394729e-10 
       1.053520747789e-04      -2.621143439547e-02      -1.984370453495e-02      -1.984372914897e-02      -2.620718131835e-02      -1.983972570167e-02      -1.985590458763e-02       6.000680373837e-01       5.988945821105e-01      -1.189944874791e-07      -2.637771515215e-11      -1.225541041915e-07      -2.066818119968e-10      -3.157458733501e-10 
       1.197431514480e-04      -3.376796171809e-02      -2.563452908168e-02      -2.563457011341e-02      -3.376088162851e-02      -2.562883588508e-02      -2.565010970320e-02       6.000429692621e-01       5.988742078944e-01      -1.981972909377e-07      -4.395124108688e-11      -2.041219262790e-07      -3.449022012790e-10      -5.259142621796e-10 
       1.344727807492e-04      -4.245057465192e-02      -3.232795262585e-02      -3.232801780183e-02      -4.243934651996e-02      -3.231996641857e-02      -3.234734027851e-02       6.000140248623e-01       5.988506714387e-01      -3.145133149734e-07      -6.977528934083e-11      -3.239071281860e-07      -5.485148656535e-10      -8.345717792658e-10 
