# Matter power spectrum P(k) at redshift z=5
# for k=1.03995e-05 to 1243 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039953543896e-05       2.048802031925e+00 
       2.362715252707e-05       4.592551708280e+00 
       3.690288557276e-05       7.116693416067e+00 
       5.026440451877e-05       9.638266676107e+00 
       6.375002738089e-05       1.216886549937e+01 
       7.739908048046e-05       1.471827138793e+01 
       9.125227067342e-05       1.729554209791e+01 
       1.053520747789e-04       1.990949359241e+01 
       1.197431514480e-04       2.256897264044e+01 
       1.344727807492e-04       2.528304270339e+01 
       1.495913367397e-04       2.806112943932e+01 
       1.651527981975e-04       3.091314797308e+01 
       1.812153024208e-04       3.384962260842e+01 
       1.978417464781e-04       3.688180436735e+01 
       2.151004393591e-04       4.002179019631e+01 
       2.330658069688e-04       4.328264524329e+01 
       2.518191495799e-04       4.667852914223e+01 
       2.714494479115e-04       5.022482504964e+01 
       2.920542090557e-04       5.393827024860e+01 
       3.137403365828e-04       5.783708458292e+01 
       3.366249998083e-04       6.194109145150e+01 
       3.608364648896e-04       6.627182353895e+01 
       3.865148347006e-04       7.085260269659e+01 
       4.138126251223e-04       7.570858025644e+01 
       4.428950827964e-04       8.086671785683e+01 
       4.739401247143e-04       8.635568920839e+01 
       5.071377557701e-04       9.220567328060e+01 
       5.426888010081e-04       9.844801267388e+01 
       5.808027813663e-04       1.051147077900e+02 
       6.216947741287e-04       1.122377210168e+02 
       6.655811422290e-04       1.198480792863e+02 
       7.126740992655e-04       1.279747762802e+02 
       7.631752041348e-04       1.366435056125e+02 
       8.172680453872e-04       1.458752882106e+02 
       8.751105612573e-04       1.556850876093e+02 
       9.368276115359e-04       1.660805433479e+02 
       1.002504525669e-03       1.770609615827e+02 
       1.072182352673e-03       1.886166962271e+02 
       1.145855406415e-03       2.007290240656e+02 
       1.223471442598e-03       2.133705484923e+02 
       1.304934468295e-03       2.265061149467e+02 
       1.390109845146e-03       2.400941281856e+02 
       1.478831079880e-03       2.540881454777e+02 
       1.570907553874e-03       2.684385687618e+02 
       1.666132440652e-03       2.830942795460e+02 
       1.764290173008e-03       2.980041136936e+02 
       1.865163002780e-03       3.131180759960e+02 
       1.968536395812e-03       3.283882801578e+02 
       2.074203182650e-03       3.437696055300e+02 
       2.181966519942e-03       3.592201008594e+02 
       2.291641802565e-03       3.747008108463e+02 
       2.403057707652e-03       3.901769028988e+02 
       2.516056559817e-03       4.056168322332e+02 
       2.630494193709e-03       4.209922110376e+02 
       2.746239465532e-03       4.362777674823e+02 
       2.863173536797e-03       4.514511946736e+02 
       2.981189025715e-03       4.664928608041e+02 
       3.100189097064e-03       4.813856923597e+02 
       3.220086540844e-03       4.961148618082e+02 
       3.340802873876e-03       5.106676281568e+02 
       3.462267486105e-03       5.250330649990e+02 
       3.584416844309e-03       5.392019417440e+02 
       3.707193759434e-03       5.531664359181e+02 
       3.830546719295e-03       5.669200811698e+02 
       3.954429285456e-03       5.804574572911e+02 
       4.078799551231e-03       5.937742939481e+02 
       4.203619656709e-03       6.068669771422e+02 
       4.328855356143e-03       6.197330189152e+02 
       4.454475632939e-03       6.323702966484e+02 
       4.580452357514e-03       6.447776079719e+02 
       4.706759983548e-03       6.569540808434e+02 
       4.833375278454e-03       6.688995389901e+02 
       4.960277084235e-03       6.806142295967e+02 
       5.087446105271e-03       6.920984850392e+02 
       5.214864719920e-03       7.033534333673e+02 
       5.342516813153e-03       7.143800190198e+02 
       5.470387627763e-03       7.251796659722e+02 
       5.598463631961e-03       7.357542276626e+02 
       5.726732401438e-03       7.461054766818e+02 
       5.855182514195e-03       7.562348611983e+02 
       5.983803456649e-03       7.661450700139e+02 
       6.112585539711e-03       7.758378857465e+02 
       6.241519823668e-03       7.853161316673e+02 
       6.370598050881e-03       7.945815124627e+02 
       6.499812585389e-03       8.036367733487e+02 
       6.629156358652e-03       8.124846736163e+02 
       6.758622820736e-03       8.211273992762e+02 
       6.888205896353e-03       8.295675343280e+02 
       7.017899945196e-03       8.378079971321e+02 
       7.147699726128e-03       8.458513803847e+02 
       7.277600364802e-03       8.536997899989e+02 
       7.407597324333e-03       8.613565281334e+02 
       7.537686378721e-03       8.688237872692e+02 
       7.667863588729e-03       8.761038377756e+02 
       7.798125279958e-03       8.832001039948e+02 
       7.928468022901e-03       8.901149229935e+02 
       8.058888614779e-03       8.968505423412e+02 
       8.189384062974e-03       9.034097315981e+02 
       8.319951569909e-03       9.097950221759e+02 
       8.450588519223e-03       9.160089609530e+02 
       8.581292463131e-03       9.220536944926e+02 
       8.712061110845e-03       9.279327426375e+02 
       8.842892317960e-03       9.336477044073e+02 
       8.973784076712e-03       9.392009983476e+02 
       9.104734507036e-03       9.445952805616e+02 
       9.235741848337e-03       9.498326930941e+02 
       9.366804451931e-03       9.549156836883e+02 
       9.497920774066e-03       9.598463007587e+02 
       9.629089369506e-03       9.646270690145e+02 
       9.760308885604e-03       9.692600761360e+02 
       9.891578056831e-03       9.737473125330e+02 
       1.002289569972e-02       9.780909983489e+02 
       1.015426070821e-02       9.822933512977e+02 
       1.028567204931e-02       9.863566927439e+02 
       1.041712875908e-02       9.902828246099e+02 
       1.054862993897e-02       9.940733602429e+02 
       1.068017475236e-02       9.977315017757e+02 
       1.081176242137e-02       1.001258387134e+03 
       1.094339222391e-02       1.004655379326e+03 
       1.107506349097e-02       1.007924400431e+03 
       1.120677560401e-02       1.011067765039e+03 
       1.133852799265e-02       1.014087628044e+03 
       1.147032013246e-02       1.016984753471e+03 
       1.160215154290e-02       1.019762181501e+03 
       1.173402178546e-02       1.022420950908e+03 
       1.186593046185e-02       1.024962502367e+03 
       1.199787721238e-02       1.027389031568e+03 
       1.212986171447e-02       1.029702192405e+03 
       1.226188368116e-02       1.031903206468e+03 
       1.239394285986e-02       1.033994034782e+03 
       1.252603903110e-02       1.035976164383e+03 
       1.265817200739e-02       1.037851305363e+03 
       1.279034163215e-02       1.039620641630e+03 
       1.292254777878e-02       1.041286393780e+03 
       1.305479034968e-02       1.042849388080e+03 
       1.318706927550e-02       1.044311312766e+03 
       1.331938451426e-02       1.045673892441e+03 
       1.345173605071e-02       1.046938369434e+03 
       1.358412389562e-02       1.048106249941e+03 
       1.371654808519e-02       1.049178994597e+03 
       1.384900868049e-02       1.050158421917e+03 
       1.398150576690e-02       1.051045088302e+03 
       1.411403945369e-02       1.051841132178e+03 
       1.424660987359e-02       1.052547849676e+03 
       1.437921718233e-02       1.053165786276e+03 
       1.451186155836e-02       1.053696949117e+03 
       1.464454320250e-02       1.054142503002e+03 
       1.477726233763e-02       1.054503628617e+03 
       1.491001920850e-02       1.054781947323e+03 
       1.504281408144e-02       1.054978574884e+03 
       1.517564724420e-02       1.055094998610e+03 
       1.530851900579e-02       1.055132032962e+03 
       1.544142969630e-02       1.055090898652e+03 
       1.557437966684e-02       1.054973426415e+03 
       1.570736928943e-02       1.054780253345e+03 
       1.584039895693e-02       1.054512879769e+03 
       1.597346908298e-02       1.054172874686e+03 
       1.610658010204e-02       1.053760546589e+03 
       1.623973246933e-02       1.053277582880e+03 
       1.637292666089e-02       1.052725219980e+03 
       1.650616317360e-02       1.052104298784e+03 
       1.663944252528e-02       1.051415688606e+03 
       1.677276525473e-02       1.050661460704e+03 
       1.690613192186e-02       1.049841878478e+03 
       1.703954310780e-02       1.048958842514e+03 
       1.717299941507e-02       1.048011777235e+03 
       1.730650146766e-02       1.047003417759e+03 
       1.744004991130e-02       1.045934088311e+03 
       1.757364541359e-02       1.044804982097e+03 
       1.770728866421e-02       1.043617116193e+03 
       1.784098037520e-02       1.042371397552e+03 
       1.797472128114e-02       1.041069535867e+03 
       1.810851213944e-02       1.039710980441e+03 
       1.824235373063e-02       1.038298036135e+03 
       1.837624685860e-02       1.036831842484e+03 
       1.851019235100e-02       1.035311835490e+03 
       1.864419105949e-02       1.033740368713e+03 
       1.877824386010e-02       1.032117500516e+03 
       1.891235165363e-02       1.030446594200e+03 
       1.904651536598e-02       1.028723375846e+03 
       1.918073594856e-02       1.026953435155e+03 
       1.931501437874e-02       1.025136796245e+03 
       1.944935166022e-02       1.023272443056e+03 
       1.958374882352e-02       1.021362915387e+03 
       1.971820692641e-02       1.019409138052e+03 
       1.985272705444e-02       1.017411628267e+03 
       1.998731032141e-02       1.015370036487e+03 
       2.012195786988e-02       1.013286234773e+03 
       2.025667087175e-02       1.011162321071e+03 
       2.039145052878e-02       1.008997627267e+03 
       2.052629807319e-02       1.006793161989e+03 
       2.066121476824e-02       1.004549684009e+03 
       2.079620190886e-02       1.002267742874e+03 
       2.093126082231e-02       9.999497477354e+02 
