# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5
# for k=1.03995e-05 to 1243 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.039953543896e-05      -2.792666744334e-04      -2.094707327601e-04      -2.094707357787e-04      -2.792661402276e-04      -2.094398364724e-04      -2.095941561734e-04       5.998343851654e-01       5.987365735114e-01      -1.281872216382e-11      -2.764498388270e-15      -1.322681553714e-11      -1.903750848536e-14      -3.142740479076e-14 
       2.362715252707e-05      -1.440898381951e-03      -1.081225913519e-03      -1.081225993934e-03      -1.440884153763e-03      -1.081063351197e-03      -1.081861935019e-03       5.998308302530e-01       5.987336793789e-01      -3.414323379811e-10      -7.363970917023e-14      -3.523011596865e-10      -5.072179412227e-13      -8.370850383061e-13 
       3.690288557276e-05      -3.512438240890e-03      -2.637613275302e-03      -2.637613753713e-03      -3.512353621911e-03      -2.637203274727e-03      -2.639160241291e-03       5.998244848553e-01       5.987285124678e-01      -2.030808289032e-09      -4.380550332934e-13      -2.095443457155e-09      -3.018431545229e-12      -4.978925040819e-12 
       5.026440451877e-05      -6.509409922203e-03      -4.893356984954e-03      -4.893358630870e-03      -6.509118940770e-03      -4.892560216999e-03      -4.896214627043e-03       5.998152911165e-01       5.987210250162e-01      -6.984483782064e-09      -1.506844651853e-12      -7.206722710033e-09      -1.038888871566e-11      -1.712393029112e-11 
       6.375002738089e-05      -1.045596374678e-02      -7.871190615800e-03      -7.871194872021e-03      -1.045521176460e-02      -7.869832264991e-03      -7.875761127320e-03       5.998031601824e-01       5.987111432435e-01      -1.805389728493e-08      -3.895792876009e-12      -1.862814596951e-08      -2.688011539774e-11      -4.426323967000e-11 
       7.739908048046e-05      -1.538514070117e-02      -1.160228666327e-02      -1.160229590449e-02      -1.538350928229e-02      -1.160014274759e-02      -1.160897548035e-02       5.997879682552e-01       5.986987649437e-01      -3.917758594307e-08      -8.456469738626e-12      -4.042319304905e-08      -5.840246418426e-11      -9.605370023168e-11 
       9.125227067342e-05      -2.133924993871e-02      -1.612686787961e-02      -1.612688571859e-02      -2.133610373756e-02      -1.612364907847e-02      -1.613608404405e-02       5.997695592758e-01       5.986837603576e-01      -7.557816492532e-08      -1.631899299323e-11      -7.797980792647e-08      -1.128330784885e-10      -1.853009657288e-10 
       1.053520747789e-04      -2.837035662082e-02      -2.149501726563e-02      -2.149504892584e-02      -2.836477925615e-02      -2.149034936227e-02      -2.150717321301e-02       5.997477362009e-01       5.986659663194e-01      -1.340279729759e-07      -2.895178958232e-11      -1.382843592303e-07      -2.004485598221e-10      -3.286115882526e-10 
       1.197431514480e-04      -3.654087471489e-02      -2.776771010232e-02      -2.776776287411e-02      -3.653159067907e-02      -2.776110992279e-02      -2.778322066308e-02       5.997222604040e-01       5.986451838503e-01      -2.231993520909e-07      -4.823678376934e-11      -2.302823896538e-07      -3.345006096648e-10      -5.472518930113e-10 
       1.344727807492e-04      -4.592425724733e-02      -3.501809778702e-02      -3.501818160030e-02      -4.590953501457e-02      -3.500894323477e-02      -3.503737812963e-02       5.996928479455e-01       5.986211771057e-01      -3.541191664468e-07      -7.657229581581e-11      -3.653472928717e-07      -5.319730848642e-10      -8.682639877715e-10 
       1.495913367397e-04      -5.660576868631e-02      -4.333308065810e-02      -4.333320880086e-02      -5.658329990616e-02      -4.332057303242e-02      -4.335654280100e-02       5.996591610039e-01       5.985936647182e-01      -5.407553039890e-07      -1.170047288329e-10      -5.578847303526e-07      -8.145723297646e-10      -1.325905521425e-09 
       1.651527981975e-04      -6.868331613740e-02      -5.281521630737e-02      -5.281540632841e-02      -6.865006522447e-02      -5.279833256230e-02      -5.284326370169e-02       5.996208029574e-01       5.985623150213e-01      -8.007710586345e-07      -1.733906816679e-10      -8.261090442998e-07      -1.210020216490e-09      -1.963499718704e-09 
