# Matter power spectrum P(k) at redshift z=4.5
# for k=1.03995e-05 to 1243 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039953543896e-05       2.436925502385e+00 
       2.362715252707e-05       5.462560017051e+00 
       3.690288557276e-05       8.464869457193e+00 
       5.026440451877e-05       1.146411983759e+01 
       6.375002738089e-05       1.447409991720e+01 
       7.739908048046e-05       1.750644249857e+01 
       9.125227067342e-05       2.057191940054e+01 
       1.053520747789e-04       2.368101451054e+01 
       1.197431514480e-04       2.684424813897e+01 
       1.344727807492e-04       3.007239793740e+01 
       1.495913367397e-04       3.337667190753e+01 
       1.651527981975e-04       3.676885971352e+01 
       1.812153024208e-04       4.026147488689e+01 
       1.978417464781e-04       4.386789453784e+01 
       2.151004393591e-04       4.760250091423e+01 
       2.330658069688e-04       5.148082666014e+01 
       2.518191495799e-04       5.551970472480e+01 
       2.714494479115e-04       5.973742155236e+01 
       2.920542090557e-04       6.415387200197e+01 
       3.137403365828e-04       6.879071164904e+01 
       3.366249998083e-04       7.367150009061e+01 
       3.608364648896e-04       7.882182608384e+01 
       3.865148347006e-04       8.426940183266e+01 
       4.138126251223e-04       9.004410976250e+01 
       4.428950827964e-04       9.617797904926e+01 
       4.739401247143e-04       1.027050673488e+02 
       5.071377557701e-04       1.096612138788e+02 
       5.426888010081e-04       1.170836318932e+02 
       5.808027813663e-04       1.250103062673e+02 
       6.216947741287e-04       1.334791655091e+02 
       6.655811422290e-04       1.425270145124e+02 
       7.126740992655e-04       1.521882305948e+02 
       7.631752041348e-04       1.624932594745e+02 
       8.172680453872e-04       1.734669877864e+02 
       8.751105612573e-04       1.851271032453e+02 
       9.368276115359e-04       1.974825969607e+02 
       1.002504525669e-03       2.105325738181e+02 
       1.072182352673e-03       2.242655274863e+02 
       1.145855406415e-03       2.386592013936e+02 
       1.223471442598e-03       2.536810759797e+02 
       1.304934468295e-03       2.692894587670e+02 
       1.390109845146e-03       2.854350460266e+02 
       1.478831079880e-03       3.020628059389e+02 
       1.570907553874e-03       3.191139729652e+02 
       1.666132440652e-03       3.365279710551e+02 
       1.764290173008e-03       3.542441461752e+02 
       1.865163002780e-03       3.722031922942e+02 
       1.968536395812e-03       3.903482581544e+02 
       2.074203182650e-03       4.086257257229e+02 
       2.181966519942e-03       4.269856959581e+02 
       2.291641802565e-03       4.453817963139e+02 
       2.403057707652e-03       4.637725385082e+02 
       2.516056559817e-03       4.821203449776e+02 
       2.630494193709e-03       5.003914063253e+02 
       2.746239465532e-03       5.185556429948e+02 
       2.863173536797e-03       5.365865307550e+02 
       2.981189025715e-03       5.544607592599e+02 
       3.100189097064e-03       5.721580669263e+02 
       3.220086540844e-03       5.896608707551e+02 
       3.340802873876e-03       6.069540623986e+02 
       3.462267486105e-03       6.240246762501e+02 
       3.584416844309e-03       6.408617443221e+02 
       3.707193759434e-03       6.574559552907e+02 
       3.830546719295e-03       6.737995969040e+02 
       3.954429285456e-03       6.898861955240e+02 
       4.078799551231e-03       7.057106459602e+02 
       4.203619656709e-03       7.212686315459e+02 
