# Matter power spectrum P(k) at redshift z=4
# for k=1.03995e-05 to 1243 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039953543896e-05       2.945555257553e+00 
       2.362715252707e-05       6.602692586311e+00 
       3.690288557276e-05       1.023163424542e+01 
       5.026440451877e-05       1.385687485191e+01 
       6.375002738089e-05       1.749507973303e+01 
       7.739908048046e-05       2.116030816928e+01 
       9.125227067342e-05       2.486557869329e+01 
       1.053520747789e-04       2.862356150133e+01 
       1.197431514480e-04       3.244697066371e+01 
       1.344727807492e-04       3.634883092129e+01 
       1.495913367397e-04       4.034268683985e+01 
       1.651527981975e-04       4.444278561607e+01 
       1.812153024208e-04       4.866424882203e+01 
       1.978417464781e-04       5.302324118146e+01 
       2.151004393591e-04       5.753714151614e+01 
       2.330658069688e-04       6.222471821802e+01 
       2.518191495799e-04       6.710631015484e+01 
       2.714494479115e-04       7.220401167231e+01 
       2.920542090557e-04       7.754185958091e+01 
       3.137403365828e-04       8.314601685080e+01 
       3.366249998083e-04       8.904494549345e+01 
       3.608364648896e-04       9.526955748034e+01 
       3.865148347006e-04       1.018533282132e+02 
       4.138126251223e-04       1.088323525816e+02 
       4.428950827964e-04       1.162453163405e+02 
       4.739401247143e-04       1.241333526791e+02 
       5.071377557701e-04       1.325397438681e+02 
       5.426888010081e-04       1.415094289306e+02 
       5.808027813663e-04       1.510882764594e+02 
       6.216947741287e-04       1.613220858064e+02 
       6.655811422290e-04       1.722553001533e+02 
       7.126740992655e-04       1.839294354682e+02 
       7.631752041348e-04       1.963812694308e+02 
       8.172680453872e-04       2.096408838535e+02 
       8.751105612573e-04       2.237296943288e+02 
       9.368276115359e-04       2.386586531357e+02 
       1.002504525669e-03       2.544268256335e+02 
       1.072182352673e-03       2.710205268559e+02 
       1.145855406415e-03       2.884131618798e+02 
       1.223471442598e-03       3.065658177212e+02 
       1.304934468295e-03       3.254285745449e+02 
       1.390109845146e-03       3.449423769662e+02 
       1.478831079880e-03       3.650412851768e+02 
       1.570907553874e-03       3.856548531931e+02 
       1.666132440652e-03       4.067104191889e+02 
       1.764290173008e-03       4.281351678929e+02 
       1.865163002780e-03       4.498578308194e+02 
       1.968536395812e-03       4.718100116556e+02 
       2.074203182650e-03       4.939271283684e+02 
       2.181966519942e-03       5.161490133212e+02 
       2.291641802565e-03       5.384196996081e+02 
       2.403057707652e-03       5.606890888144e+02 
       2.516056559817e-03       5.829117954174e+02 
       2.630494193709e-03       6.050469831345e+02 
       2.746239465532e-03       6.270583267063e+02 
       2.863173536797e-03       6.489138004229e+02 
       2.981189025715e-03       6.705852586346e+02 
       3.100189097064e-03       6.920482063776e+02 
       3.220086540844e-03       7.132813524871e+02 
       3.340802873876e-03       7.342663511312e+02 
       3.462267486105e-03       7.549873993751e+02 
       3.584416844309e-03       7.754310671936e+02 
       3.707193759434e-03       7.955858963227e+02 
       3.830546719295e-03       8.154423427972e+02 
       3.954429285456e-03       8.349923552494e+02 
       4.078799551231e-03       8.542295410154e+02 
       4.203619656709e-03       8.731484698481e+02 
       4.328855356143e-03       8.917453553796e+02 
       4.454475632939e-03       9.100169528178e+02 
       4.580452357514e-03       9.279613657716e+02 
       4.706759983548e-03       9.455771587534e+02 
       4.833375278454e-03       9.628639021205e+02 
       4.960277084235e-03       9.798217625699e+02 
       5.087446105271e-03       9.964510193990e+02 
       5.214864719920e-03       1.012753090575e+03 
       5.342516813153e-03       1.028729132050e+03 
       5.470387627763e-03       1.044380998969e+03 
       5.598463631961e-03       1.059711181168e+03 
       5.726732401438e-03       1.074722070967e+03 
       5.855182514195e-03       1.089415610887e+03 
       5.983803456649e-03       1.103795546683e+03 
       6.112585539711e-03       1.117864329003e+03 
       6.241519823668e-03       1.131625913693e+03 
       6.370598050881e-03       1.145082646777e+03 
       6.499812585389e-03       1.158238388716e+03 
       6.629156358652e-03       1.171096969520e+03 
       6.758622820736e-03       1.183661480779e+03 
       6.888205896353e-03       1.195935461772e+03 
       7.017899945196e-03       1.207923087565e+03 
       7.147699726128e-03       1.219627989747e+03 
       7.277600364802e-03       1.231053140314e+03 
       7.407597324333e-03       1.242203079285e+03 
       7.537686378721e-03       1.253081034639e+03 
       7.667863588729e-03       1.263690328163e+03 
       7.798125279958e-03       1.274035754512e+03 
       7.928468022901e-03       1.284120546903e+03 
       8.058888614779e-03       1.293947808586e+03 
       8.189384062974e-03       1.303521414605e+03 
       8.319951569909e-03       1.312844886292e+03 
       8.450588519223e-03       1.321921798998e+03 
       8.581292463131e-03       1.330755149886e+03 
       8.712061110845e-03       1.339349922835e+03 
       8.842892317960e-03       1.347708341408e+03 
       8.973784076712e-03       1.355833820485e+03 
       9.104734507036e-03       1.363730116527e+03 
       9.235741848337e-03       1.371400252657e+03 
       9.366804451931e-03       1.378847693637e+03 
       9.497920774066e-03       1.386075320750e+03 
       9.629089369506e-03       1.393086606939e+03 
       9.760308885604e-03       1.399886809882e+03 
       9.891578056831e-03       1.406475271376e+03 
       1.002289569972e-02       1.412856120163e+03 
       1.015426070821e-02       1.419032817536e+03 
       1.028567204931e-02       1.425008694414e+03 
       1.041712875908e-02       1.430786317012e+03 
       1.054862993897e-02       1.436367985855e+03 
       1.068017475236e-02       1.441756945080e+03 
       1.081176242137e-02       1.446956133293e+03 
       1.094339222391e-02       1.451968480485e+03 
       1.107506349097e-02       1.456795820220e+03 
       1.120677560401e-02       1.461441496307e+03 
       1.133852799265e-02       1.465908613595e+03 
       1.147032013246e-02       1.470198264731e+03 
       1.160215154290e-02       1.474314832562e+03 
       1.173402178546e-02       1.478259805160e+03 
       1.186593046185e-02       1.482035252541e+03 
       1.199787721238e-02       1.485644336916e+03 
       1.212986171447e-02       1.489089436551e+03 
       1.226188368116e-02       1.492372304772e+03 
       1.239394285986e-02       1.495495764855e+03 
       1.252603903110e-02       1.498461955538e+03 
       1.265817200739e-02       1.501273338872e+03 
       1.279034163215e-02       1.503931616542e+03 
       1.292254777878e-02       1.506439990414e+03 
       1.305479034968e-02       1.508799647308e+03 
       1.318706927550e-02       1.511013017181e+03 
       1.331938451426e-02       1.513082586249e+03 
       1.345173605071e-02       1.515010138050e+03 
       1.358412389562e-02       1.516797843073e+03 
       1.371654808519e-02       1.518447858577e+03 
       1.384900868049e-02       1.519962714416e+03 
       1.398150576690e-02       1.521343161716e+03 
       1.411403945369e-02       1.522592274164e+03 
       1.424660987359e-02       1.523711894726e+03 
       1.437921718233e-02       1.524702876595e+03 
       1.451186155836e-02       1.525568051085e+03 
       1.464454320250e-02       1.526309101308e+03 
       1.477726233763e-02       1.526927690156e+03 
       1.491001920850e-02       1.527426155166e+03 
       1.504281408144e-02       1.527806082624e+03 
       1.517564724420e-02       1.528069602567e+03 
       1.530851900579e-02       1.528217870418e+03 
       1.544142969630e-02       1.528252631729e+03 
       1.557437966684e-02       1.528176516889e+03 
       1.570736928943e-02       1.527990423850e+03 
       1.584039895693e-02       1.527696507243e+03 
       1.597346908298e-02       1.527297022023e+03 
       1.610658010204e-02       1.526792391985e+03 
       1.623973246933e-02       1.526185044881e+03 
       1.637292666089e-02       1.525476754887e+03 
       1.650616317360e-02       1.524668727587e+03 
       1.663944252528e-02       1.523762207466e+03 
       1.677276525473e-02       1.522760182619e+03 
       1.690613192186e-02       1.521663019974e+03 
       1.703954310780e-02       1.520473465891e+03 
       1.717299941507e-02       1.519190672971e+03 
       1.730650146766e-02       1.517818603695e+03 
       1.744004991130e-02       1.516357708295e+03 
       1.757364541359e-02       1.514809716844e+03 
       1.770728866421e-02       1.513176093533e+03 
       1.784098037520e-02       1.511458147641e+03 
       1.797472128114e-02       1.509658350515e+03 
       1.810851213944e-02       1.507775900224e+03 
       1.824235373063e-02       1.505814129836e+03 
       1.837624685860e-02       1.503774689552e+03 
       1.851019235100e-02       1.501656750713e+03 
       1.864419105949e-02       1.499463726249e+03 
       1.877824386010e-02       1.497195689836e+03 
       1.891235165363e-02       1.494857515689e+03 
       1.904651536598e-02       1.492442995060e+03 
       1.918073594856e-02       1.489960230971e+03 
       1.931501437874e-02       1.487409247246e+03 
       1.944935166022e-02       1.484788560500e+03 
       1.958374882352e-02       1.482101850730e+03 
       1.971820692641e-02       1.479350441648e+03 
       1.985272705444e-02       1.476535076860e+03 
       1.998731032141e-02       1.473655233962e+03 
       2.012195786988e-02       1.470713618635e+03 
       2.025667087175e-02       1.467713261650e+03 
       2.039145052878e-02       1.464653174724e+03 
       2.052629807319e-02       1.461534809576e+03 
       2.066121476824e-02       1.458359250181e+03 
       2.079620190886e-02       1.455127276842e+03 
       2.093126082231e-02       1.451842370509e+03 
       2.106639286880e-02       1.448501063873e+03 
       2.120159944219e-02       1.445110574433e+03 
       2.133688197070e-02       1.441667340660e+03 
       2.147224191765e-02       1.438173896977e+03 
       2.160768078216e-02       1.434629451228e+03 
       2.174320010000e-02       1.431037380258e+03 
       2.187880144433e-02       1.427402214238e+03 
       2.201448642654e-02       1.423715695862e+03 
       2.215025669712e-02       1.419988468350e+03 
       2.228611394651e-02       1.416217641400e+03 
       2.242205990603e-02       1.412401695725e+03 
       2.255809634881e-02       1.408543380274e+03 
       2.269422509071e-02       1.404642788759e+03 
       2.283044799139e-02       1.400708307432e+03 
       2.296676695527e-02       1.396730706464e+03 
       2.310318393262e-02       1.392717427913e+03 
       2.323970092062e-02       1.388665510853e+03 
       2.337631996451e-02       1.384578701285e+03 
       2.351304315873e-02       1.380452715769e+03 
       2.364987264812e-02       1.376300347685e+03 
       2.378681062915e-02       1.372114021408e+03 
       2.392385935119e-02       1.367890442786e+03 
       2.406102111783e-02       1.363636796155e+03 
       2.419829828820e-02       1.359353869463e+03 
       2.433569327838e-02       1.355042322542e+03 
       2.447320856286e-02       1.350698909851e+03 
       2.461084667600e-02       1.346333095911e+03 
       2.474861021354e-02       1.341935850152e+03 
       2.488650183423e-02       1.337514629270e+03 
       2.502452426141e-02       1.333067058534e+03 
       2.516268028473e-02       1.328597276567e+03 
       2.530097276186e-02       1.324101309200e+03 
       2.543940462031e-02       1.319582631937e+03 
       2.557797885926e-02       1.315046252472e+03 
       2.571669855148e-02       1.310485553123e+03 
       2.585556684531e-02       1.305902720947e+03 
       2.599458696671e-02       1.301303351817e+03 
       2.613376222134e-02       1.296684047072e+03 
       2.627309599677e-02       1.292046274248e+03 
       2.641259176475e-02       1.287390586761e+03 
       2.655225308349e-02       1.282718065505e+03 
       2.669208360010e-02       1.278029725106e+03 
       2.683208705309e-02       1.273325716687e+03 
       2.697226727495e-02       1.268607832144e+03 
       2.711262819481e-02       1.263874576684e+03 
       2.725317384118e-02       1.259130514793e+03 
       2.739390834487e-02       1.254370824322e+03 
       2.753483594189e-02       1.249601944101e+03 
       2.767596097655e-02       1.244819173301e+03 
       2.781728790465e-02       1.240027391055e+03 
       2.795882129673e-02       1.235224957125e+03 
       2.810056584150e-02       1.230411263931e+03 
       2.824252634939e-02       1.225589733661e+03 
       2.838470775622e-02       1.220756605778e+03 
       2.852711512698e-02       1.215920186235e+03 
       2.866975365978e-02       1.211073846858e+03 
       2.881262868997e-02       1.206220026829e+03 
       2.895574569435e-02       1.201360536538e+03 
       2.909911029562e-02       1.196495765305e+03 
       2.924272826696e-02       1.191626348995e+03 
       2.938660553674e-02       1.186750267409e+03 
