# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.358640206872e-10       4.895196497828e-15       3.766456251094e-13       0.000000000000e+00       8.082623043243e-09       4.438880003542e-10      -1.986140078881e-12 
    3       1.288768136790e-10       7.114869291779e-15       4.445513451994e-13       0.000000000000e+00       4.977737508347e-09       3.152612636312e-10      -1.619167878992e-12 
    4       1.220270547139e-10       7.044498066269e-15       4.346149521121e-13       0.000000000000e+00       3.460497178067e-09       2.386652824544e-10      -1.169229925843e-12 
    5       1.168022634704e-10       5.424404768469e-15       3.857350298495e-13       0.000000000000e+00       2.579205287047e-09       1.883745249745e-10      -7.550073621618e-13 
    6       1.131416436072e-10       3.444448957739e-15       3.223401434470e-13       0.000000000000e+00       2.011209932346e-09       1.530645754449e-10      -4.153107088955e-13 
    7       1.107307651989e-10       1.931534231492e-15       2.599281991358e-13       0.000000000000e+00       1.619240454798e-09       1.270784732976e-10      -1.637979162415e-13 
    8       1.092975266525e-10       1.106792700232e-15       2.066882506096e-13       0.000000000000e+00       1.334788752097e-09       1.073616089541e-10       7.911150492890e-16 
    9       1.086046926558e-10       7.845943286432e-16       1.662301656249e-13       0.000000000000e+00       1.120813014637e-09       9.207120942721e-11       8.921081123632e-14 
   10       1.084983855428e-10       6.799168329105e-16       1.391198961173e-13       0.000000000000e+00       9.556311414115e-10       7.993775378406e-11       1.180076819124e-13 
   11       1.087778115153e-10       6.078414291576e-16       1.240045975880e-13       0.000000000000e+00       8.072452804473e-10       7.040679668009e-11       1.060480176163e-13 
   12       1.093737167700e-10       5.207409986129e-16       1.185255258476e-13       0.000000000000e+00       7.042651768697e-10       6.221689294734e-11       7.217458632832e-14 
   13       1.102565327331e-10       4.454999104310e-16       1.199327047128e-13       0.000000000000e+00       6.198013572923e-10       5.534366452953e-11       3.121359882400e-14 
   14       1.113688645499e-10       4.109230515998e-16       1.255335121305e-13       0.000000000000e+00       5.495967121011e-10       4.972495138449e-11      -5.389294485156e-15 
   15       1.126123270120e-10       4.170241410628e-16       1.331450277159e-13       0.000000000000e+00       4.905700056461e-10       4.492570519767e-11      -3.131554811128e-14 
   16       1.139830380807e-10       4.448981307881e-16       1.413621128831e-13       0.000000000000e+00       4.404326167655e-10       4.062770434173e-11      -4.454228539795e-14 
   17       1.155134653031e-10       4.790126922153e-16       1.493238314007e-13       0.000000000000e+00       3.974643425169e-10       3.692193317457e-11      -4.596737601382e-14 
   18       1.171247030792e-10       5.189393609421e-16       1.567153310179e-13       0.000000000000e+00       3.602082184103e-10       3.373067864066e-11      -3.899864426927e-14 
   19       1.188236793263e-10       5.734368739514e-16       1.636996908394e-13       0.000000000000e+00       3.280610546714e-10       3.096294342901e-11      -2.732318599493e-14 
   20       1.206008561578e-10       6.529792529308e-16       1.706051137881e-13       0.000000000000e+00       2.997768048131e-10       2.847758594939e-11      -1.533712430025e-14 
   21       1.224530119950e-10       7.592957179810e-16       1.777318469647e-13       0.000000000000e+00       2.749042202971e-10       2.625776712799e-11      -5.620485136226e-15 
   22       1.243509577114e-10       8.901595440241e-16       1.853528507937e-13       0.000000000000e+00       2.528407610828e-10       2.429248477022e-11      -4.993193165583e-17 
   23       1.263079230601e-10       1.043027666235e-15       1.935160750981e-13       0.000000000000e+00       2.332780293506e-10       2.256344224798e-11       1.224577944084e-15 
   24       1.283272441173e-10       1.215077855797e-15       2.021230247811e-13       0.000000000000e+00       2.157589448303e-10       2.102456618532e-11      -1.046188782313e-15 
   25       1.303975624158e-10       1.406890016498e-15       2.108818329789e-13       0.000000000000e+00       2.000735566084e-10       1.963758253135e-11      -5.561330916058e-15 
   26       1.324917042254e-10       1.619675123561e-15       2.193787522047e-13       0.000000000000e+00       1.859341974092e-10       1.835689025756e-11      -1.062957690841e-14 
   27       1.346225636289e-10       1.852511256487e-15       2.272339098584e-13       0.000000000000e+00       1.731692290889e-10       1.718365837150e-11      -1.496420772611e-14 
   28       1.368044759938e-10       2.103998765502e-15       2.340749677657e-13       0.000000000000e+00       1.615567424725e-10       1.612384402711e-11      -1.745887628226e-14 
   29       1.390424057824e-10       2.375239355453e-15       2.397336413799e-13       0.000000000000e+00       1.510354046244e-10       1.517028929728e-11      -1.798249133353e-14 
   30       1.413245071458e-10       2.668334891395e-15       2.441058621405e-13       0.000000000000e+00       1.414896890714e-10       1.430019243527e-11      -1.679563131369e-14 
   31       1.436287881915e-10       2.985559127196e-15       2.471226682366e-13       0.000000000000e+00       1.327219434813e-10       1.348403093965e-11      -1.432293442462e-14 
   32       1.459601884380e-10       3.328602502646e-15       2.488511054731e-13       0.000000000000e+00       1.246857513742e-10       1.272260656139e-11      -1.118909095468e-14 
   33       1.483248799253e-10       3.699063902894e-15       2.494370966699e-13       0.000000000000e+00       1.173235857543e-10       1.202256696194e-11      -8.221983154267e-15 
   34       1.507216688252e-10       4.098466772945e-15       2.490400748319e-13       0.000000000000e+00       1.105314875089e-10       1.138566652715e-11      -6.250436307643e-15 
   35       1.531496596422e-10       4.527616278178e-15       2.476818522867e-13       0.000000000000e+00       1.042737699087e-10       1.080650394273e-11      -5.380939670167e-15 
   36       1.556015042415e-10       4.987004450797e-15       2.453464812018e-13       0.000000000000e+00       9.849912346098e-11       1.027304952386e-11      -5.467476199461e-15 
   37       1.580666982764e-10       5.477048196362e-15       2.420007568741e-13       0.000000000000e+00       9.313113696349e-11       9.771141417815e-12      -6.294690794087e-15 
   38       1.605531846438e-10       5.998366584544e-15       2.375284682696e-13       0.000000000000e+00       8.815534142139e-11       9.299822656785e-12      -7.571353712010e-15 
   39       1.630718219241e-10       6.551582343946e-15       2.317723952104e-13       0.000000000000e+00       8.355547100925e-11       8.860529846582e-12      -8.925440444681e-15 
   40       1.656300358437e-10       7.137241015273e-15       2.245496611722e-13       0.000000000000e+00       7.928701075929e-11       8.452748016591e-12      -9.898811861993e-15 
   41       1.682309996110e-10       7.755853546250e-15       2.156895323022e-13       0.000000000000e+00       7.529257733115e-11       8.074403412205e-12      -1.007682051244e-14 
   42       1.708719191131e-10       8.408053150342e-15       2.051658097541e-13       0.000000000000e+00       7.155999681231e-11       7.723645316803e-12      -9.541037560965e-15 
