# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.358644542863e-10       4.895392268909e-15       3.766456213952e-13       1.957710150813e-19       8.082623043243e-09       4.438880003542e-10      -1.986140078881e-12 
    3       1.288776787377e-10       7.115260932622e-15       4.445513286511e-13       3.916401911950e-19       4.977737508347e-09       3.152612636312e-10      -1.619167878992e-12 
    4       1.220284917826e-10       7.045151019169e-15       4.346149045784e-13       6.529496969113e-19       3.460497178067e-09       2.386652824544e-10      -1.169229925843e-12 
    5       1.168044104087e-10       5.425384604111e-15       3.857349216079e-13       9.798246548795e-19       2.579205287047e-09       1.883745249745e-10      -7.550073621618e-13 
    6       1.131446350453e-10       3.445821404412e-15       3.223399307136e-13       1.372416651608e-18       2.011209932346e-09       1.530645754449e-10      -4.153107088955e-13 
    7       1.107347320819e-10       1.933365202245e-15       2.599278218186e-13       1.830900741027e-18       1.619240454798e-09       1.270784732976e-10      -1.637979162415e-13 
    8       1.093025958766e-10       1.109148317434e-15       2.066876303358e-13       2.355472053969e-18       1.334788752097e-09       1.073616089541e-10       7.911150492890e-16 
    9       1.086109868039e-10       7.875409453591e-16       1.662292040643e-13       2.946342113698e-18       1.120813014637e-09       9.207120942721e-11       8.921081123632e-14 
   10       1.085060227214e-10       6.835210505132e-16       1.391184736120e-13       3.603734965150e-18       9.556311414115e-10       7.993775378406e-11       1.180076819124e-13 
   11       1.087869052931e-10       6.121701105440e-16       1.240025720899e-13       4.327883229393e-18       8.072452804473e-10       7.040679668009e-11       1.060480176163e-13 
   12       1.093843762144e-10       5.258612764429e-16       1.185227321576e-13       5.119024194925e-18       7.042651768697e-10       6.221689294734e-11       7.217458632832e-14 
   13       1.102688625361e-10       4.514791898386e-16       1.199289540037e-13       5.977396053891e-18       6.198013572923e-10       5.534366452953e-11       3.121359882400e-14 
   14       1.113829652358e-10       4.178290069055e-16       1.255285917340e-13       6.903234384126e-18       5.495967121011e-10       4.972495138449e-11      -5.389294485156e-15 
   15       1.126282952118e-10       4.249247061280e-16       1.331387011433e-13       7.896768967534e-18       4.905700056461e-10       4.492570519767e-11      -3.131554811128e-14 
   16       1.140009668598e-10       4.538614827931e-16       1.413541200497e-13       8.958221021996e-18       4.404326167655e-10       4.062770434173e-11      -4.454228539795e-14 
   17       1.155334445268e-10       4.891072288121e-16       1.493138890201e-13       1.008780090832e-17       3.974643425169e-10       3.692193317457e-11      -4.596737601382e-14 
   18       1.171468198052e-10       5.302336710648e-16       1.567031331485e-13       1.128570614943e-17       3.602082184103e-10       3.373067864066e-11      -3.899864426927e-14 
   19       1.188480181635e-10       5.859997017831e-16       1.636849094609e-13       1.255212123439e-17       3.280610546714e-10       3.096294342901e-11      -2.732318599493e-14 
