# Matter power spectrum P(k) at redshift z=5
# for k=1.0515e-05 to 1011.22 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051502443274e-05       1.959310418245e+00 
       2.383305555791e-05       4.381665803088e+00 
       3.720032138667e-05       6.785524685720e+00 
       5.065527352169e-05       9.187181896831e+00 
       6.423703527263e-05       1.159776750291e+01 
       7.798577448385e-05       1.402669368825e+01 
       9.194308895719e-05       1.648269118241e+01 
       1.061524099246e-04       1.897426924714e+01 
       1.206594290639e-04       2.150997745655e+01 
       1.355125545857e-04       2.409858445093e+01 
       1.507634019111e-04       2.674921941843e+01 
       1.664673243456e-04       2.947149565603e+01 
       1.826839888649e-04       3.227562774378e+01 
       1.994780015443e-04       3.517254681630e+01 
       2.169195861454e-04       3.817401736047e+01 
       2.350853177219e-04       4.129275792987e+01 
       2.540589105615e-04       4.454256501681e+01 
       2.739320560184e-04       4.793844030105e+01 
       2.948053003896e-04       5.149671899513e+01 
       3.167889454767e-04       5.523519566277e+01 
       3.400039442916e-04       5.917324245662e+01 
       3.645827509788e-04       6.333191084733e+01 
       3.906700669834e-04       6.773400760571e+01 
       4.184234046588e-04       7.240412845468e+01 
       4.480133652997e-04       7.736863243660e+01 
       4.796235024583e-04       8.265553315965e+01 
       5.134496163059e-04       8.829428137367e+01 
       5.496983057796e-04       9.431540943393e+01 
       5.885845997888e-04       1.007500094074e+02 
       6.303285066324e-04       1.076290234402e+02 
       6.751503728949e-04       1.149823322981e+02 
       7.232650387744e-04       1.228376513720e+02 
       7.748749193552e-04       1.312192680538e+02 
       8.301623226435e-04       1.401466909006e+02 
       8.892815110274e-04       1.496333089630e+02 
       9.523511824922e-04       1.596851915351e+02 
       1.019448140944e-03       1.703001720727e+02 
       1.090602896095e-03       1.814673375524e+02 
       1.165797761633e-03       1.931670136642e+02 
       1.244967724173e-03       2.053712767359e+02 
       1.328003993343e-03       2.180449392281e+02 
       1.414759797565e-03       2.311469078834e+02 
       1.505057738473e-03       2.446317780355e+02 
       1.598697906169e-03       2.584514678860e+02 
       1.695465991093e-03       2.725567913841e+02 
       1.795140772383e-03       2.868988317679e+02 
       1.897500564077e-03       3.014300519397e+02 
       2.002328407702e-03       3.161051317062e+02 
