# Matter power spectrum P(k) at redshift z=5
# for k=1.0515e-05 to 1011.22 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051502443274e-05       1.959225368091e+00 
       2.383305555791e-05       4.381475965384e+00 
       3.720032138667e-05       6.785231700977e+00 
       5.065527352169e-05       9.186787177461e+00 
       6.423703527263e-05       1.159727248762e+01 
       7.798577448385e-05       1.402609996118e+01 
       9.194308895719e-05       1.648200056574e+01 
       1.061524099246e-04       1.897348389131e+01 
       1.206594290639e-04       2.150909994213e+01 
       1.355125545857e-04       2.409761790842e+01 
       1.507634019111e-04       2.674816767512e+01 
       1.664673243456e-04       2.947036341256e+01 
       1.826839888649e-04       3.227442079508e+01 
       1.994780015443e-04       3.517127232593e+01 
       2.169195861454e-04       3.817268419639e+01 
       2.350853177219e-04       4.129137709008e+01 
       2.540589105615e-04       4.454115015464e+01 
       2.739320560184e-04       4.793700838502e+01 
       2.948053003896e-04       5.149529113373e+01 
       3.167889454767e-04       5.523379814012e+01 
       3.400039442916e-04       5.917190803230e+01 
       3.645827509788e-04       6.333068038291e+01 
       3.906700669834e-04       6.773293210998e+01 
       4.184234046588e-04       7.240327164330e+01 
       4.480133652997e-04       7.736807392830e+01 
       4.796235024583e-04       8.265537245730e+01 
       5.134496163059e-04       8.829464279534e+01 
       5.496983057796e-04       9.431644817883e+01 
       5.885845997888e-04       1.007519189560e+02 
       6.303285066324e-04       1.076320444826e+02 
       6.751503728949e-04       1.149867633642e+02 
       7.232650387744e-04       1.228438612740e+02 
       7.748749193552e-04       1.312277101669e+02 
       8.301623226435e-04       1.401579191912e+02 
       8.892815110274e-04       1.496479954622e+02 
       9.523511824922e-04       1.597041448040e+02 
       1.019448140944e-03       1.703243559861e+02 
       1.090602896095e-03       1.814978895634e+02 
       1.165797761633e-03       1.932052616105e+02 
       1.244967724173e-03       2.054187532434e+02 
       1.328003993343e-03       2.181033928325e+02 
       1.414759797565e-03       2.312183101752e+02 
       1.505057738473e-03       2.447183264062e+02 
       1.598697906169e-03       2.585555836327e+02 
       1.695465991093e-03       2.726811132955e+02 
       1.795140772383e-03       2.870462054679e+02 
       1.897500564077e-03       3.016035154293e+02 
       2.002328407702e-03       3.163078976818e+02 
       2.109415975364e-03       3.311169832811e+02 
       2.218566273400e-03       3.459915059118e+02 
       2.329595311101e-03       3.608949249540e+02 
       2.442332930034e-03       3.757950996408e+02 
       2.556622989608e-03       3.906625500896e+02 
       2.672323085694e-03       4.054709135616e+02 
       2.789303951238e-03       4.201967131115e+02 
       2.907448657645e-03       4.348192315590e+02 
       3.026651707360e-03       4.493202562733e+02 
       3.146818083614e-03       4.636838804639e+02 
       3.267862303363e-03       4.778963308165e+02 
       3.389707503916e-03       4.919456808618e+02 
       3.512284582106e-03       5.058217295376e+02 
       3.635531396391e-03       5.195157359941e+02 
       3.759392036357e-03       5.330204503392e+02 
       3.883816160041e-03       5.463296153909e+02 
       4.008758396935e-03       5.594380754734e+02 
       4.134177812925e-03       5.723416443869e+02 
       4.260037432564e-03       5.850368576579e+02 
       4.386303813726e-03       5.975213039688e+02 
       4.512946669633e-03       6.097926439519e+02 
       4.639938533394e-03       6.218497052914e+02 
       4.767254460513e-03       6.336914091893e+02 
       4.894871765148e-03       6.453174429678e+02 
       5.022769786274e-03       6.567277945895e+02 
