# Matter power spectrum P(k) at redshift z=4.5
# for k=1.0515e-05 to 1011.22 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051502443274e-05       2.330546371007e+00 
       2.383305555791e-05       5.211871090779e+00 
       3.720032138667e-05       8.071192356562e+00 
       5.065527352169e-05       1.092789105043e+01 
       6.423703527263e-05       1.379520466905e+01 
       7.798577448385e-05       1.668432718450e+01 
       9.194308895719e-05       1.960564182698e+01 
       1.061524099246e-04       2.256926819087e+01 
       1.206594290639e-04       2.558537355131e+01 
       1.355125545857e-04       2.866438540890e+01 
       1.507634019111e-04       3.181715965692e+01 
       1.664673243456e-04       3.505512757477e+01 
       1.826839888649e-04       3.839043497253e+01 
       1.994780015443e-04       4.183607918154e+01 
       2.169195861454e-04       4.540604787556e+01 
       2.350853177219e-04       4.911546236627e+01 
       2.540589105615e-04       5.298072474007e+01 
       2.739320560184e-04       5.701966888881e+01 
       2.948053003896e-04       6.125171278893e+01 
       3.167889454767e-04       6.569800775030e+01 
       3.400039442916e-04       7.038157839853e+01 
       3.645827509788e-04       7.532744319480e+01 
       3.906700669834e-04       8.056270389473e+01 
       4.184234046588e-04       8.611658481605e+01 
       4.480133652997e-04       9.202040127475e+01 
       4.796235024583e-04       9.830742924145e+01 
       5.134496163059e-04       1.050126455723e+02 
       5.496983057796e-04       1.121723041429e+02 
       5.885845997888e-04       1.198233142750e+02 
       6.303285066324e-04       1.280023963198e+02 
       6.751503728949e-04       1.367449978899e+02 
       7.232650387744e-04       1.460839822481e+02 
       7.748749193552e-04       1.560481296748e+02 
       8.301623226435e-04       1.666605352538e+02 
       8.892815110274e-04       1.779370214568e+02 
       9.523511824922e-04       1.898847191522e+02 
       1.019448140944e-03       2.025009882368e+02 
       1.090602896095e-03       2.157728206858e+02 
       1.165797761633e-03       2.296768319302e+02 
       1.244967724173e-03       2.441798756975e+02 
       1.328003993343e-03       2.592402166049e+02 
       1.414759797565e-03       2.748091405273e+02 
       1.505057738473e-03       2.908328385637e+02 
       1.598697906169e-03       3.072543336057e+02 
       1.695465991093e-03       3.240153309705e+02 
       1.795140772383e-03       3.410578319797e+02 
       1.897500564077e-03       3.583254382800e+02 
       2.002328407702e-03       3.757643375192e+02 
       2.109415975364e-03       3.933239917177e+02 
       2.218566273400e-03       4.109575334266e+02 
       2.329595311101e-03       4.286213340340e+02 
       2.442332930034e-03       4.462770067212e+02 
       2.556622989608e-03       4.638893625407e+02 
       2.672323085694e-03       4.814269645711e+02 
       2.789303951238e-03       4.988618508375e+02 
       2.907448657645e-03       5.161694023297e+02 
       3.026651707360e-03       5.333280380819e+02 
       3.146818083614e-03       5.503189418926e+02 
       3.267862303363e-03       5.671258662593e+02 
       3.389707503916e-03       5.837347737979e+02 
       3.512284582106e-03       6.001336830572e+02 
       3.635531396391e-03       6.163123477438e+02 
       3.759392036357e-03       6.322622910412e+02 
       3.883816160041e-03       6.479762163398e+02 
       4.008758396935e-03       6.634481404231e+02 
       4.134177812925e-03       6.786732401760e+02 
       4.260037432564e-03       6.936475631881e+02 
       4.386303813726e-03       7.083684202976e+02 
       4.512946669633e-03       7.228332207976e+02 
       4.639938533394e-03       7.370407661288e+02 
       4.767254460513e-03       7.509899714393e+02 
       4.894871765148e-03       7.646806568020e+02 
       5.022769786274e-03       7.781129906430e+02 
       5.150929680317e-03       7.912873927394e+02 
       5.279334237146e-03       8.042049711393e+02 
       5.407967716687e-03       8.168667283596e+02 
       5.536815703712e-03       8.292741736180e+02 
       5.665864978661e-03       8.414294581771e+02 
       5.795103402611e-03       8.533339595518e+02 
       5.924519814702e-03       8.649902207573e+02 
       6.054103940588e-03       8.764001402304e+02 
       6.183846310604e-03       8.875662111356e+02 
       6.313738186537e-03       8.984911031577e+02 
       6.443771496011e-03       9.091772118288e+02 
       6.573938773606e-03       9.196272478044e+02 
       6.704233107961e-03       9.298439917687e+02 
       6.834648094188e-03       9.398300300007e+02 
       6.965177791007e-03       9.495883184062e+02 
       7.095816682074e-03       9.591218874081e+02 
       7.226559641066e-03       9.684335286687e+02 
       7.357401900096e-03       9.775257462737e+02 
       7.488339021120e-03       9.864019881793e+02 
       7.619366870015e-03       9.950643790243e+02 
       7.750481593044e-03       1.003516169010e+03 
       7.881679595471e-03       1.011760662609e+03 
       8.012957522106e-03       1.019800383900e+03 
       8.144312239576e-03       1.027637895602e+03 
       8.275740820160e-03       1.035276627222e+03 
       8.407240527031e-03       1.042718923424e+03 
       8.538808800770e-03       1.049967482439e+03 
       8.670443247018e-03       1.057025153979e+03 
       8.802141625180e-03       1.063895121732e+03 
       8.933901838055e-03       1.070579740418e+03 
       9.065721922330e-03       1.077081383679e+03 
       9.197600039841e-03       1.083402990628e+03 
       9.329534469545e-03       1.089546600286e+03 
       9.461523600127e-03       1.095515993797e+03 
       9.593565923190e-03       1.101312444078e+03 
       9.725660026985e-03       1.106938786313e+03 
       9.857804590619e-03       1.112397788471e+03 
       9.989998378713e-03       1.117691354419e+03 
       1.012224023646e-02       1.122822164547e+03 
       1.025452908507e-02       1.127792522700e+03 
       1.038686391753e-02       1.132606330084e+03 
       1.051924379471e-02       1.137263062557e+03 
       1.065166784174e-02       1.141765678718e+03 
       1.078413524466e-02       1.146116697127e+03 
       1.091664524726e-02       1.150318250745e+03 
       1.104919714827e-02       1.154372632101e+03 
       1.118179029862e-02       1.158281808902e+03 
       1.131442409899e-02       1.162047901729e+03 
       1.144709799747e-02       1.165672668728e+03 
