# Matter power spectrum P(k) at redshift z=4.5
# for k=1.0515e-05 to 1011.22 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051502443274e-05       2.330463370281e+00 
       2.383305555791e-05       5.211685883043e+00 
       3.720032138667e-05       8.070906671005e+00 
       5.065527352169e-05       1.092750646709e+01 
       6.423703527263e-05       1.379472287156e+01 
       7.798577448385e-05       1.668375008330e+01 
       9.194308895719e-05       1.960497165922e+01 
       1.061524099246e-04       2.256850762094e+01 
       1.206594290639e-04       2.558452578602e+01 
       1.355125545857e-04       2.866345433431e+01 
       1.507634019111e-04       3.181615000626e+01 
       1.664673243456e-04       3.505404513142e+01 
       1.826839888649e-04       3.838928682328e+01 
       1.994780015443e-04       4.183487403082e+01 
       2.169195861454e-04       4.540479643073e+01 
       2.350853177219e-04       4.911417782386e+01 
       2.540589105615e-04       5.297942338644e+01 
       2.739320560184e-04       5.701837085307e+01 
       2.948053003896e-04       6.125044298322e+01 
       3.167889454767e-04       6.569679704874e+01 
       3.400039442916e-04       7.038046511510e+01 
       3.645827509788e-04       7.532647493168e+01 
       3.906700669834e-04       8.056193986294e+01 
       4.184234046588e-04       8.611609873749e+01 
       4.480133652997e-04       9.202028500322e+01 
       4.796235024583e-04       9.830779726893e+01 
       5.134496163059e-04       1.050136406067e+02 
       5.496983057796e-04       1.121741039651e+02 
       5.885845997888e-04       1.198261400993e+02 
       6.303285066324e-04       1.280065228761e+02 
       6.751503728949e-04       1.367507654198e+02 
       7.232650387744e-04       1.460918105437e+02 
       7.748749193552e-04       1.560585341848e+02 
       8.301623226435e-04       1.666741451521e+02 
       8.892815110274e-04       1.779545993386e+02 
       9.523511824922e-04       1.899071818402e+02 
       1.019448140944e-03       2.025294279414e+02 
       1.090602896095e-03       2.158085255752e+02 
       1.165797761633e-03       2.297213050506e+02 
       1.244967724173e-03       2.442348511818e+02 
       1.328003993343e-03       2.593076721720e+02 
       1.414759797565e-03       2.748913055009e+02 
       1.505057738473e-03       2.909321969232e+02 
       1.598697906169e-03       3.073736218009e+02 
       1.695465991093e-03       3.241575306445e+02 
       1.795140772383e-03       3.412261579132e+02 
       1.897500564077e-03       3.585233220590e+02 
       2.002328407702e-03       3.759954075864e+02 
       2.109415975364e-03       3.935920505401e+02 
       2.218566273400e-03       4.112665324246e+02 
       2.329595311101e-03       4.289753454153e+02 
       2.442332930034e-03       4.466801993299e+02 
       2.556622989608e-03       4.643459726177e+02 
       2.672323085694e-03       4.819412684074e+02 
       2.789303951238e-03       4.994381379520e+02 
       2.907448657645e-03       5.168119498653e+02 
       3.026651707360e-03       5.340410863604e+02 
       3.146818083614e-03       5.511066716443e+02 
       3.267862303363e-03       5.679923777175e+02 
       3.389707503916e-03       5.846840675107e+02 
       3.512284582106e-03       6.011696429973e+02 
       3.635531396391e-03       6.174387263551e+02 
       3.759392036357e-03       6.334826971509e+02 
       3.883816160041e-03       6.492941042057e+02 
       4.008758396935e-03       6.648668017907e+02 
       4.134177812925e-03       6.801957984710e+02 
       4.260037432564e-03       6.952769692482e+02 
       4.386303813726e-03       7.101074515840e+02 
       4.512946669633e-03       7.246844790620e+02 
       4.639938533394e-03       7.390066809261e+02 
       4.767254460513e-03       7.530728013106e+02 
       4.894871765148e-03       7.668824943725e+02 
       5.022769786274e-03       7.804357672043e+02 
       5.150929680317e-03       7.937328834676e+02 
       5.279334237146e-03       8.067748026574e+02 
       5.407967716687e-03       8.195623842365e+02 
       5.536815703712e-03       8.320970024314e+02 
       5.665864978661e-03       8.443806825293e+02 
       5.795103402611e-03       8.564146800181e+02 
       5.924519814702e-03       8.682014271092e+02 
       6.054103940588e-03       8.797427157837e+02 
       6.183846310604e-03       8.910409416718e+02 
       6.313738186537e-03       9.020986840800e+02 
       6.443771496011e-03       9.129182530975e+02 
       6.573938773606e-03       9.235022809425e+02 
       6.704233107961e-03       9.338534753509e+02 
       6.834648094188e-03       9.439743537069e+02 
       6.965177791007e-03       9.538678089737e+02 
       7.095816682074e-03       9.635368195295e+02 
       7.226559641066e-03       9.729839291825e+02 
       7.357401900096e-03       9.822118304253e+02 
       7.488339021120e-03       9.912238957968e+02 
       7.619366870015e-03       1.000022142518e+03 
       7.750481593044e-03       1.008609725944e+03 
       7.881679595471e-03       1.016989862897e+03 
       8.012957522106e-03       1.025164992106e+03 
       8.144312239576e-03       1.033137596974e+03 
       8.275740820160e-03       1.040911037721e+03 
       8.407240527031e-03       1.048487589041e+03 
       8.538808800770e-03       1.055869885933e+03 
       8.670443247018e-03       1.063060720268e+03 
       8.802141625180e-03       1.070063224206e+03 
       8.933901838055e-03       1.076879700411e+03 
       9.065721922330e-03       1.083512474494e+03 
       9.197600039841e-03       1.089964444665e+03 
       9.329534469545e-03       1.096237607445e+03 
       9.461523600127e-03       1.102335715696e+03 
       9.593565923190e-03       1.108260002262e+03 
       9.725660026985e-03       1.114013275226e+03 
       9.857804590619e-03       1.119598278528e+03 
       9.989998378713e-03       1.125016889697e+03 
       1.012224023646e-02       1.130271771066e+03 
       1.025452908507e-02       1.135365209417e+03 
       1.038686391753e-02       1.140301093944e+03 
       1.051924379471e-02       1.145078883246e+03 
       1.065166784174e-02       1.149701526983e+03 
