# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.0515e-05 to 1011.22 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.051502443274e-05      -3.329713089301e-04      -2.497579969201e-04      -2.497580017813e-04      -3.329703711195e-04      -2.497122698764e-04      -2.498770697754e-04       5.989161587627e-01       5.980260654039e-01      -1.689708627990e-11      -3.143484106786e-15      -1.747247138425e-11      -1.778534861648e-14      -3.358678513914e-14 
       2.383305555791e-05      -1.709745599837e-03      -1.283087992555e-03      -1.283088120824e-03      -1.709720858895e-03      -1.282849852366e-03      -1.283698533275e-03       5.989125988101e-01       5.980231417897e-01      -4.457953122741e-10      -8.294179453682e-14      -4.609735992878e-10      -4.693911923110e-13      -8.861209279189e-13 
       3.720032138667e-05      -4.161821005352e-03      -3.125986451021e-03      -3.125987212122e-03      -4.161674252816e-03      -3.125392255155e-03      -3.127468807730e-03       5.989062501848e-01       5.980179276365e-01      -2.644405921700e-09      -4.920924920573e-13      -2.734422557105e-09      -2.786082887332e-12      -5.256389677741e-12 
       5.065527352169e-05      -7.707007534754e-03      -5.796132179391e-03      -5.796134794747e-03      -7.706503503099e-03      -5.794992783104e-03      -5.798867034542e-03       5.988970542238e-01       5.980103732161e-01      -9.083253576824e-09      -1.690720957133e-12      -9.392350924910e-09      -9.578406061554e-12      -1.805525046464e-11 
       6.423703527263e-05      -1.237304636099e-02      -9.320809945063e-03      -9.320816704141e-03      -1.237174461298e-02      -9.318897744472e-03      -9.325178853443e-03       5.988849221002e-01       5.980004046624e-01      -2.346164263088e-08      -4.368597995488e-12      -2.425969612902e-08      -2.476964540574e-11      -4.663630654128e-11 
       7.798577448385e-05      -1.819787157075e-02      -1.373743313297e-02      -1.373744780321e-02      -1.819504851994e-02      -1.373446722891e-02      -1.374381869636e-02       5.988697296357e-01       5.979879173385e-01      -5.088839565530e-08      -9.479518498232e-12      -5.261844638822e-08      -5.380447725712e-11      -1.011553505484e-10 
       9.194308895719e-05      -2.522998558846e-02      -1.909428762472e-02      -1.909431593950e-02      -2.522454234169e-02      -1.908991631268e-02      -1.910307315464e-02       5.988513180879e-01       5.979727786143e-01      -9.813721738682e-08      -1.829071630957e-11      -1.014714593655e-07      -1.039460026552e-10      -1.950784661916e-10 
       1.061524099246e-04      -3.352893904449e-02      -2.545151781827e-02      -2.545156806788e-02      -3.351929054034e-02      -2.544529743804e-02      -2.546308629285e-02       5.988294891624e-01       5.979548216918e-01      -1.739913556138e-07      -3.244864254218e-11      -1.798982745821e-07      -1.846803477337e-10      -3.458675143419e-10 
       1.206594290639e-04      -4.316590360750e-02      -3.288238350719e-02      -3.288246726896e-02      -4.314984275030e-02      -3.287375245460e-02      -3.289711557557e-02       5.988040030576e-01       5.979338450992e-01      -2.896969090033e-07      -5.406678570281e-11      -2.995232431338e-07      -3.082556494787e-10      -5.758821238491e-10 
       1.355125545857e-04      -5.422431782104e-02      -4.147482420451e-02      -4.147495725171e-02      -5.419884775450e-02      -4.146307058407e-02      -4.149309490830e-02       5.987745721741e-01       5.979096064990e-01      -4.595515147335e-07      -8.583880839708e-11      -4.751230476020e-07      -4.903919441085e-10      -9.135507371612e-10 
