# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3.5
# for k=1.0515e-05 to 1011.22 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.051502443274e-05      -3.696441040179e-04      -2.772694910020e-04      -2.772694970718e-04      -3.696428514080e-04      -2.772144670664e-04      -2.773883391316e-04       5.981525576002e-01       5.973515175815e-01      -1.979321516883e-11      -3.266270632886e-15      -2.047212863536e-11      -1.704428748058e-14      -3.538764911324e-14 
       2.383305555791e-05      -1.897950024411e-03      -1.424423290835e-03      -1.424423450995e-03      -1.897916979503e-03      -1.424137275991e-03      -1.425032561445e-03       5.981489265317e-01       5.973485233068e-01      -5.221829561858e-10      -8.618074781973e-14      -5.400912297403e-10      -4.498331717030e-13      -9.335961047359e-13 
       3.720032138667e-05      -4.619494135136e-03      -3.470320742771e-03      -3.470321693078e-03      -4.619298137806e-03      -3.469609416677e-03      -3.471799503482e-03       5.981424526366e-01       5.973431843759e-01      -3.097309445997e-09      -5.112919159324e-13      -3.203504409199e-09      -2.669996399188e-12      -5.537616112855e-12 
       5.065527352169e-05      -8.553336834888e-03      -6.434586737146e-03      -6.434590002562e-03      -8.552663720615e-03      -6.433228835298e-03      -6.437313580183e-03       5.981330749621e-01       5.973354489168e-01      -1.063783468518e-08      -1.756626279158e-12      -1.100242843566e-08      -9.179309894756e-12      -1.901928820084e-11 
       6.423703527263e-05      -1.372921143739e-02      -1.034750961416e-02      -1.034751805285e-02      -1.372747318532e-02      -1.034524321853e-02      -1.035186279326e-02       5.981207040012e-01       5.973252417975e-01      -2.747333845360e-08      -4.538605013346e-12      -2.841447245875e-08      -2.373759790646e-11      -4.911974330200e-11 
       7.798577448385e-05      -2.018776472732e-02      -1.525062128458e-02      -1.525063959933e-02      -2.018399553118e-02      -1.524712815196e-02      -1.525697843287e-02       5.981052135856e-01       5.973124564228e-01      -5.957965012386e-08      -9.847839213560e-12      -6.161934544791e-08      -5.156269822048e-11      -1.065239195742e-10 
       9.194308895719e-05      -2.798090329634e-02      -2.119752290977e-02      -2.119755825636e-02      -2.797363688567e-02      -2.119241000817e-02      -2.120626016749e-02       5.980864423577e-01       5.972969568167e-01      -1.148744571068e-07      -1.899981575236e-11      -1.188041977996e-07      -9.961512905205e-11      -2.053895077464e-10 
       1.061524099246e-04      -3.717223165791e-02      -2.825497935866e-02      -2.825504208245e-02      -3.715935387289e-02      -2.824775660286e-02      -2.826646968984e-02       5.980641893221e-01       5.972785729683e-01      -2.036157057262e-07      -3.370328185920e-11      -2.105749365921e-07      -1.769858465247e-10      -3.640597542231e-10 
       1.206594290639e-04      -4.783756442098e-02      -3.650431426351e-02      -3.650441880887e-02      -4.781613276717e-02      -3.649436720124e-02      -3.651892468304e-02       5.980382109419e-01       5.972570989557e-01      -3.389248385218e-07      -5.615086041692e-11      -3.504965516670e-07      -2.954127948090e-10      -6.059999342117e-10 
       1.355125545857e-04      -6.006548371174e-02      -4.604314635819e-02      -4.604331240012e-02      -6.003150491159e-02      -4.602970222105e-02      -4.606123369946e-02       5.980082156661e-01       5.972322874770e-01      -5.374652009064e-07      -8.913543680836e-11      -5.557930424095e-07      -4.699612497429e-10      -9.610110759089e-10 
