# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367598984123e-10       4.938862406184e-15       3.763028598210e-13       0.000000000000e+00       8.045652433024e-09       4.495515995117e-10      -1.995554934120e-12 
    3       1.295405994025e-10       7.147313743106e-15       4.447068492548e-13       0.000000000000e+00       4.960565362739e-09       3.184035727431e-10      -1.621363366969e-12 
    4       1.225410250528e-10       7.036007147292e-15       4.342996867780e-13       0.000000000000e+00       3.442171408275e-09       2.408197910958e-10      -1.166288096957e-12 
    5       1.172127797125e-10       5.382628727148e-15       3.848452573402e-13       0.000000000000e+00       2.561711602027e-09       1.899772211502e-10      -7.487638257572e-13 
    6       1.134784721278e-10       3.395590882529e-15       3.210432138522e-13       0.000000000000e+00       1.995318651155e-09       1.542762952799e-10      -4.076853203363e-13 
    7       1.110001877773e-10       1.895933075583e-15       2.584468015598e-13       0.000000000000e+00       1.605995136052e-09       1.280248979725e-10      -1.565033181222e-13 
    8       1.095366345785e-10       1.089346618856e-15       2.051834600068e-13       0.000000000000e+00       1.324570838690e-09       1.081271291677e-10       6.527700532341e-15 
    9       1.088371935950e-10       7.784772605497e-16       1.648281364437e-13       0.000000000000e+00       1.113200255894e-09       9.269748694004e-11       9.274635104425e-14 
   10       1.086698065355e-10       6.761969549168e-16       1.379999944123e-13       0.000000000000e+00       9.498011022285e-10       8.046357461128e-11       1.192786664166e-13 
   11       1.089550130992e-10       6.021774077808e-16       1.232676378544e-13       0.000000000000e+00       8.014619195110e-10       7.102266714738e-11       1.056508243158e-13 
