# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367603276085e-10       4.939054113311e-15       3.763028561606e-13       1.917070584816e-19       8.045652433024e-09       4.495515995117e-10      -1.995554934120e-12 
    3       1.295414556820e-10       7.147697252991e-15       4.447068329458e-13       3.835092098602e-19       4.960565362739e-09       3.184035727431e-10      -1.621363366969e-12 
    4       1.225424475482e-10       7.036646541994e-15       4.342996399303e-13       6.393913818029e-19       3.442171408275e-09       2.408197910958e-10      -1.166288096957e-12 
    5       1.172149048989e-10       5.383588213523e-15       3.848451506561e-13       9.594749855233e-19       2.561711602027e-09       1.899772211502e-10      -7.487638257572e-13 
    6       1.134814332908e-10       3.396934820934e-15       3.210430041693e-13       1.343907280096e-18       1.995318651155e-09       1.542762952799e-10      -4.076853203363e-13 
    7       1.110041145631e-10       1.897726006749e-15       2.584464296310e-13       1.792858562878e-18       1.605995136052e-09       1.280248979725e-10      -1.565033181222e-13 
    8       1.095416526344e-10       1.091653288396e-15       2.051828485507e-13       2.306518983377e-18       1.324570838690e-09       1.081271291677e-10       6.527700532341e-15 
    9       1.088434243073e-10       7.813626405419e-16       1.648271884829e-13       2.885095071395e-18       1.113200255894e-09       9.269748694004e-11       9.274635104425e-14 
   10       1.086773668687e-10       6.797262619416e-16       1.379985919139e-13       3.528806077340e-18       9.498011022285e-10       8.046357461128e-11       1.192786664166e-13 
   11       1.089640155343e-10       6.064161167836e-16       1.232656406724e-13       4.237880226527e-18       8.014619195110e-10       7.102266714738e-11       1.056508243158e-13 
   12       1.096026208871e-10       5.188322553530e-16       1.180514470875e-13       5.012550989829e-18       6.991251384376e-10       6.258364191846e-11       7.028673002164e-14 
   13       1.104506163312e-10       4.455039538476e-16       1.195660828745e-13       5.853053470390e-18       6.151978336110e-10       5.578910747733e-11       2.906429231998e-14 
   14       1.115641325896e-10       4.138576541423e-16       1.252234786970e-13       6.759621000207e-18       5.454509262786e-10       5.001296910708e-11      -7.398657939334e-15 
