# Matter power spectrum P(k) at redshift z=5.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.705840391167e+00 
       2.373043761528e-05       3.819779341660e+00 
       3.705205197341e-05       5.917680651429e+00 
       5.046040160262e-05       8.013660359392e+00 
       6.399420676399e-05       1.011736422995e+01 
       7.769321405898e-05       1.223695022755e+01 
       9.159857522556e-05       1.437998495754e+01 
       1.057532435558e-04       1.655384186630e+01 
       1.202023933008e-04       1.876592719615e+01 
       1.349938674647e-04       2.102383468455e+01 
       1.501786593808e-04       2.333546733958e+01 
       1.658114333596e-04       2.570914437602e+01 
       1.819510894196e-04       2.815370170239e+01 
       1.986613765579e-04       3.067859129862e+01 
       2.160115580438e-04       3.329398200069e+01 
       2.340771306401e-04       3.601086300580e+01 
       2.529405972213e-04       3.884115058903e+01 
       2.726922886571e-04       4.179779790474e+01 
       2.934312256600e-04       4.489490550083e+01 
       3.152660040981e-04       4.814783015570e+01 
       3.383156775180e-04       5.157328742922e+01 
       3.627105977775e-04       5.518944106807e+01 
       3.885931583209e-04       5.901596996923e+01 
       4.161183645581e-04       6.307410096831e+01 
       4.454541324261e-04       6.738659101019e+01 
       4.767811907995e-04       7.197764076472e+01 
       5.102924387431e-04       7.687271522281e+01 
       5.461915893473e-04       8.209824879062e+01 
       5.846909251320e-04       8.768120889104e+01 
       6.260080050474e-04       9.364849970141e+01 
       6.703612104985e-04       1.000261918936e+02 
       7.179641068864e-04       1.068385861112e+02 
       7.690187318622e-04       1.141071343841e+02 
       8.237080952403e-04       1.218492782596e+02 
       8.821883665213e-04       1.300772842149e+02 
       9.445813962622e-04       1.387971870356e+02 
       1.010968318642e-03       1.480079625795e+02 
       1.081384969221e-03       1.577010388756e+02 
       1.155819700313e-03       1.678602278145e+02 
       1.234213899658e-03       1.784621096963e+02 
       1.316465168833e-03       1.894768369001e+02 
       1.402432774394e-03       2.008692747908e+02 
       1.491944724558e-03       2.126003614347e+02 
       1.584805697329e-03       2.246285343015e+02 
       1.680805061300e-03       2.369111018695e+02 
       1.779724358910e-03       2.494054710922e+02 
       1.881343813733e-03       2.620701494960e+02 
       1.985447627100e-03       2.748655025575e+02 
       2.091828006459e-03       2.877542873430e+02 
       2.200287998256e-03       3.007019658544e+02 
       2.310643277916e-03       3.136764452581e+02 
       2.422723085604e-03       3.266492811466e+02 
       2.536370500476e-03       3.395945662728e+02 
       2.651442230081e-03       3.524890369303e+02 
       2.767808065318e-03       3.653119757728e+02 
       2.885350122018e-03       3.780450753301e+02 
