# Matter power spectrum P(k) at redshift z=5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.001581121730e+00 
       2.373043761528e-05       4.482011802650e+00 
       3.705205197341e-05       6.943622447616e+00 
       5.046040160262e-05       9.402975263515e+00 
       6.399420676399e-05       1.187138712145e+01 
       7.769321405898e-05       1.435842899670e+01 
       9.159857522556e-05       1.687297795034e+01 
       1.057532435558e-04       1.942368411187e+01 
       1.202023933008e-04       2.201923591408e+01 
       1.349938674647e-04       2.466854149904e+01 
       1.501786593808e-04       2.738087154296e+01 
       1.658114333596e-04       3.016598468629e+01 
       1.819510894196e-04       3.303424526258e+01 
       1.986613765579e-04       3.599673986965e+01 
       2.160115580438e-04       3.906539546561e+01 
       2.340771306401e-04       4.225310060498e+01 
       2.529405972213e-04       4.557383049423e+01 
       2.726922886571e-04       4.904277553712e+01 
       2.934312256600e-04       5.267647072734e+01 
       3.152660040981e-04       5.649292293938e+01 
       3.383156775180e-04       6.051173082649e+01 
       3.627105977775e-04       6.475418913512e+01 
       3.885931583209e-04       6.924336667775e+01 
       4.161183645581e-04       7.400414403986e+01 
       4.454541324261e-04       7.906319182025e+01 
       4.767811907995e-04       8.444886823009e+01 
       5.102924387431e-04       9.019100772062e+01 
       5.461915893473e-04       9.632057385809e+01 
       5.846909251320e-04       1.028691465812e+02 
       6.260080050474e-04       1.098682217648e+02 
       6.703612104985e-04       1.173483077398e+02 
       7.179641068864e-04       1.253378269077e+02 
       7.690187318622e-04       1.338618523854e+02 
       8.237080952403e-04       1.429407479833e+02 
       8.821883665213e-04       1.525888071124e+02 
       9.445813962622e-04       1.628130195281e+02 
       1.010968318642e-03       1.736121092670e+02 
       1.081384969221e-03       1.849759697341e+02 
       1.155819700313e-03       1.968855920644e+02 
       1.234213899658e-03       2.093135227638e+02 
       1.316465168833e-03       2.222248095974e+02 
       1.402432774394e-03       2.355783387287e+02 
       1.491944724558e-03       2.493284227133e+02 
       1.584805697329e-03       2.634264629033e+02 
       1.680805061300e-03       2.778225431944e+02 
       1.779724358910e-03       2.924668533207e+02 
       1.881343813733e-03       3.073108494338e+02 
       1.985447627100e-03       3.223081311354e+02 
       2.091828006459e-03       3.374150612713e+02 
       2.200287998256e-03       3.525911345999e+02 
       2.310643277916e-03       3.677986798254e+02 
       2.422723085604e-03       3.830042816646e+02 
       2.536370500476e-03       3.981774903193e+02 
       2.651442230081e-03       4.132909704908e+02 
       2.767808065318e-03       4.283203641203e+02 
       2.885350122018e-03       4.432441906856e+02 
       3.003961962113e-03       4.580435084808e+02 
       3.123547662764e-03       4.727018242689e+02 
       3.244020881646e-03       4.872048052927e+02 
       3.365303950641e-03       5.015400794038e+02 
       3.487327018288e-03       5.156970391398e+02 
       3.610027252458e-03       5.296666312524e+02 
       3.733348108622e-03       5.434412741694e+02 
       3.857238664757e-03       5.570145098222e+02 
       3.981653021215e-03       5.703809891169e+02 
       4.106549762154e-03       5.835364132231e+02 
       4.231891474164e-03       5.964771595520e+02 
       4.357644317282e-03       6.092006129852e+02 
