# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.380897821602e+00 
       2.373043761528e-05       5.331389747342e+00 
       3.705205197341e-05       8.259491571436e+00 
       5.046040160262e-05       1.118490217806e+01 
       6.399420676399e-05       1.412108091825e+01 
       7.769321405898e-05       1.707941022893e+01 
       9.159857522556e-05       2.007044693284e+01 
       1.057532435558e-04       2.310447750340e+01 
       1.202023933008e-04       2.619183361339e+01 
       1.349938674647e-04       2.934310775115e+01 
       1.501786593808e-04       3.256932301276e+01 
       1.658114333596e-04       3.588208213883e+01 
       1.819510894196e-04       3.929370738715e+01 
       1.986613765579e-04       4.281737898926e+01 
       2.160115580438e-04       4.646727530969e+01 
       2.340771306401e-04       5.025871680949e+01 
       2.529405972213e-04       5.420831436035e+01 
       2.726922886571e-04       5.833412167912e+01 
       2.934312256600e-04       6.265578859933e+01 
       3.152660040981e-04       6.719471185710e+01 
       3.383156775180e-04       7.197417672103e+01 
       3.627105977775e-04       7.701948005405e+01 
       3.885931583209e-04       8.235802177564e+01 
       4.161183645581e-04       8.801934819681e+01 
       4.454541324261e-04       9.403512438039e+01 
       4.767811907995e-04       1.004390102054e+02 
       5.102924387431e-04       1.072664068215e+02 
       5.461915893473e-04       1.145540412115e+02 
       5.846909251320e-04       1.223393540455e+02 
       6.260080050474e-04       1.306596641056e+02 
       6.703612104985e-04       1.395510921967e+02 
       7.179641068864e-04       1.490472537362e+02 
       7.690187318622e-04       1.591777571251e+02 
       8.237080952403e-04       1.699665884762e+02 
       8.821883665213e-04       1.814304983113e+02 
       9.445813962622e-04       1.935775419509e+02 
       1.010968318642e-03       2.064059454829e+02 
       1.081384969221e-03       2.199034449207e+02 
       1.155819700313e-03       2.340472122653e+02 
       1.234213899658e-03       2.488044087568e+02 
       1.316465168833e-03       2.641333150565e+02 
       1.402432774394e-03       2.799849212948e+02 
       1.491944724558e-03       2.963048089315e+02 
       1.584805697329e-03       3.130351164925e+02 
       1.680805061300e-03       3.301164196241e+02 
       1.779724358910e-03       3.474894085812e+02 
       1.881343813733e-03       3.650962560531e+02 
       1.985447627100e-03       3.828816535672e+02 
