# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.877986762433e+00 
       2.373043761528e-05       6.444487312379e+00 
       3.705205197341e-05       9.983919822719e+00 
       5.046040160262e-05       1.352009411111e+01 
       6.399420676399e-05       1.706927757050e+01 
       7.769321405898e-05       2.064522696499e+01 
       9.159857522556e-05       2.426070082186e+01 
       1.057532435558e-04       2.792813054230e+01 
       1.202023933008e-04       3.166000185264e+01 
       1.349938674647e-04       3.546911523131e+01 
       1.501786593808e-04       3.936879111958e+01 
       1.658114333596e-04       4.337304987393e+01 
       1.819510894196e-04       4.749678076665e+01 
       1.986613765579e-04       5.175590911367e+01 
       2.160115580438e-04       5.616756545128e+01 
       2.340771306401e-04       6.075025928584e+01 
       2.529405972213e-04       6.552405810147e+01 
       2.726922886571e-04       7.051077110222e+01 
       2.934312256600e-04       7.573413406760e+01 
       3.152660040981e-04       8.121999098002e+01 
       3.383156775180e-04       8.699646455620e+01 
       3.627105977775e-04       9.309410408831e+01 
       3.885931583209e-04       9.954599512359e+01 
       4.161183645581e-04       1.063878106462e+02 
       4.454541324261e-04       1.136577765645e+02 
       4.767811907995e-04       1.213965203844e+02 
       5.102924387431e-04       1.296467636712e+02 
       5.461915893473e-04       1.384528185241e+02 
       5.846909251320e-04       1.478598470923e+02 
       6.260080050474e-04       1.579128511716e+02 
       6.703612104985e-04       1.686553726345e+02 
       7.179641068864e-04       1.801279154345e+02 
       7.690187318622e-04       1.923661351874e+02 
       8.237080952403e-04       2.053988933689e+02 
       8.821883665213e-04       2.192463171060e+02 
       9.445813962622e-04       2.339180463101e+02 
       1.010968318642e-03       2.494118762847e+02 
       1.081384969221e-03       2.657129716149e+02 
       1.155819700313e-03       2.827937870461e+02 
       1.234213899658e-03       3.006147412621e+02 
       1.316465168833e-03       3.191255806624e+02 
       1.402432774394e-03       3.382672904276e+02 
       1.491944724558e-03       3.579743498646e+02 
       1.584805697329e-03       3.781770836750e+02 
       1.680805061300e-03       3.988039070868e+02 
       1.779724358910e-03       4.197833290168e+02 
       1.881343813733e-03       4.410455883620e+02 
       1.985447627100e-03       4.625239002901e+02 
       2.091828006459e-03       4.841553539913e+02 
       2.200287998256e-03       5.058814673483e+02 
       2.310643277916e-03       5.276478032873e+02 
       2.422723085604e-03       5.494060502712e+02 
       2.536370500476e-03       5.711122204503e+02 
       2.651442230081e-03       5.927268885887e+02 
       2.767808065318e-03       6.142149921454e+02 
       2.885350122018e-03       6.355457418205e+02 
       3.003961962113e-03       6.566920486138e+02 
       3.123547662764e-03       6.776304023807e+02 
       3.244020881646e-03       6.983404208943e+02 
       3.365303950641e-03       7.188045373741e+02 
       3.487327018288e-03       7.390077022886e+02 
       3.610027252458e-03       7.589370762491e+02 
       3.733348108622e-03       7.785819169595e+02 
       3.857238664757e-03       7.979330911885e+02 
       3.981653021215e-03       8.169830703518e+02 
       4.106549762154e-03       8.357258547274e+02 
       4.231891474164e-03       8.541564476995e+02 
       4.357644317282e-03       8.722713265319e+02 
       4.483777643502e-03       8.900675860786e+02 
       4.610263657980e-03       9.075435908471e+02 
       4.737077118433e-03       9.246981194386e+02 
       4.864195068510e-03       9.415308536124e+02 
       4.991596601329e-03       9.580421276737e+02 
       5.119262649698e-03       9.742324483088e+02 
       5.247175799933e-03       9.901032382319e+02 
       5.375320126495e-03       1.005655785188e+03 
       5.503681045008e-03       1.020892047441e+03 
       5.632245181484e-03       1.035814457486e+03 
       5.761000255846e-03       1.050425236133e+03 
       5.889934978076e-03       1.064727096706e+03 
       6.019038955502e-03       1.078722899407e+03 
       6.148302609931e-03       1.092415556428e+03 
       6.277717103485e-03       1.105808383446e+03 
       6.407274272154e-03       1.118904858721e+03 
       6.536966566162e-03       1.131707856386e+03 
       6.666786996400e-03       1.144221096869e+03 
       6.796729086234e-03       1.156448064042e+03 
       6.926786828089e-03       1.168392193390e+03 
       7.056954644300e-03       1.180057304329e+03 
       7.187227351743e-03       1.191446868034e+03 
       7.317600129859e-03       1.202564420549e+03 
       7.448068491705e-03       1.213413703407e+03 
       7.578628257697e-03       1.223998546837e+03 
       7.709275531791e-03       1.234322043029e+03 
       7.840006679834e-03       1.244388675415e+03 
       7.970818309857e-03       1.254201649916e+03 
       8.101707254141e-03       1.263764033921e+03 
       8.232670552846e-03       1.273080130534e+03 
       8.363705439076e-03       1.282153311860e+03 
       8.494809325229e-03       1.290986216409e+03 
       8.625979790500e-03       1.299583052273e+03 
       8.757214569446e-03       1.307947209981e+03 
       8.888511541496e-03       1.316081913763e+03 
       9.019868721331e-03       1.323990260558e+03 
       9.151284250039e-03       1.331675996075e+03 
       9.282756386994e-03       1.339141908154e+03 
       9.414283502372e-03       1.346391511668e+03 
       9.545864070270e-03       1.353427610449e+03 
       9.677496662351e-03       1.360253467063e+03 
       9.809179941995e-03       1.366874000492e+03 
       9.940912658886e-03       1.373289299928e+03 
       1.007269364402e-02       1.379502885110e+03 
       1.020452180510e-02       1.385518199163e+03 
       1.033639612222e-02       1.391337863047e+03 
       1.046831564399e-02       1.396965212454e+03 
       1.060027948378e-02       1.402402030506e+03 
       1.073228681639e-02       1.407651892320e+03 
       1.086433687490e-02       1.412717311545e+03 
       1.099642894770e-02       1.417600806455e+03 
       1.112856237583e-02       1.422305221355e+03 
       1.126073655044e-02       1.426832672322e+03 
       1.139295091047e-02       1.431186562927e+03 
       1.152520494046e-02       1.435368586637e+03 
       1.165749816853e-02       1.439380953186e+03 
       1.178983016452e-02       1.443227458091e+03 
       1.192220053825e-02       1.446909028378e+03 
       1.205460893787e-02       1.450428450847e+03 
       1.218705504840e-02       1.453788535766e+03 
       1.231953859028e-02       1.456991685080e+03 
       1.245205931810e-02       1.460038341938e+03 
       1.258461701939e-02       1.462933150749e+03 
       1.271721151347e-02       1.465676836832e+03 
       1.284984265044e-02       1.468271943244e+03 
