# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368253333067e-10       4.941541826748e-15       3.765441028882e-13       0.000000000000e+00       8.047559503581e-09       4.496291658680e-10      -1.996606022608e-12 
    3       1.295969186335e-10       7.150720208136e-15       4.449539818143e-13       0.000000000000e+00       4.961576812018e-09       3.184552120651e-10      -1.622114738262e-12 
    4       1.225899966110e-10       7.039070690597e-15       4.345169565785e-13       0.000000000000e+00       3.442800887818e-09       2.408563378652e-10      -1.166783078970e-12 
    5       1.172561694924e-10       5.384817006754e-15       3.850220309346e-13       0.000000000000e+00       2.562140867282e-09       1.900042124069e-10      -7.490624175945e-13 
    6       1.135176092949e-10       3.396896657092e-15       3.211801374992e-13       0.000000000000e+00       1.995628897356e-09       1.542968767671e-10      -4.078426197013e-13 
    7       1.110360214745e-10       1.896624685393e-15       2.585498474876e-13       0.000000000000e+00       1.606228770057e-09       1.280409846882e-10      -1.565664948125e-13 
    8       1.095698601146e-10       1.089717449321e-15       2.052602254468e-13       0.000000000000e+00       1.324752278174e-09       1.081399724791e-10       6.520788837558e-15 
    9       1.088683147054e-10       7.787192935769e-16       1.648860630776e-13       0.000000000000e+00       1.113344581202e-09       9.270794002262e-11       9.276730312685e-14 
   10       1.086991850554e-10       6.763913139810e-16       1.380455246829e-13       0.000000000000e+00       9.499181404519e-10       8.047222667516e-11       1.193079616011e-13 
   11       1.089829365397e-10       6.023412308664e-16       1.233058352382e-13       0.000000000000e+00       8.015577470404e-10       7.103033554538e-11       1.056769253632e-13 
   12       1.096187540550e-10       5.139519433335e-16       1.180886947839e-13       0.000000000000e+00       6.992052058037e-10       6.259008417559e-11       7.030371541609e-14 
   13       1.104640170489e-10       4.397579219333e-16       1.196029479234e-13       0.000000000000e+00       6.152654778900e-10       5.579464188829e-11       2.907110517893e-14 
   14       1.115748457004e-10       4.071914126487e-16       1.252615594909e-13       0.000000000000e+00       5.455086278004e-10       5.001775286977e-11      -7.400461960465e-15 
   15       1.128319865832e-10       4.143200883452e-16       1.328854188726e-13       0.000000000000e+00       4.868547022968e-10       4.505211820756e-11      -3.279365330639e-14 
   16       1.142259190103e-10       4.416896642746e-16       1.409961639458e-13       0.000000000000e+00       4.370383329160e-10       4.081948074159e-11      -4.503401297898e-14 
   17       1.157371313690e-10       4.747524600973e-16       1.488204023199e-13       0.000000000000e+00       3.943508344184e-10       3.716561003124e-11      -4.553385505573e-14 
   18       1.173456474270e-10       5.141970502642e-16       1.561146477053e-13       0.000000000000e+00       3.573415554879e-10       3.396091384693e-11      -3.788569174656e-14 
   19       1.190656213560e-10       5.690212914780e-16       1.630375929321e-13       0.000000000000e+00       3.254108044477e-10       3.115550913385e-11      -2.584535033778e-14 
   20       1.208634547741e-10       6.495368674073e-16       1.698980261708e-13       0.000000000000e+00       2.973188216055e-10       2.865184917659e-11      -1.385969131183e-14 
   21       1.227294238051e-10       7.568181976596e-16       1.770244548845e-13       0.000000000000e+00       2.726168821161e-10       2.642776987455e-11      -4.460051844904e-15 
   22       1.246342642109e-10       8.878672683800e-16       1.847205964647e-13       0.000000000000e+00       2.507065516102e-10       2.444963275779e-11       5.878740010806e-16 
   23       1.265946323827e-10       1.040307009633e-15       1.929726306279e-13       0.000000000000e+00       2.312813146906e-10       2.269173137047e-11       1.251635314301e-15 
   24       1.286187251449e-10       1.211797565417e-15       2.015958779318e-13       0.000000000000e+00       2.138869706351e-10       2.110952989452e-11      -1.575453745483e-15 
   25       1.306973659737e-10       1.403021151571e-15       2.103104489340e-13       0.000000000000e+00       1.983149480366e-10       1.968626071840e-11      -6.449655069189e-15 
   26       1.328042999891e-10       1.615159958560e-15       2.187454732752e-13       0.000000000000e+00       1.842794522610e-10       1.840012947194e-11      -1.155896019323e-14 
   27       1.349508222401e-10       1.847201402054e-15       2.265273579600e-13       0.000000000000e+00       1.716092381834e-10       1.723876716083e-11      -1.567558954662e-14 
   28       1.371488541293e-10       2.097646409305e-15       2.332805106298e-13       0.000000000000e+00       1.600830494552e-10       1.618413275616e-11      -1.781950901767e-14 
   29       1.394027101609e-10       2.367608351547e-15       2.388420026590e-13       0.000000000000e+00       1.496400883328e-10       1.522804728574e-11      -1.793758883992e-14 
   30       1.417003928930e-10       2.659248417836e-15       2.431175082469e-13       0.000000000000e+00       1.401662018103e-10       1.435494910254e-11      -1.636875219836e-14 
   31       1.440199385791e-10       2.974929821272e-15       2.460482134462e-13       0.000000000000e+00       1.314657050020e-10       1.354220742273e-11      -1.362275068159e-14 
   32       1.463672254008e-10       3.316491566937e-15       2.477036469538e-13       0.000000000000e+00       1.234923371552e-10       1.278818670153e-11      -1.036558736707e-14 
   33       1.487498462446e-10       3.685726473451e-15       2.482295935199e-13       0.000000000000e+00       1.161885381310e-10       1.209328690664e-11      -7.454787780839e-15 
   34       1.511680919184e-10       4.084298930790e-15       2.477841568601e-13       0.000000000000e+00       1.094506610148e-10       1.145354430545e-11      -5.727250742850e-15 
   35       1.536217417131e-10       4.512776967029e-15       2.463845576251e-13       0.000000000000e+00       1.032431888371e-10       1.086579890656e-11      -5.196460066870e-15 
   36       1.561038856547e-10       4.971241671397e-15       2.440081690622e-13       0.000000000000e+00       9.751522767462e-11       1.032345880039e-11      -5.571047418311e-15 
   37       1.586038966902e-10       5.459728209840e-15       2.406146263654e-13       0.000000000000e+00       9.219098410704e-11       9.817469459453e-12      -6.498556517763e-15 
   38       1.611271424102e-10       5.978928249620e-15       2.360841125098e-13       0.000000000000e+00       8.725608778681e-11       9.345943424777e-12      -7.702915754383e-15 
   39       1.636806632906e-10       6.529707453243e-15       2.302565690353e-13       0.000000000000e+00       8.269438014742e-11       8.907171381319e-12      -8.883131090619e-15 
   40       1.662672669857e-10       7.112915990827e-15       2.229459493606e-13       0.000000000000e+00       7.846168095279e-11       8.496742806661e-12      -9.671026182290e-15 
   41       1.688863563747e-10       7.729346101193e-15       2.139801494969e-13       0.000000000000e+00       7.450104401802e-11       8.109213256498e-12      -9.738825390641e-15 
   42       1.715379209417e-10       8.379590887469e-15       2.033406632916e-13       0.000000000000e+00       7.080036255968e-11       7.744324510980e-12      -9.174166766211e-15 
   43       1.742190163928e-10       9.064137644757e-15       1.910654282570e-13       0.000000000000e+00       6.734940960963e-11       7.402413335758e-12      -8.220066309541e-15 
   44       1.769221625621e-10       9.783401295012e-15       1.772121457489e-13       0.000000000000e+00       6.412255983671e-11       7.082581161569e-12      -7.177055509249e-15 
   45       1.796390280350e-10       1.053775418873e-14       1.618411602873e-13       0.000000000000e+00       6.108784175144e-11       6.783192469991e-12      -6.338560464482e-15 
   46       1.823737437781e-10       1.132763552387e-14       1.449553798380e-13       0.000000000000e+00       5.824020385072e-11       6.503793890376e-12      -5.765828303340e-15 
   47       1.851328867680e-10       1.215346786114e-14       1.265442810166e-13       0.000000000000e+00       5.557611310699e-11       6.243591073282e-12      -5.451612470341e-15 
   48       1.879215775249e-10       1.301562419195e-14       1.066006375933e-13       0.000000000000e+00       5.308352801825e-11       6.000827639732e-12      -5.381979102548e-15 
   49       1.907433139233e-10       1.391442589975e-14       8.512057990422e-14       0.000000000000e+00       5.074126722297e-11       5.772715399057e-12      -5.535854070987e-15 
   50       1.935999376814e-10       1.485014103962e-14       6.209669850308e-14       0.000000000000e+00       4.852533884048e-11       5.556196216857e-12      -5.881321475218e-15 
   51       1.964919086657e-10       1.582298335647e-14       3.749501044847e-14       0.000000000000e+00       4.643141869421e-11       5.350633311254e-12      -6.364385509205e-15 
   52       1.994178177743e-10       1.683310947631e-14       1.127184347179e-14       0.000000000000e+00       4.445738216025e-11       5.155729855838e-12      -6.916375164296e-15 
   53       2.023741046133e-10       1.788061658897e-14      -1.662001627532e-14       0.000000000000e+00       4.259658010035e-11       4.970731259036e-12      -7.456334704596e-15 
   54       2.053548975510e-10       1.896554042438e-14      -4.623159213950e-14       0.000000000000e+00       4.083753504038e-11       4.794394518427e-12      -7.890417835586e-15 
   55       2.083542506007e-10       2.008787044324e-14      -7.760952323304e-14       0.000000000000e+00       3.916740872458e-11       4.625391115782e-12      -8.137230923463e-15 
   56       2.113738712191e-10       2.124760446430e-14      -1.107684858280e-13       0.000000000000e+00       3.758410954881e-11       4.463703114487e-12      -8.212623130637e-15 
   57       2.144170321010e-10       2.244470406302e-14      -1.457123901247e-13       0.000000000000e+00       3.608666070644e-11       4.309520204366e-12      -8.164898808940e-15 
   58       2.174862774330e-10       2.367907722250e-14      -1.824421812372e-13       0.000000000000e+00       3.467153886280e-11       4.162823092133e-12      -8.051110273108e-15 
   59       2.205833563301e-10       2.495057698051e-14      -2.209557774371e-13       0.000000000000e+00       3.333251727046e-11       4.023369746907e-12      -7.937462971382e-15 
   60       2.237091562730e-10       2.625900007643e-14      -2.612480083974e-13       0.000000000000e+00       3.206050888438e-11       3.890681645722e-12      -7.899720656113e-15 
   61       2.268641190995e-10       2.760408802831e-14      -3.033114527128e-13       0.000000000000e+00       3.084607043410e-11       3.764201791124e-12      -8.004167592023e-15 
   62       2.300497486786e-10       2.898553370744e-14      -3.471393098493e-13       0.000000000000e+00       2.968792636561e-11       3.643841327931e-12      -8.244585046389e-15 
   63       2.332673250727e-10       3.040297384527e-14      -3.927230661804e-13       0.000000000000e+00       2.858608850223e-11       3.529531771265e-12      -8.591783098490e-15 
   64       2.365174016081e-10       3.185598548288e-14      -4.400516200305e-13       0.000000000000e+00       2.753929290050e-11       3.421055921402e-12      -9.011587759233e-15 
   65       2.397997536232e-10       3.334408469510e-14      -4.891112484512e-13       0.000000000000e+00       2.654492739556e-11       3.318039559482e-12      -9.464629231259e-15 
   66       2.431133272159e-10       3.486672531459e-14      -5.398855739992e-13       0.000000000000e+00       2.559895914652e-11       3.219943143216e-12      -9.906130169053e-15 
   67       2.464561879923e-10       3.642329765589e-14      -5.923555315129e-13       0.000000000000e+00       2.469586218178e-11       3.126053502594e-12      -1.028569393906e-14 
   68       2.498264064495e-10       3.801310066430e-14      -6.465006408710e-13       0.000000000000e+00       2.383008230951e-11       3.035670225291e-12      -1.055848088668e-14 
   69       2.532250370149e-10       3.963525466134e-14      -7.023031990029e-13       0.000000000000e+00       2.300093849106e-11       2.948727230804e-12      -1.072184014812e-14 
   70       2.566536533408e-10       4.128876854587e-14      -7.597448815098e-13       0.000000000000e+00       2.220858901730e-11       2.865282804090e-12      -1.078575413313e-14 
   71       2.601134382707e-10       4.297256288444e-14      -8.188055120136e-13       0.000000000000e+00       2.145254947510e-11       2.785332784226e-12      -1.076218535169e-14 
   72       2.636051565416e-10       4.468546795571e-14      -8.794630623354e-13       0.000000000000e+00       2.073165961140e-11       2.708807239396e-12      -1.066515592749e-14 
   73       2.671291274876e-10       4.642622179485e-14      -9.416936526734e-13       0.000000000000e+00       2.004405019745e-11       2.635567141872e-12      -1.051082711138e-14 
   74       2.706851977417e-10       4.819346823797e-14      -1.005471551781e-12       0.000000000000e+00       1.938710989297e-11       2.565401043000e-12      -1.031757879491e-14 
   75       2.742727139399e-10       4.998575496647e-14      -1.070769177146e-12       0.000000000000e+00       1.875745211026e-11       2.498021748187e-12      -1.010608902377e-14 
   76       2.778909293834e-10       5.180163942579e-14      -1.137556411863e-12       0.000000000000e+00       1.815174972908e-11       2.433139616653e-12      -9.895357182519e-15 
   77       2.815403699843e-10       5.364003320291e-14      -1.205798411043e-12       0.000000000000e+00       1.756948821824e-11       2.370705242262e-12      -9.689760557828e-15 
   78       2.852216689708e-10       5.549991718656e-14      -1.275457393862e-12       0.000000000000e+00       1.701065669038e-11       2.310705191437e-12      -9.489770971085e-15 
   79       2.889351369234e-10       5.738023951642e-14      -1.346493277759e-12       0.000000000000e+00       1.647490949799e-11       2.253087578943e-12      -9.295798110289e-15 
   80       2.926807433764e-10       5.927991583956e-14      -1.418863664615e-12       0.000000000000e+00       1.596155089358e-11       2.197760314128e-12      -9.108185865215e-15 
   81       2.964580984197e-10       6.119782956690e-14      -1.492523826909e-12       0.000000000000e+00       1.546951968978e-11       2.144589347155e-12      -8.927208662599e-15 
   82       3.002664342999e-10       6.313283212966e-14      -1.567426693888e-12       0.000000000000e+00       1.499737391953e-11       2.093396915246e-12      -8.753067801307e-15 
   83       3.041045870225e-10       6.508374323583e-14      -1.643522837737e-12       0.000000000000e+00       1.454327549621e-11       2.043959788916e-12      -8.585887787515e-15 
   84       3.079714440984e-10       6.704930515445e-14      -1.720761988923e-12       0.000000000000e+00       1.410543344073e-11       1.996064187227e-12      -8.425788183838e-15 
   85       3.118674133728e-10       6.902803629893e-14      -1.799097901194e-12       0.000000000000e+00       1.368355158864e-11       1.949684825180e-12      -8.273120869971e-15 
   86       3.157931650968e-10       7.101835372832e-14      -1.878484271481e-12       0.000000000000e+00       1.327759387322e-11       1.904832471158e-12      -8.128265578439e-15 
   87       3.197491770233e-10       7.301861645272e-14      -1.958873294115e-12       0.000000000000e+00       1.288733957685e-11       1.861499127472e-12      -7.991555517413e-15 
   88       3.237357238431e-10       7.502712491714e-14      -2.040215672698e-12       0.000000000000e+00       1.251237569814e-11       1.819657229020e-12      -7.863274975024e-15 
   89       3.277528666208e-10       7.704212048528e-14      -2.122460631965e-12       0.000000000000e+00       1.215208931908e-11       1.779258841943e-12      -7.743656923682e-15 
   90       3.318004422305e-10       7.906178492337e-14      -2.205555929653e-12       0.000000000000e+00       1.180565997224e-11       1.740234862283e-12      -7.632880624395e-15 
   91       3.358780527920e-10       8.108423988397e-14      -2.289447868369e-12       0.000000000000e+00       1.147205200785e-11       1.702494214644e-12      -7.531069231090e-15 
   92       3.399850551068e-10       8.310754638980e-14      -2.374081307456e-12       0.000000000000e+00       1.115000696101e-11       1.665923050846e-12      -7.438287394924e-15 
   93       3.441207943067e-10       8.512977070053e-14      -2.459399760437e-12       0.000000000000e+00       1.083834004473e-11       1.630413022968e-12      -7.354448389916e-15 
   94       3.482853679436e-10       8.714919436642e-14      -2.545345678342e-12       0.000000000000e+00       1.053689721743e-11       1.595952707206e-12      -7.279024714944e-15 
   95       3.524789578217e-10       8.916413495937e-14      -2.631860231129e-12       0.000000000000e+00       1.024572861588e-11       1.562548512547e-12      -7.211289334360e-15 
   96       3.567015889091e-10       9.117288289462e-14      -2.718883238779e-12       0.000000000000e+00       9.964793843064e-12       1.530196434704e-12      -7.150398689565e-15 
   97       3.609531221261e-10       9.317370182578e-14      -2.806353184328e-12       0.000000000000e+00       9.693958510033e-12       1.498881653866e-12      -7.095389061335e-15 
   98       3.652332471331e-10       9.516482903987e-14      -2.894207226918e-12       0.000000000000e+00       9.432990777733e-12       1.468578132460e-12      -7.045172932157e-15 
   99       3.695414751191e-10       9.714447585237e-14      -2.982381214830e-12       0.000000000000e+00       9.181557898850e-12       1.439248212907e-12      -6.998535348560e-15 
  100       3.738771315899e-10       9.911082800226e-14      -3.070809698534e-12       0.000000000000e+00       8.939222759650e-12       1.410842215381e-12      -6.954130283446e-15 
  101       3.782393491560e-10       1.010620460471e-13      -3.159425943723e-12       0.000000000000e+00       8.705440421813e-12       1.383298035564e-12      -6.910476998425e-15 
  102       3.826270603211e-10       1.029962657579e-13      -3.248161944361e-12       0.000000000000e+00       8.479554664277e-12       1.356540742401e-12      -6.865956406143e-15 
  103       3.870389902705e-10       1.049115985144e-13      -3.336948435722e-12       0.000000000000e+00       8.260794525072e-12       1.330482175866e-12      -6.818807432617e-15 
  104       3.914739252973e-10       1.068061696443e-13      -3.425715831786e-12       0.000000000000e+00       8.048447960348e-12       1.305041981818e-12      -6.767518663105e-15 
  105       3.959315749123e-10       1.086782384882e-13      -3.514397153551e-12       0.000000000000e+00       7.842416986579e-12       1.280214819117e-12      -6.712071367891e-15 
