# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368257625129e-10       4.941733538805e-15       3.765440992268e-13       1.917119885528e-19       8.047559503581e-09       4.496291658680e-10      -1.996606022608e-12 
    3       1.295977749332e-10       7.151103727913e-15       4.449539655011e-13       3.835191027873e-19       4.961576812018e-09       3.184552120651e-10      -1.622114738262e-12 
    4       1.225914191407e-10       7.039710101858e-15       4.345169097184e-13       6.394079414284e-19       3.442800887818e-09       2.408563378652e-10      -1.166783078970e-12 
    5       1.172582947312e-10       5.385776518098e-15       3.850219242224e-13       9.594999554509e-19       2.562140867282e-09       1.900042124069e-10      -7.490624175945e-13 
    6       1.135205705331e-10       3.398240630667e-15       3.211799277615e-13       1.343942450369e-18       1.995628897356e-09       1.542968767671e-10      -4.078426197013e-13 
    7       1.110399483631e-10       1.898417663770e-15       2.585494754625e-13       1.792905774688e-18       1.606228770057e-09       1.280409846882e-10      -1.565664948125e-13 
    8       1.095748783061e-10       1.092024180006e-15       2.052596138337e-13       2.306580131599e-18       1.324752278174e-09       1.081399724791e-10       6.520788837558e-15 
    9       1.088745455920e-10       7.816047505941e-16       1.648851148759e-13       2.885172104836e-18       1.113344581202e-09       9.270794002262e-11       9.276730312685e-14 
   10       1.087067456076e-10       6.799207159088e-16       1.380441218321e-13       3.528900996698e-18       9.499181404519e-10       8.047222667516e-11       1.193079616011e-13 
   11       1.089919392448e-10       6.065800546928e-16       1.233038375604e-13       4.237995080119e-18       8.015577470404e-10       7.103033554538e-11       1.056769253632e-13 
   12       1.096293069524e-10       5.189659335045e-16       1.180859392217e-13       5.012687867287e-18       6.992052058037e-10       6.259008417559e-11       7.030371541609e-14 
   13       1.104762238538e-10       4.456130940017e-16       1.195992480587e-13       5.853214494575e-18       6.152654778900e-10       5.579464188829e-11       2.907110517893e-14 
   14       1.115888060075e-10       4.139540510015e-16       1.252567053220e-13       6.759808317668e-18       5.455086278004e-10       5.001775286977e-11      -7.400461960465e-15 
   15       1.128477961362e-10       4.220567375962e-16       1.328791768239e-13       7.732697801945e-18       4.868547022968e-10       4.505211820756e-11      -3.279365330639e-14 
   16       1.142436700250e-10       4.504671140475e-16       1.409882770780e-13       8.772103781672e-18       4.370383329160e-10       4.081948074159e-11      -4.503401297898e-14 
   17       1.157569128918e-10       4.846377230983e-16       1.488105907095e-13       9.878237147891e-18       3.943508344184e-10       3.716561003124e-11      -4.553385505573e-14 
   18       1.173675457220e-10       5.252573339103e-16       1.561026089757e-13       1.105129682640e-17       3.573415554879e-10       3.396091384693e-11      -3.788569174656e-14 
   19       1.190897202570e-10       5.813239623669e-16       1.630230028169e-13       1.229146935514e-17       3.254108044477e-10       3.115550913385e-11      -2.584535033778e-14 
   20       1.208898361066e-10       6.631494116591e-16       1.698805393198e-13       1.359892601652e-17       2.973188216055e-10       2.865184917659e-11      -1.385969131183e-14 
   21       1.227581676685e-10       7.718081748280e-16       1.770037055158e-13       1.497382540032e-17       2.726168821161e-10       2.642776987455e-11      -4.460051844904e-15 
   22       1.246654493400e-10       9.043022613872e-16       1.846961992828e-13       1.641631027046e-17       2.507065516102e-10       2.444963275779e-11       5.878740010806e-16 
   23       1.266283363298e-10       1.058254572987e-15       1.929441815601e-13       1.792651181500e-17       2.312813146906e-10       2.269173137047e-11       1.251635314301e-15 
   24       1.286550245413e-10       1.231325169174e-15       2.015629551374e-13       1.950454645998e-17       2.138869706351e-10       2.110952989452e-11      -1.575453745483e-15 
   25       1.307363365663e-10       1.424196129983e-15       2.102726136351e-13       2.115052217998e-17       1.983149480366e-10       1.968626071840e-11      -6.449655069189e-15 
   26       1.328460167750e-10       1.638049452425e-15       2.187022708714e-13       2.286453455586e-17       1.842794522610e-10       1.840012947194e-11      -1.155896019323e-14 
   27       1.349953593945e-10       1.871872309361e-15       2.264783190574e-13       2.464667303839e-17       1.716092381834e-10       1.723876716083e-11      -1.567558954662e-14 
   28       1.371962849953e-10       2.124165332464e-15       2.332251523407e-13       2.649701840638e-17       1.600830494552e-10       1.618413275616e-11      -1.781950901767e-14 
   29       1.394531069582e-10       2.396041570465e-15       2.387798299822e-13       2.841565351061e-17       1.496400883328e-10       1.522804728574e-11      -1.793758883992e-14 
   30       1.417538266117e-10       2.689661840673e-15       2.430480156356e-13       3.040265477764e-17       1.401662018103e-10       1.435494910254e-11      -1.636875219836e-14 
   31       1.440764788653e-10       3.007388938683e-15       2.459708866443e-13       3.245809269789e-17       1.314657050020e-10       1.354220742273e-11      -1.362275068159e-14 
   32       1.464269401582e-10       3.351061454044e-15       2.476179653838e-13       3.458204630198e-17       1.234923371552e-10       1.278818670153e-11      -1.036558736707e-14 
   33       1.488128013744e-10       3.722471759805e-15       2.481350325365e-13       3.677459422650e-17       1.161885381310e-10       1.209328690664e-11      -7.454787780839e-15 
   34       1.512343510936e-10       4.123283769988e-15       2.476801903154e-13       3.903581369456e-17       1.094506610148e-10       1.145354430545e-11      -5.727250742850e-15 
   35       1.536913661062e-10       4.554065051192e-15       2.462706615637e-13       4.136578935947e-17       1.032431888371e-10       1.086579890656e-11      -5.196460066870e-15 
