# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.882510722117e+00 
       2.373043761528e-05       6.452829555924e+00 
       3.705205197341e-05       9.995450638832e+00 
       5.046040160262e-05       1.353446444959e+01 
       6.399420676399e-05       1.708625603040e+01 
       7.769321405898e-05       2.066464741424e+01 
       9.159857522556e-05       2.428243889247e+01 
       1.057532435558e-04       2.795209110838e+01 
       1.202023933008e-04       3.168611160885e+01 
       1.349938674647e-04       3.549731796382e+01 
       1.501786593808e-04       3.939904453356e+01 
       1.658114333596e-04       4.340532338439e+01 
       1.819510894196e-04       4.753105391754e+01 
       1.986613765579e-04       5.179217042439e+01 
       2.160115580438e-04       5.620581156293e+01 
       2.340771306401e-04       6.079049432258e+01 
       2.529405972213e-04       6.556629318750e+01 
       2.726922886571e-04       7.055502399100e+01 
       2.934312256600e-04       7.578042884847e+01 
       3.152660040981e-04       8.126835783328e+01 
       3.383156775180e-04       8.704693953010e+01 
       3.627105977775e-04       9.314672887184e+01 
       3.885931583209e-04       9.960081678812e+01 
       4.161183645581e-04       1.064448813274e+02 
       4.454541324261e-04       1.137171530531e+02 
       4.767811907995e-04       1.214582635929e+02 
       5.102924387431e-04       1.297109379404e+02 
       5.461915893473e-04       1.385194907362e+02 
       5.846909251320e-04       1.479290855582e+02 
       6.260080050474e-04       1.579847242712e+02 
       6.703612104985e-04       1.687299471998e+02 
       7.179641068864e-04       1.802052548878e+02 
       7.690187318622e-04       1.924462974755e+02 
       8.237080952403e-04       2.054819287634e+02 
       8.821883665213e-04       2.193322659760e+02 
       9.445813962622e-04       2.340069369965e+02 
       1.010968318642e-03       2.495037232269e+02 
       1.081384969221e-03       2.658077738727e+02 
       1.155819700313e-03       2.828915273381e+02 
       1.234213899658e-03       3.007153856001e+02 
       1.316465168833e-03       3.192290785998e+02 
       1.402432774394e-03       3.383735758862e+02 
       1.491944724558e-03       3.580833424516e+02 
       1.584805697329e-03       3.782886903645e+02 
       1.680805061300e-03       3.989180241248e+02 
       1.779724358910e-03       4.198998439230e+02 
       1.881343813733e-03       4.411643819092e+02 
       1.985447627100e-03       4.626448483738e+02 
       2.091828006459e-03       4.842783293369e+02 
       2.200287998256e-03       5.060063410194e+02 
       2.310643277916e-03       5.277744458232e+02 
       2.422723085604e-03       5.495343331079e+02 
       2.536370500476e-03       5.712420167120e+02 
       2.651442230081e-03       5.928580738118e+02 
       2.767808065318e-03       6.143474448598e+02 
