# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.882427641491e+00 
       2.373043761528e-05       6.452644057301e+00 
       3.705205197341e-05       9.995164646450e+00 
       5.046040160262e-05       1.353407983812e+01 
       6.399420676399e-05       1.708577488675e+01 
       7.769321405898e-05       2.066407217167e+01 
       9.159857522556e-05       2.428177244276e+01 
       1.057532435558e-04       2.795133692079e+01 
       1.202023933008e-04       3.168527386574e+01 
       1.349938674647e-04       3.549640172508e+01 
       1.501786593808e-04       3.939805593625e+01 
       1.658114333596e-04       4.340426988836e+01 
       1.819510894196e-04       4.752994460778e+01 
       1.986613765579e-04       5.179101638531e+01 
       2.160115580438e-04       5.620462634253e+01 
       2.340771306401e-04       6.078929450866e+01 
       2.529405972213e-04       6.556509912240e+01 
       2.726922886571e-04       7.055386066635e+01 
       2.934312256600e-04       7.577932701895e+01 
       3.152660040981e-04       8.126735540955e+01 
       3.383156775180e-04       8.704608332017e+01 
       3.627105977775e-04       9.314607676281e+01 
       3.885931583209e-04       9.960044046949e+01 
       4.161183645581e-04       1.064448696976e+02 
       4.454541324261e-04       1.137176164611e+02 
       4.767811907995e-04       1.214593391154e+02 
       5.102924387431e-04       1.297127958993e+02 
       5.461915893473e-04       1.385223427111e+02 
       5.846909251320e-04       1.479331941436e+02 
       6.260080050474e-04       1.579904148492e+02 
       6.703612104985e-04       1.687376219389e+02 
       7.179641068864e-04       1.802154091448e+02 
       7.690187318622e-04       1.924595386295e+02 
       8.237080952403e-04       2.054989973710e+02 
       8.821883665213e-04       2.193540588894e+02 
       9.445813962622e-04       2.340345318463e+02 
       1.010968318642e-03       2.495384034090e+02 
       1.081384969221e-03       2.658510529438e+02 
       1.155819700313e-03       2.829451715826e+02 
       1.234213899658e-03       3.007814334994e+02 
       1.316465168833e-03       3.193098560237e+02 
       1.402432774394e-03       3.384717060529e+02 
       1.491944724558e-03       3.582017500249e+02 
       1.584805697329e-03       3.784305993951e+02 
       1.680805061300e-03       3.990869498789e+02 
       1.779724358910e-03       4.200995790110e+02 
       1.881343813733e-03       4.413989772993e+02 
       1.985447627100e-03       4.629185900379e+02 
       2.091828006459e-03       4.845957114108e+02 
       2.200287998256e-03       5.063720363023e+02 
       2.310643277916e-03       5.281932728003e+02 
       2.422723085604e-03       5.500112266001e+02 
       2.536370500476e-03       5.717819941424e+02 
       2.651442230081e-03       5.934662025207e+02 
       2.767808065318e-03       6.150288104608e+02 
       2.885350122018e-03       6.364390200718e+02 
       3.003961962113e-03       6.576697050120e+02 
       3.123547662764e-03       6.786972911984e+02 
       3.244020881646e-03       6.995013076221e+02 
       3.365303950641e-03       7.200640761642e+02 
       3.487327018288e-03       7.403704158313e+02 
       3.610027252458e-03       7.604073381277e+02 
       3.733348108622e-03       7.801639370351e+02 
       3.857238664757e-03       7.996309028617e+02 
       3.981653021215e-03       8.188005210112e+02 
       4.106549762154e-03       8.376665990098e+02 
       4.231891474164e-03       8.562239420578e+02 
       4.357644317282e-03       8.744688279457e+02 
       4.483777643502e-03       8.923981505232e+02 
       4.610263657980e-03       9.100100760087e+02 
       4.737077118433e-03       9.273031867289e+02 
       4.864195068510e-03       9.442769733496e+02 
       4.991596601329e-03       9.609315850131e+02 
       5.119262649698e-03       9.772673486755e+02 
       5.247175799933e-03       9.932855162932e+02 
       5.375320126495e-03       1.008987210994e+03 
       5.503681045008e-03       1.024374235857e+03 
       5.632245181484e-03       1.039448877410e+03 
       5.761000255846e-03       1.054213217414e+03 
       5.889934978076e-03       1.068669839727e+03 
       6.019038955502e-03       1.082821483231e+03 
       6.148302609931e-03       1.096670946509e+03 
       6.277717103485e-03       1.110221440443e+03 
       6.407274272154e-03       1.123476345944e+03 
       6.536966566162e-03       1.136438443582e+03 
       6.666786996400e-03       1.149111369220e+03 
       6.796729086234e-03       1.161498379648e+03 
       6.926786828089e-03       1.173602918893e+03 
       7.056954644300e-03       1.185428842825e+03 
       7.187227351743e-03       1.196979483544e+03 
       7.317600129859e-03       1.208258250060e+03 
       7.448068491705e-03       1.219268766888e+03 
       7.578628257697e-03       1.230014755935e+03 
       7.709275531791e-03       1.240499205232e+03 
       7.840006679834e-03       1.250726508147e+03 
       7.970818309857e-03       1.260699780685e+03 
       8.101707254141e-03       1.270422005721e+03 
       8.232670552846e-03       1.279897414050e+03 
       8.363705439076e-03       1.289129306073e+03 
       8.494809325229e-03       1.298120249680e+03 
       8.625979790500e-03       1.306874395779e+03 
       8.757214569446e-03       1.315395077941e+03 
       8.888511541496e-03       1.323685466971e+03 
       9.019868721331e-03       1.331748609979e+03 
       9.151284250039e-03       1.339588210731e+03 
       9.282756386994e-03       1.347207013624e+03 
       9.414283502372e-03       1.354608498356e+03 
       9.545864070270e-03       1.361795433231e+03 
       9.677496662351e-03       1.368771051817e+03 
       9.809179941995e-03       1.375540251211e+03 
       9.940912658886e-03       1.382103089577e+03 
       1.007269364402e-02       1.388463068700e+03 
       1.020452180510e-02       1.394623615937e+03 
       1.033639612222e-02       1.400587336552e+03 
       1.046831564399e-02       1.406357558717e+03 
       1.060027948378e-02       1.411936050420e+03 
       1.073228681639e-02       1.417326386566e+03 
       1.086433687490e-02       1.422531076032e+03 
       1.099642894770e-02       1.427552634717e+03 
       1.112856237583e-02       1.432393908978e+03 
       1.126073655044e-02       1.437057013663e+03 
       1.139295091047e-02       1.441545362105e+03 
       1.152520494046e-02       1.445860646588e+03 
       1.165749816853e-02       1.450005080491e+03 
       1.178983016452e-02       1.453982475658e+03 
       1.192220053825e-02       1.457793754898e+03 
       1.205460893787e-02       1.461441715067e+03 
       1.218705504840e-02       1.464929176961e+03 
       1.231953859028e-02       1.468258550129e+03 
       1.245205931810e-02       1.471430269897e+03 
       1.258461701939e-02       1.474449005023e+03 
       1.271721151347e-02       1.477315474252e+03 
       1.284984265044e-02       1.480032227630e+03 
       1.298251031021e-02       1.482600591071e+03 
       1.311521440158e-02       1.485024463001e+03 
       1.324795486143e-02       1.487304840479e+03 
       1.338073165393e-02       1.489443508541e+03 
       1.351354476986e-02       1.491443390742e+03 
       1.364639422595e-02       1.493306002998e+03 
       1.377928006424e-02       1.495033149591e+03 
       1.391220235156e-02       1.496627076614e+03 
       1.404516117903e-02       1.498089903859e+03 
       1.417815666155e-02       1.499423717815e+03 
       1.431118893742e-02       1.500629108366e+03 
       1.444425816794e-02       1.501709997441e+03 
       1.457736453706e-02       1.502666255332e+03 
       1.471050825103e-02       1.503501005051e+03 
       1.484368953822e-02       1.504215115154e+03 
       1.497690864875e-02       1.504811303704e+03 
       1.511016585436e-02       1.505290301874e+03 
       1.524346144820e-02       1.505655138546e+03 
       1.537679574464e-02       1.505906770532e+03 
       1.551016907917e-02       1.506046968038e+03 
       1.564358180828e-02       1.506077877097e+03 
       1.577703430938e-02       1.506000592927e+03 
       1.591052698073e-02       1.505817206578e+03 
       1.604406024142e-02       1.505529357371e+03 
       1.617763453133e-02       1.505138667154e+03 
       1.631125031118e-02       1.504646371655e+03 
       1.644490806251e-02       1.504054487571e+03 
       1.657860828775e-02       1.503364642439e+03 
       1.671235151029e-02       1.502578376071e+03 
       1.684613827459e-02       1.501697298688e+03 
       1.697996914622e-02       1.500721650372e+03 
       1.711384471207e-02       1.499654224941e+03 
       1.724776558040e-02       1.498497733313e+03 
       1.738173238109e-02       1.497252474883e+03 
       1.751574576578e-02       1.495918472150e+03 
       1.764980640804e-02       1.494498802977e+03 
       1.778391500363e-02       1.492994727664e+03 
       1.791807227070e-02       1.491407854195e+03 
       1.805227895006e-02       1.489738813190e+03 
       1.818653580541e-02       1.487990036743e+03 
       1.832084362365e-02       1.486161769046e+03 
       1.845520321520e-02       1.484256218574e+03 
