# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -3.339035569206e-04      -2.504573426310e-04      -2.504573474888e-04      -3.339026192445e-04      -2.504114874771e-04      -2.505784141194e-04       5.988891438406e-01       5.979868544330e-01      -1.687269106752e-11      -3.141536756904e-15      -1.744671512964e-11      -1.775388985744e-14      -3.400574730608e-14 
       2.373043761528e-05      -1.718547542390e-03      -1.289697338687e-03      -1.289697467469e-03      -1.718522688957e-03      -1.289457956996e-03      -1.290319574247e-03       5.988855225847e-01       5.979838817678e-01      -4.472406757018e-10      -8.327906467111e-14      -4.624540481240e-10      -4.707605814433e-13      -9.013845295021e-13 
       3.705205197341e-05      -4.185913118141e-03      -3.144108335787e-03      -3.144109100906e-03      -4.185765510611e-03      -3.143510588881e-03      -3.145620018231e-03       5.988790619763e-01       5.979785780838e-01      -2.656382255918e-09      -4.947237488516e-13      -2.746721974564e-09      -2.797804360238e-12      -5.353788805343e-12 
       5.046040160262e-05      -7.753718693181e-03      -5.831355850266e-03      -5.831358480897e-03      -7.753211443241e-03      -5.830209137645e-03      -5.834145476812e-03       5.988697039393e-01       5.979708945660e-01      -9.129420419903e-09      -1.700697317414e-12      -9.439799485193e-09      -9.624060025684e-12      -1.839994650097e-11 
       6.399420676399e-05      -1.244957538281e-02      -9.378709392099e-03      -9.378716192407e-03      -1.244826498630e-02      -9.376784266590e-03      -9.383166161358e-03       5.988573557475e-01       5.979607533255e-01      -2.358704038084e-08      -4.395497881056e-12      -2.438861094849e-08      -2.489437836373e-11      -4.753904376037e-11 
       7.769321405898e-05      -1.831124147134e-02      -1.382356125561e-02      -1.382357601707e-02      -1.830839934333e-02      -1.382057445186e-02      -1.383007518046e-02       5.988418927159e-01       5.979480497205e-01      -5.116579112219e-08      -9.539014350372e-12      -5.290366394637e-08      -5.408164275556e-11      -1.031243466477e-10 
       9.159857522556e-05      -2.538698744769e-02      -1.921416485607e-02      -1.921419334678e-02      -2.538150744308e-02      -1.920976163412e-02      -1.922312634840e-02       5.988231561882e-01       5.979326510418e-01      -9.867283654756e-08      -1.840543837636e-11      -1.020221501092e-07      -1.044832798319e-10      -1.988769945032e-10 
       1.057532435558e-04      -3.373606258559e-02      -2.561061309498e-02      -2.561066365389e-02      -3.372634953792e-02      -2.560434593365e-02      -2.562241182636e-02       5.988009448197e-01       5.979143882431e-01      -1.749293322661e-07      -3.265009474487e-11      -1.808625854520e-07      -1.856249405267e-10      -3.525787851646e-10 
       1.202023933008e-04      -4.342925040072e-02      -3.308608536354e-02      -3.308616963027e-02      -4.341308418981e-02      -3.307738779962e-02      -3.310110814425e-02       5.987750162711e-01       5.978930574322e-01      -2.912221610908e-07      -5.439554043981e-11      -3.010910636919e-07      -3.097979222513e-10      -5.869831515254e-10 
       1.349938674647e-04      -5.454949433192e-02      -4.172839904094e-02      -4.172853286845e-02      -5.452386152638e-02      -4.171655314121e-02      -4.174702638811e-02       5.987450806277e-01       5.978684146456e-01      -4.618894531121e-07      -8.634628757988e-11      -4.775258385896e-07      -4.927664833667e-10      -9.309967664295e-10 
       1.501786593808e-04      -6.719256379524e-02      -5.164191117834e-02      -5.164211577637e-02      -6.715344835257e-02      -5.162600668935e-02      -5.166451212733e-02       5.987107943797e-01       5.978401701038e-01      -7.050744286219e-07      -1.319353487115e-10      -7.289152250057e-07      -7.546938642096e-10      -1.421200488761e-09 
