# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.552332337700e+00 
       2.373043761528e-05       7.952299888715e+00 
       3.705205197341e-05       1.231812895387e+01 
       5.046040160262e-05       1.667950546835e+01 
       6.399420676399e-05       2.105661932935e+01 
       7.769321405898e-05       2.546650145439e+01 
       9.159857522556e-05       2.992492338836e+01 
       1.057532435558e-04       3.444723766513e+01 
       1.202023933008e-04       3.904885418180e+01 
       1.349938674647e-04       4.374556416887e+01 
       1.501786593808e-04       4.855379506340e+01 
       1.658114333596e-04       5.349083304435e+01 
       1.819510894196e-04       5.857503213148e+01 
       1.986613765579e-04       6.382602028583e+01 
       2.160115580438e-04       6.926490791344e+01 
       2.340771306401e-04       7.491450197544e+01 
       2.529405972213e-04       8.079952634575e+01 
       2.726922886571e-04       8.694684775445e+01 
       2.934312256600e-04       9.338570315406e+01 
       3.152660040981e-04       1.001479227347e+02 
       3.383156775180e-04       1.072681392561e+02 
       3.627105977775e-04       1.147839690723e+02 
       3.885931583209e-04       1.227361461643e+02 
       4.161183645581e-04       1.311685835939e+02 
       4.454541324261e-04       1.401283294860e+02 
       4.767811907995e-04       1.496653786282e+02 
       5.102924387431e-04       1.598322919559e+02 
       5.461915893473e-04       1.706835744556e+02 
       5.846909251320e-04       1.822747619155e+02 
       6.260080050474e-04       1.946611755789e+02 
       6.703612104985e-04       2.078963224899e+02 
       7.179641068864e-04       2.220299543816e+02 
       7.690187318622e-04       2.371058434812e+02 
       8.237080952403e-04       2.531593940050e+02 
       8.821883665213e-04       2.702152647151e+02 
       9.445813962622e-04       2.882852239815e+02 
       1.010968318642e-03       3.073664940725e+02 
       1.081384969221e-03       3.274407975559e+02 
       1.155819700313e-03       3.484742704248e+02 
       1.234213899658e-03       3.704182950089e+02 
       1.316465168833e-03       3.932111724617e+02 
       1.402432774394e-03       4.167804586554e+02 
       1.491944724558e-03       4.410457143597e+02 
       1.584805697329e-03       4.659213683519e+02 
       1.680805061300e-03       4.913194512770e+02 
       1.779724358910e-03       5.171520379339e+02 
       1.881343813733e-03       5.433332513971e+02 
       1.985447627100e-03       5.697808016868e+02 
       2.091828006459e-03       5.964171102632e+02 
       2.200287998256e-03       6.231700220347e+02 
       2.310643277916e-03       6.499723638848e+02 
       2.422723085604e-03       6.767645367940e+02 
       2.536370500476e-03       7.034923102669e+02 
       2.651442230081e-03       7.301071337685e+02 
       2.767808065318e-03       7.565658640483e+02 
       2.885350122018e-03       7.828306447214e+02 
       3.003961962113e-03       8.088681863870e+02 
       3.123547662764e-03       8.346495894863e+02 
       3.244020881646e-03       8.601497786883e+02 
       3.365303950641e-03       8.853471155866e+02 
       3.487327018288e-03       9.102230373663e+02 
       3.610027252458e-03       9.347616900546e+02 
       3.733348108622e-03       9.589498038369e+02 
       3.857238664757e-03       9.827761024888e+02 
       3.981653021215e-03       1.006231305911e+03 
       4.106549762154e-03       1.029308034354e+03 
       4.231891474164e-03       1.052000156977e+03 
       4.357644317282e-03       1.074303362434e+03 
       4.483777643502e-03       1.096214095682e+03 
       4.610263657980e-03       1.117730355396e+03 
       4.737077118433e-03       1.138850637645e+03 
       4.864195068510e-03       1.159574541142e+03 
       4.991596601329e-03       1.179902464017e+03 
       5.119262649698e-03       1.199835017081e+03 
       5.247175799933e-03       1.219373946106e+03 
       5.375320126495e-03       1.238520838514e+03 
       5.503681045008e-03       1.257278114903e+03 
       5.632245181484e-03       1.275648784261e+03 
       5.761000255846e-03       1.293635594912e+03 
       5.889934978076e-03       1.311241897409e+03 
       6.019038955502e-03       1.328471217519e+03 
       6.148302609931e-03       1.345327146423e+03 
       6.277717103485e-03       1.361813768976e+03 
       6.407274272154e-03       1.377935418599e+03 
       6.536966566162e-03       1.393695758158e+03 
