# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.552253434635e+00 
       2.373043761528e-05       7.952123817501e+00 
       3.705205197341e-05       1.231785777293e+01 
       5.046040160262e-05       1.667914132140e+01 
       6.399420676399e-05       2.105616470211e+01 
       7.769321405898e-05       2.546595931439e+01 
       9.159857522556e-05       2.992429730830e+01 
       1.057532435558e-04       3.444653195806e+01 
       1.202023933008e-04       3.904807405881e+01 
       1.349938674647e-04       4.374471592992e+01 
       1.501786593808e-04       4.855288633188e+01 
       1.658114333596e-04       5.348987305370e+01 
       1.819510894196e-04       5.857403208064e+01 
       1.986613765579e-04       6.382499377722e+01 
       2.160115580438e-04       6.926387149606e+01 
       2.340771306401e-04       7.491347581862e+01 
       2.529405972213e-04       8.079853507416e+01 
       2.726922886571e-04       8.694592149177e+01 
       2.934312256600e-04       9.338487882062e+01 
       3.152660040981e-04       1.001472456692e+02 
       3.383156775180e-04       1.072676652407e+02 
       3.627105977775e-04       1.147837668666e+02 
       3.885931583209e-04       1.227363006666e+02 
       4.161183645581e-04       1.311691997915e+02 
       4.454541324261e-04       1.401295373713e+02 
       4.767811907995e-04       1.496673393083e+02 
       5.102924387431e-04       1.598352051951e+02 
       5.461915893473e-04       1.706876879420e+02 
       5.846909251320e-04       1.822803825409e+02 
       6.260080050474e-04       1.946686830390e+02 
       6.703612104985e-04       2.079061854541e+02 
       7.179641068864e-04       2.220427494267e+02 
       7.690187318622e-04       2.371222768314e+02 
       8.237080952403e-04       2.531803259398e+02 
       8.821883665213e-04       2.702417362402e+02 
       9.445813962622e-04       2.883184850640e+02 
       1.010968318642e-03       3.074080324547e+02 
       1.081384969221e-03       3.274923668781e+02 
       1.155819700313e-03       3.485379162335e+02 
       1.234213899658e-03       3.704963771820e+02 
       1.316465168833e-03       3.933063826909e+02 
       1.402432774394e-03       4.168958318884e+02 
       1.491944724558e-03       4.411846334665e+02 
       1.584805697329e-03       4.660875616943e+02 
       1.680805061300e-03       4.915169832291e+02 
       1.779724358910e-03       5.173852928433e+02 
       1.881343813733e-03       5.436069116754e+02 
       1.985447627100e-03       5.700998209047e+02 
       2.091828006459e-03       5.967866822747e+02 
       2.200287998256e-03       6.235955470908e+02 
