# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367926113888e-10       4.940201930627e-15       3.764234619820e-13       0.000000000000e+00       8.046605891356e-09       4.495903826074e-10      -1.996080408371e-12 
    3       1.295687555908e-10       7.149016769706e-15       4.448303984139e-13       0.000000000000e+00       4.961071052283e-09       3.184293919519e-10      -1.621739008836e-12 
    4       1.225655081158e-10       7.037538750413e-15       4.344083081480e-13       0.000000000000e+00       3.442486128462e-09       2.408380640605e-10      -1.166535561633e-12 
    5       1.172344723808e-10       5.383722754784e-15       3.849336340334e-13       0.000000000000e+00       2.561926222420e-09       1.899907164421e-10      -7.489131067993e-13 
    6       1.134980388454e-10       3.396243706563e-15       3.211116684084e-13       0.000000000000e+00       1.995473766048e-09       1.542865857612e-10      -4.077639624877e-13 
    7       1.110181030251e-10       1.896278848680e-15       2.584983194087e-13       0.000000000000e+00       1.606111947265e-09       1.280329411261e-10      -1.565349033957e-13 
    8       1.095532459491e-10       1.089532018100e-15       2.052218391483e-13       0.000000000000e+00       1.324661554191e-09       1.081335506627e-10       6.524245286239e-15 
    9       1.088527529128e-10       7.785982674965e-16       1.648570972205e-13       0.000000000000e+00       1.113272415350e-09       9.270271335275e-11       9.275682653242e-14 
   10       1.086844946875e-10       6.762941273589e-16       1.380227576691e-13       0.000000000000e+00       9.498596188707e-10       8.046790053850e-11       1.192933131123e-13 
   11       1.089689738177e-10       6.022593136775e-16       1.232867350624e-13       0.000000000000e+00       8.015098313405e-10       7.102650123950e-11       1.056638740244e-13 
   12       1.096054102732e-10       5.138851682684e-16       1.180714471130e-13       0.000000000000e+00       6.991651705708e-10       6.258686296090e-11       7.029522219658e-14 
   13       1.104512126462e-10       4.397034288850e-16       1.195863637267e-13       0.000000000000e+00       6.152316544923e-10       5.579187461002e-11       2.906769854249e-14 
   14       1.115625084504e-10       4.071433048977e-16       1.252449444900e-13       0.000000000000e+00       5.454797760061e-10       5.001536092679e-11      -7.399559899997e-15 
   15       1.128200620015e-10       4.142729458850e-16       1.328684428896e-13       0.000000000000e+00       4.868298845821e-10       4.505003969232e-11      -3.278988088537e-14 
   16       1.142143637532e-10       4.416405660211e-16       1.409787248579e-13       0.000000000000e+00       4.370168267707e-10       4.081765665866e-11      -4.502892834048e-14 
   17       1.157259069227e-10       4.747003892429e-16       1.488025123541e-13       0.000000000000e+00       3.943320748161e-10       3.716399769567e-11      -4.552875075051e-14 
   18       1.173347225411e-10       5.141412066406e-16       1.560963595737e-13       0.000000000000e+00       3.573251044631e-10       3.395948162580e-11      -3.788139908073e-14 
