# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367930405899e-10       4.940393640219e-15       3.764234583211e-13       1.917095234974e-19       8.046605891356e-09       4.495903826074e-10      -1.996080408371e-12 
    3       1.295696118805e-10       7.149400284537e-15       4.448303821028e-13       3.835141562823e-19       4.961071052283e-09       3.184293919519e-10      -1.621739008836e-12 
    4       1.225669306283e-10       7.038178153395e-15       4.344082612941e-13       6.393996615425e-19       3.442486128462e-09       2.408380640605e-10      -1.166535561633e-12 
    5       1.172365975933e-10       5.384682253644e-15       3.849335273352e-13       9.594874703701e-19       2.561926222420e-09       1.899907164421e-10      -7.489131067993e-13 
    6       1.135010000460e-10       3.397587662554e-15       3.211114586980e-13       1.343924865057e-18       1.995473766048e-09       1.542865857612e-10      -4.077639624877e-13 
    7       1.110220298623e-10       1.898071803451e-15       2.584979474317e-13       1.792882168530e-18       1.606111947265e-09       1.280329411261e-10      -1.565349033957e-13 
    8       1.095582640727e-10       1.091838718213e-15       2.052212276137e-13       2.306549557138e-18       1.324661554191e-09       1.081335506627e-10       6.524245286239e-15 
    9       1.088589837123e-10       7.814836860007e-16       1.648561491392e-13       2.885133587645e-18       1.113272415350e-09       9.270271335275e-11       9.275682653242e-14 
   10       1.086920551302e-10       6.798234818346e-16       1.380213549946e-13       3.528853536402e-18       9.498596188707e-10       8.046790053850e-11       1.192933131123e-13 
   11       1.089779763878e-10       6.064980800913e-16       1.232847376325e-13       4.237937652530e-18       8.015098313405e-10       7.102650123950e-11       1.056638740244e-13 
   12       1.096159630069e-10       5.188990900260e-16       1.180686918882e-13       5.012619427558e-18       6.991651705708e-10       6.258686296090e-11       7.029522219658e-14 
   13       1.104634192552e-10       4.455585204844e-16       1.195826643083e-13       5.853133981244e-18       6.152316544923e-10       5.579187461002e-11       2.906769854249e-14 
   14       1.115764685261e-10       4.139058496625e-16       1.252400908978e-13       6.759714657428e-18       5.454797760061e-10       5.001536092679e-11      -7.399559899997e-15 
   15       1.128358712843e-10       4.220094873626e-16       1.328622015703e-13       7.732589914935e-18       4.868298845821e-10       4.505003969232e-11      -3.278988088537e-14 
   16       1.142321144556e-10       4.504178927734e-16       1.409708388958e-13       8.771980587076e-18       4.370168267707e-10       4.081765665866e-11      -4.502892834048e-14 
   17       1.157456880883e-10       4.845855129254e-16       1.487927018500e-13       9.878097569609e-18       3.943320748161e-10       3.716399769567e-11      -4.552875075051e-14 
   18       1.173566204309e-10       5.252013336382e-16       1.560843221754e-13       1.105113979867e-17       3.573251044631e-10       3.395948162580e-11      -3.788139908073e-14 
   19       1.190790632389e-10       5.812626688017e-16       1.630043564660e-13       1.229129382719e-17       3.253962841172e-10       3.115423013092e-11      -2.584228763131e-14 
   20       1.208794236729e-10       6.630805078424e-16       1.698615437680e-13       1.359873095786e-17       2.973059521132e-10       2.865070359690e-11      -1.385781694502e-14 
   21       1.227479781264e-10       7.717293723156e-16       1.769843424710e-13       1.497360980360e-17       2.726054238239e-10       2.642673987278e-11      -4.459094693970e-15 
   22       1.246554662266e-10       9.042116882492e-16       1.846764269450e-13       1.641607315511e-17       2.506963116616e-10       2.444870278953e-11       5.883220848302e-16 
   23       1.266185425007e-10       1.058150694918e-15       1.929239610639e-13       1.792625222802e-17       2.312721261007e-10       2.269088790581e-11       1.251967076334e-15 
   24       1.286454040135e-10       1.231206784735e-15       2.015422668592e-13       1.950426347753e-17       2.138786998944e-10       2.110876241699e-11      -1.574942837456e-15 
   25       1.307268749454e-10       1.424062075419e-15       2.102514644863e-13       2.115021490580e-17       1.983074784658e-10       1.968555968168e-11      -6.448798303333e-15 
   26       1.328367035282e-10       1.637898542395e-15       2.186807019777e-13       2.286420212061e-17       1.842726875146e-10       1.839948646296e-11      -1.155774409221e-14 
   27       1.349861837056e-10       1.871703490596e-15       2.264563997451e-13       2.464631459631e-17       1.716030946095e-10       1.723817505287e-11      -1.567409270160e-14 
   28       1.371872360937e-10       2.123977716367e-15       2.332029782624e-13       2.649663313245e-17       1.600774583310e-10       1.618358613062e-11      -1.781787800169e-14 
   29       1.394441737138e-10       2.395834242006e-15       2.387575042580e-13       2.841524059493e-17       1.496349862505e-10       1.522754124079e-11      -1.793597085707e-14 
   30       1.417449994162e-10       2.689433780048e-15       2.430256426776e-13       3.040221342117e-17       1.401615331537e-10       1.435447933320e-11      -1.636726600985e-14 
   31       1.440677511627e-10       3.007139006683e-15       2.459485695233e-13       3.245762210825e-17       1.314614261300e-10       1.354177057039e-11      -1.362147469058e-14 
   32       1.464183050264e-10       3.350788440104e-15       2.475957971578e-13       3.458154568786e-17       1.234884080251e-10       1.278777972000e-11      -1.036455349833e-14 
   33       1.488042515483e-10       3.722174388637e-15       2.481130910285e-13       3.677406279205e-17       1.161849225733e-10       1.209290711052e-11      -7.453969946661e-15 
   34       1.512258799790e-10       4.122960710588e-15       2.476585376608e-13       3.903525063435e-17       1.094473289545e-10       1.145318952635e-11      -5.726566814884e-15 
