# Matter power spectrum P(k) at redshift z=5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.003153664862e+00 
       2.373043761528e-05       4.484911796078e+00 
       3.705205197341e-05       6.947631019932e+00 
       5.046040160262e-05       9.407971088614e+00 
       6.399420676399e-05       1.187728976650e+01 
       7.769321405898e-05       1.436518071701e+01 
       9.159857522556e-05       1.688053551975e+01 
       1.057532435558e-04       1.943201447053e+01 
       1.202023933008e-04       2.202831358882e+01 
       1.349938674647e-04       2.467834695979e+01 
       1.501786593808e-04       2.739139010014e+01 
       1.658114333596e-04       3.017720572317e+01 
       1.819510894196e-04       3.304616168601e+01 
       1.986613765579e-04       3.600934770944e+01 
       2.160115580438e-04       3.907869357821e+01 
       2.340771306401e-04       4.226709045195e+01 
       2.529405972213e-04       4.558851597492e+01 
       2.726922886571e-04       4.905816286053e+01 
       2.934312256600e-04       5.269256831094e+01 
       3.152660040981e-04       5.650974132495e+01 
       3.383156775180e-04       6.052928260374e+01 
       3.627105977775e-04       6.477248886408e+01 
       3.885931583209e-04       6.926243080044e+01 
       4.161183645581e-04       7.402399077150e+01 
       4.454541324261e-04       7.908384100897e+01 
       4.767811907995e-04       8.447034117365e+01 
       5.102924387431e-04       9.021332692774e+01 
       5.461915893473e-04       9.634376274243e+01 
       5.846909251320e-04       1.028932290770e+02 
       6.260080050474e-04       1.098932218559e+02 
       6.703612104985e-04       1.173742488994e+02 
       7.179641068864e-04       1.253647314513e+02 
       7.690187318622e-04       1.338897407522e+02 
       8.237080952403e-04       1.429696379687e+02 
       8.821883665213e-04       1.526187130890e+02 
       9.445813962622e-04       1.628439516999e+02 
       1.010968318642e-03       1.736440730087e+02 
       1.081384969221e-03       1.850089650666e+02 
       1.155819700313e-03       1.969196133083e+02 
       1.234213899658e-03       2.093485584009e+02 
       1.316465168833e-03       2.222608423480e+02 
       1.402432774394e-03       2.356153458322e+02 
       1.491944724558e-03       2.493663763846e+02 
       1.584805697329e-03       2.634653309203e+02 
       1.680805061300e-03       2.778622895678e+02 
       1.779724358910e-03       2.925074390007e+02 
       1.881343813733e-03       3.073522330107e+02 
       1.985447627100e-03       3.223502695013e+02 
       2.091828006459e-03       3.374579102235e+02 
       2.200287998256e-03       3.526346493711e+02 
       2.310643277916e-03       3.678428154805e+02 
       2.422723085604e-03       3.830489935930e+02 
       2.536370500476e-03       3.982227345041e+02 
       2.651442230081e-03       4.133367037531e+02 
       2.767808065318e-03       4.283665443157e+02 
       2.885350122018e-03       4.432907768645e+02 
       3.003961962113e-03       4.580904609965e+02 
       3.123547662764e-03       4.727491048659e+02 
       3.244020881646e-03       4.872523771590e+02 
       3.365303950641e-03       5.015879072020e+02 
       3.487327018288e-03       5.157450890185e+02 
       3.610027252458e-03       5.297148708406e+02 
       3.733348108622e-03       5.434896725669e+02 
