# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.880247854061e+00 
       2.373043761528e-05       6.448657085169e+00 
       3.705205197341e-05       9.989683567063e+00 
       5.046040160262e-05       1.352727737211e+01 
       6.399420676399e-05       1.707776469049e+01 
       7.769321405898e-05       2.065493490715e+01 
       9.159857522556e-05       2.427156742354e+01 
       1.057532435558e-04       2.794010825686e+01 
       1.202023933008e-04       3.167305404029e+01 
       1.349938674647e-04       3.548321379556e+01 
       1.501786593808e-04       3.938391492161e+01 
       1.658114333596e-04       4.338918362847e+01 
       1.819510894196e-04       4.751391425182e+01 
       1.986613765579e-04       5.177403659446e+01 
       2.160115580438e-04       5.618668525286e+01 
       2.340771306401e-04       6.077037347434e+01 
       2.529405972213e-04       6.554517224263e+01 
       2.726922886571e-04       7.053289407603e+01 
       2.934312256600e-04       7.575727792173e+01 
       3.152660040981e-04       8.124417080739e+01 
       3.383156775180e-04       8.702169838354e+01 
       3.627105977775e-04       9.312041276262e+01 
       3.885931583209e-04       9.957340218299e+01 
       4.161183645581e-04       1.064163421609e+02 
       4.454541324261e-04       1.136874609324e+02 
       4.767811907995e-04       1.214273880643e+02 
       5.102924387431e-04       1.296788468361e+02 
       5.461915893473e-04       1.384861506179e+02 
       5.846909251320e-04       1.478944622734e+02 
       6.260080050474e-04       1.579487836333e+02 
       6.703612104985e-04       1.686926557962e+02 
       7.179641068864e-04       1.801665810112e+02 
       7.690187318622e-04       1.924062121567e+02 
       8.237080952403e-04       2.054404068710e+02 
       8.821883665213e-04       2.192892873301e+02 
       9.445813962622e-04       2.339624874317e+02 
       1.010968318642e-03       2.494577955287e+02 
       1.081384969221e-03       2.657603685166e+02 
       1.155819700313e-03       2.828426529702e+02 
       1.234213899658e-03       3.006650592199e+02 
       1.316465168833e-03       3.191773254361e+02 
       1.402432774394e-03       3.383204289831e+02 
       1.491944724558e-03       3.580288420106e+02 
       1.584805697329e-03       3.782328829032e+02 
       1.680805061300e-03       3.988609615245e+02 
       1.779724358910e-03       4.198415824280e+02 
       1.881343813733e-03       4.411049811366e+02 
       1.985447627100e-03       4.625843703791e+02 
       2.091828006459e-03       4.842168377601e+02 
       2.200287998256e-03       5.059439003313e+02 
       2.310643277916e-03       5.277111207562e+02 
       2.422723085604e-03       5.494701879458e+02 
       2.536370500476e-03       5.711771148942e+02 
       2.651442230081e-03       5.927924775713e+02 
       2.767808065318e-03       6.142812149326e+02 
       2.885350122018e-03       6.356125394193e+02 
       3.003961962113e-03       6.567593639303e+02 
       3.123547662764e-03       6.776981803504e+02 
       3.244020881646e-03       6.984086085574e+02 
       3.365303950641e-03       7.188730839166e+02 
       3.487327018288e-03       7.390765590548e+02 
       3.610027252458e-03       7.590061967297e+02 
       3.733348108622e-03       7.786512567739e+02 
       3.857238664757e-03       7.980026080305e+02 
       3.981653021215e-03       8.170527239431e+02 
       4.106549762154e-03       8.357956067722e+02 
       4.231891474164e-03       8.542262618028e+02 
       4.357644317282e-03       8.723411681653e+02 
       4.483777643502e-03       8.901374224842e+02 
       4.610263657980e-03       9.076133910009e+02 
       4.737077118433e-03       9.247678539550e+02 
       4.864195068510e-03       9.416004946934e+02 
       4.991596601329e-03       9.581116490454e+02 
       5.119262649698e-03       9.743018251301e+02 
       5.247175799933e-03       9.901724470630e+02 
       5.375320126495e-03       1.005724803890e+03 
       5.503681045008e-03       1.020960855138e+03 
       5.632245181484e-03       1.035883034517e+03 
       5.761000255846e-03       1.050493563966e+03 
       5.889934978076e-03       1.064795157901e+03 
       6.019038955502e-03       1.078790677557e+03 
       6.148302609931e-03       1.092483036108e+03 
       6.277717103485e-03       1.105875550178e+03 
       6.407274272154e-03       1.118971698933e+03 
       6.536966566162e-03       1.131774357324e+03 
       6.666786996400e-03       1.144287246604e+03 
       6.796729086234e-03       1.156513851410e+03 
       6.926786828089e-03       1.168457607953e+03 
       7.056954644300e-03       1.180122336354e+03 
       7.187227351743e-03       1.191511508440e+03 
       7.317600129859e-03       1.202628660878e+03 
       7.448068491705e-03       1.213477535802e+03 
       7.578628257697e-03       1.224061964018e+03 
       7.709275531791e-03       1.234385038228e+03 
       7.840006679834e-03       1.244451242419e+03 
       7.970818309857e-03       1.254263782980e+03 
       8.101707254141e-03       1.263825727735e+03 
       8.232670552846e-03       1.273141380266e+03 
       8.363705439076e-03       1.282214113090e+03 
       8.494809325229e-03       1.291046565072e+03 
       8.625979790500e-03       1.299642944719e+03 
       8.757214569446e-03       1.308006642916e+03 
       8.888511541496e-03       1.316140884228e+03 
       9.019868721331e-03       1.324048765908e+03 
       9.151284250039e-03       1.331734033992e+03 
       9.282756386994e-03       1.339199476593e+03 
       9.414283502372e-03       1.346448608876e+03 
       9.545864070270e-03       1.353484234921e+03 
       9.677496662351e-03       1.360309617554e+03 
       9.809179941995e-03       1.366929676069e+03 
       9.940912658886e-03       1.373344499764e+03 
       1.007269364402e-02       1.379557608617e+03 
       1.020452180510e-02       1.385572445977e+03 
       1.033639612222e-02       1.391391632990e+03 
       1.046831564399e-02       1.397018505549e+03 
       1.060027948378e-02       1.402454846915e+03 
       1.073228681639e-02       1.407704232401e+03 
       1.086433687490e-02       1.412769175806e+03 
       1.099642894770e-02       1.417652195550e+03 
       1.112856237583e-02       1.422356136087e+03 
       1.126073655044e-02       1.426883113613e+03 
       1.139295091047e-02       1.431236531856e+03 
       1.152520494046e-02       1.435418084377e+03 
       1.165749816853e-02       1.439429981015e+03 
       1.178983016452e-02       1.443276017444e+03 
       1.192220053825e-02       1.446957120744e+03 
       1.205460893787e-02       1.450476077825e+03 
       1.218705504840e-02       1.453835699067e+03 
       1.231953859028e-02       1.457038386505e+03 
       1.245205931810e-02       1.460084583313e+03 
       1.258461701939e-02       1.462978934055e+03 
       1.271721151347e-02       1.465722164079e+03 
       1.284984265044e-02       1.468316816523e+03 
       1.298251031021e-02       1.470764221039e+03 
       1.311521440158e-02       1.473068259945e+03 
       1.324795486143e-02       1.475229938386e+03 
       1.338073165393e-02       1.477251044353e+03 
       1.351354476986e-02       1.479134495869e+03 
       1.364639422595e-02       1.480881815835e+03 
       1.377928006424e-02       1.482494814235e+03 
       1.391220235156e-02       1.483975739622e+03 
       1.404516117903e-02       1.485326717202e+03 
       1.417815666155e-02       1.486549838802e+03 
       1.431118893742e-02       1.487645712666e+03 
       1.444425816794e-02       1.488618250990e+03 
       1.457736453706e-02       1.489467350401e+03 
       1.471050825103e-02       1.490196132173e+03 
       1.484368953822e-02       1.490805483052e+03 
       1.497690864875e-02       1.491298122423e+03 
       1.511016585436e-02       1.491674800806e+03 
       1.524346144820e-02       1.491938544971e+03 
       1.537679574464e-02       1.492090328026e+03 
       1.551016907917e-02       1.492131928586e+03 
       1.564358180828e-02       1.492065496658e+03 
       1.577703430938e-02       1.491892140413e+03 
       1.591052698073e-02       1.491613953738e+03 
       1.604406024142e-02       1.491232581890e+03 
       1.617763453133e-02       1.490749651713e+03 
       1.631125031118e-02       1.490166406554e+03 
       1.644490806251e-02       1.489484862089e+03 
       1.657860828775e-02       1.488706647516e+03 
       1.671235151029e-02       1.487833303534e+03 
       1.684613827459e-02       1.486866439899e+03 
       1.697996914622e-02       1.485806308418e+03 
       1.711384471207e-02       1.484655688477e+03 
       1.724776558040e-02       1.483417275706e+03 
       1.738173238109e-02       1.482091378045e+03 
       1.751574576578e-02       1.480678028136e+03 
       1.764980640804e-02       1.479180282396e+03 
       1.778391500363e-02       1.477599397669e+03 
       1.791807227070e-02       1.475936973975e+03 
       1.805227895006e-02       1.474193643785e+03 
       1.818653580541e-02       1.472371822078e+03 
       1.832084362365e-02       1.470471758376e+03 
       1.845520321520e-02       1.468495646008e+03 
       1.858961541424e-02       1.466443931108e+03 
       1.872408107911e-02       1.464319269054e+03 
       1.885860109264e-02       1.462122422477e+03 
       1.899317636251e-02       1.459853216818e+03 
       1.912780782161e-02       1.457515335679e+03 
       1.926249642850e-02       1.455107417667e+03 
       1.939724316775e-02       1.452635152212e+03 
       1.953204905044e-02       1.450092795908e+03 
       1.966691511458e-02       1.447490098216e+03 
       1.980184242558e-02       1.444820916957e+03 
       1.993683207674e-02       1.442090607476e+03 
       2.007188518977e-02       1.439299632144e+03 
       2.020700291530e-02       1.436446494595e+03 
       2.034218643342e-02       1.433535327427e+03 
       2.047743695426e-02       1.430567335860e+03 
       2.061275571856e-02       1.427542762900e+03 
       2.074814399829e-02       1.424462432917e+03 
       2.088360309724e-02       1.421327702242e+03 
       2.101913435170e-02       1.418139686006e+03 
       2.115473913110e-02       1.414899373930e+03 
       2.129041883873e-02       1.411611003131e+03 
       2.142617491241e-02       1.408269800086e+03 
       2.156200882525e-02       1.404881553013e+03 
       2.169792208640e-02       1.401444982755e+03 
       2.183391624183e-02       1.397961591928e+03 
       2.196999287514e-02       1.394433639660e+03 
       2.210615360838e-02       1.390858719536e+03 
       2.224240010293e-02       1.387243573198e+03 
       2.237873406036e-02       1.383582834972e+03 
       2.251515722336e-02       1.379881390108e+03 
       2.265167137665e-02       1.376142492831e+03 
       2.278827834800e-02       1.372361132629e+03 
       2.292498000920e-02       1.368541055811e+03 
       2.306177827707e-02       1.364685221703e+03 
       2.319867511457e-02       1.360791043982e+03 
       2.333567253186e-02       1.356862669786e+03 
       2.347277258747e-02       1.352897889314e+03 
       2.360997738941e-02       1.348901054128e+03 
       2.374728909641e-02       1.344869984950e+03 
       2.388470991917e-02       1.340809675661e+03 
       2.402224212160e-02       1.336717017731e+03 
       2.415988802217e-02       1.332593643751e+03 
       2.429764999526e-02       1.328438729337e+03 
       2.443553047256e-02       1.324258135125e+03 
       2.457353194453e-02       1.320051332551e+03 
       2.471165696187e-02       1.315815758533e+03 
       2.484990813710e-02       1.311554294783e+03 
       2.498828814611e-02       1.307268923334e+03 
       2.512679972984e-02       1.302956923501e+03 
       2.526544569592e-02       1.298623203832e+03 
       2.540422892050e-02       1.294267655625e+03 
       2.554315234997e-02       1.289888603196e+03 
       2.568221900292e-02       1.285487695415e+03 
       2.582143197196e-02       1.281065723920e+03 
       2.596079442580e-02       1.276625219542e+03 
       2.610030961129e-02       1.272166310939e+03 
       2.623998085549e-02       1.267691384576e+03 
       2.637981156794e-02       1.263194384526e+03 
       2.651980524290e-02       1.258683004281e+03 
       2.665996546168e-02       1.254153371143e+03 
       2.680029589511e-02       1.249610609661e+03 
       2.694080030602e-02       1.245050113306e+03 
       2.708148255186e-02       1.240477953910e+03 
       2.722234658737e-02       1.235892132615e+03 
       2.736339646738e-02       1.231291135800e+03 
       2.750463634970e-02       1.226676508878e+03 
       2.764607049807e-02       1.222054481835e+03 
       2.778770328530e-02       1.217416607348e+03 
       2.792953919641e-02       1.212774242973e+03 
       2.807158283200e-02       1.208116606297e+03 
       2.821383891169e-02       1.203449145402e+03 
       2.835631227763e-02       1.198773505234e+03 
       2.849900789825e-02       1.194090523902e+03 
       2.864193087208e-02       1.189401274512e+03 
       2.878508643170e-02       1.184699900602e+03 
       2.892847994792e-02       1.179995357216e+03 
       2.907211693401e-02       1.175280989496e+03 
       2.921600305018e-02       1.170568185497e+03 
       2.936014410820e-02       1.165841922561e+03 
       2.950454607619e-02       1.161113918564e+03 
       2.964921508358e-02       1.156380429610e+03 
       2.979415742637e-02       1.151645870973e+03 
       2.993937957245e-02       1.146904958143e+03 
       3.008488816723e-02       1.142161010919e+03 
       3.023069003948e-02       1.137414448253e+03 
       3.037679220740e-02       1.132665316622e+03 
       3.052320188494e-02       1.127914123875e+03 
       3.066992648838e-02       1.123162753500e+03 
       3.081697364318e-02       1.118411799504e+03 
       3.096435119115e-02       1.113654103838e+03 
       3.111206719787e-02       1.108898588464e+03 
       3.126012996051e-02       1.104144828174e+03 
       3.140854801586e-02       1.099394173049e+03 
       3.155733014887e-02       1.094639850495e+03 
       3.170648540141e-02       1.089887063894e+03 
       3.185602308155e-02       1.085136311149e+03 
       3.200595277315e-02       1.080390759808e+03 
       3.215628434598e-02       1.075642467881e+03 
       3.230702796621e-02       1.070899046115e+03 
       3.245819410741e-02       1.066157980781e+03 
       3.260979356215e-02       1.061416088403e+03 
       3.276183745398e-02       1.056681391580e+03 
       3.291433725013e-02       1.051950858168e+03 
       3.306730477471e-02       1.047221951637e+03 
       3.322075222260e-02       1.042494088355e+03 
       3.337469217403e-02       1.037775318027e+03 
       3.352913760980e-02       1.033062998092e+03 
       3.368410192736e-02       1.028350490264e+03 
       3.383959895760e-02       1.023644611968e+03 
       3.399564298254e-02       1.018944014350e+03 
       3.415224875396e-02       1.014247376290e+03 
       3.430943151287e-02       1.009559478658e+03 
       3.446720701016e-02       1.004871890636e+03 
       3.462559152820e-02       1.000195706247e+03 
       3.478460190367e-02       9.955222789282e+02 
       3.494425555159e-02       9.908568176288e+02 
       3.510457049068e-02       9.861953787432e+02 
       3.526556537007e-02       9.815457383306e+02 
       3.542725949757e-02       9.768980961089e+02 
