# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.549543637103e+00 
       2.373043761528e-05       7.947157843906e+00 
       3.705205197341e-05       1.231102176718e+01 
       5.046040160262e-05       1.667064830975e+01 
       6.399420676399e-05       2.104615484187e+01 
       7.769321405898e-05       2.545453204736e+01 
       9.159857522556e-05       2.991152572776e+01 
       1.057532435558e-04       3.443247039307e+01 
       1.202023933008e-04       3.903276249163e+01 
       1.349938674647e-04       4.372818272054e+01 
       1.501786593808e-04       4.853514993922e+01 
       1.658114333596e-04       5.347094311100e+01 
       1.819510894196e-04       5.855391001472e+01 
       1.986613765579e-04       6.380367308185e+01 
       2.160115580438e-04       6.924133771546e+01 
       2.340771306401e-04       7.488970626780e+01 
       2.529405972213e-04       8.077349830210e+01 
       2.726922886571e-04       8.691957646691e+01 
       2.934312256600e-04       9.335717381469e+01 
       3.152660040981e-04       1.001181167873e+02 
       3.383156775180e-04       1.072370345345e+02 
       3.627105977775e-04       1.147515399414e+02 
       3.885931583209e-04       1.227023636805e+02 
       4.161183645581e-04       1.311334157023e+02 
       4.454541324261e-04       1.400917412742e+02 
       4.767811907995e-04       1.496273326563e+02 
       5.102924387431e-04       1.597927486850e+02 
       5.461915893473e-04       1.706424927959e+02 
       5.846909251320e-04       1.822320999131e+02 
       6.260080050474e-04       1.946168912541e+02 
       6.703612104985e-04       2.078503748334e+02 
       7.179641068864e-04       2.219823045001e+02 
       7.690187318622e-04       2.370564558679e+02 
       8.237080952403e-04       2.531082378902e+02 
       8.821883665213e-04       2.701623154323e+02 
       9.445813962622e-04       2.882304642684e+02 
       1.010968318642e-03       3.073099152151e+02 
       1.081384969221e-03       3.273824002886e+02 
       1.155819700313e-03       3.484140655120e+02 
       1.234213899658e-03       3.703563034619e+02 
       1.316465168833e-03       3.931474253798e+02 
       1.402432774394e-03       4.167149967157e+02 
       1.491944724558e-03       4.409785870095e+02 
       1.584805697329e-03       4.658526327820e+02 
       1.680805061300e-03       4.912491712602e+02 
       1.779724358910e-03       5.170802826063e+02 
       1.881343813733e-03       5.432600940520e+02 
       1.985447627100e-03       5.697063186347e+02 
       2.091828006459e-03       5.963413797869e+02 
       2.200287998256e-03       6.230931234628e+02 
       2.310643277916e-03       6.498943768890e+02 
       2.422723085604e-03       6.766855405088e+02 
       2.536370500476e-03       7.034123827959e+02 
       2.651442230081e-03       7.300263517310e+02 
       2.767808065318e-03       7.564843022180e+02 
       2.885350122018e-03       7.827483757225e+02 
       3.003961962113e-03       8.087852804995e+02 
       3.123547662764e-03       8.345661144878e+02 
       3.244020881646e-03       8.600657997644e+02 
       3.365303950641e-03       8.852626952835e+02 
       3.487327018288e-03       9.101382355767e+02 
       3.610027252458e-03       9.346765640340e+02 
       3.733348108622e-03       9.588644082239e+02 
       3.857238664757e-03       9.826904893713e+02 
       3.981653021215e-03       1.006145524881e+03 
       4.106549762154e-03       1.029222132562e+03 
       4.231891474164e-03       1.051914179232e+03 
       4.357644317282e-03       1.074217351245e+03 
       4.483777643502e-03       1.096128091375e+03 
       4.610263657980e-03       1.117644396163e+03 
       4.737077118433e-03       1.138764759662e+03 
       4.864195068510e-03       1.159488778629e+03 
       4.991596601329e-03       1.179816849321e+03 
       5.119262649698e-03       1.199749580784e+03 
       5.247175799933e-03       1.219288717067e+03 
       5.375320126495e-03       1.238435843990e+03 
       5.503681045008e-03       1.257193380595e+03 
       5.632245181484e-03       1.275564334372e+03 
       5.761000255846e-03       1.293551452257e+03 
       5.889934978076e-03       1.311158083457e+03 
       6.019038955502e-03       1.328387752466e+03 
       6.148302609931e-03       1.345244049256e+03 
       6.277717103485e-03       1.361731057517e+03 
       6.407274272154e-03       1.377853109552e+03 
       6.536966566162e-03       1.393613867210e+03 
       6.666786996400e-03       1.409017636778e+03 
       6.796729086234e-03       1.424068640263e+03 
       6.926786828089e-03       1.438771317765e+03 
       7.056954644300e-03       1.453130567400e+03 
       7.187227351743e-03       1.467150647712e+03 
       7.317600129859e-03       1.480835897184e+03 
       7.448068491705e-03       1.494190912066e+03 
       7.578628257697e-03       1.507220385707e+03 
       7.709275531791e-03       1.519928110482e+03 
       7.840006679834e-03       1.532319592385e+03 
       7.970818309857e-03       1.544398766677e+03 
       8.101707254141e-03       1.556169399141e+03 
       8.232670552846e-03       1.567636784808e+03 
       8.363705439076e-03       1.578805066256e+03 
       8.494809325229e-03       1.589677491623e+03 
       8.625979790500e-03       1.600259239746e+03 
       8.757214569446e-03       1.610554477960e+03 
       8.888511541496e-03       1.620567171376e+03 
       9.019868721331e-03       1.630301122714e+03 
       9.151284250039e-03       1.639760845602e+03 
       9.282756386994e-03       1.648951916932e+03 
       9.414283502372e-03       1.657875691399e+03 
       9.545864070270e-03       1.666535939330e+03 
       9.677496662351e-03       1.674937256677e+03 
       9.809179941995e-03       1.683083606432e+03 
       9.940912658886e-03       1.690978112813e+03 
       1.007269364402e-02       1.698624832389e+03 
       1.020452180510e-02       1.706027396934e+03 
       1.033639612222e-02       1.713189008387e+03 
       1.046831564399e-02       1.720113777273e+03 
       1.060027948378e-02       1.726803898175e+03 
       1.073228681639e-02       1.733263769266e+03 
       1.086433687490e-02       1.739496489528e+03 
       1.099642894770e-02       1.745505160114e+03 
       1.112856237583e-02       1.751293285845e+03 
       1.126073655044e-02       1.756863474772e+03 
       1.139295091047e-02       1.762219917565e+03 
       1.152520494046e-02       1.767364700223e+03 
       1.165749816853e-02       1.772300545496e+03 
       1.178983016452e-02       1.777032126390e+03 
       1.192220053825e-02       1.781560584780e+03 
       1.205460893787e-02       1.785889351755e+03 
       1.218705504840e-02       1.790021887069e+03 
       1.231953859028e-02       1.793961147865e+03 
       1.245205931810e-02       1.797707679622e+03 
       1.258461701939e-02       1.801267201865e+03 
       1.271721151347e-02       1.804640608325e+03 
       1.284984265044e-02       1.807831031775e+03 
       1.298251031021e-02       1.810840111790e+03 
       1.311521440158e-02       1.813672631936e+03 
       1.324795486143e-02       1.816329831987e+03 
       1.338073165393e-02       1.818813918727e+03 
       1.351354476986e-02       1.821128488459e+03 
       1.364639422595e-02       1.823275420655e+03 
       1.377928006424e-02       1.825256953266e+03 
       1.391220235156e-02       1.827075878669e+03 
       1.404516117903e-02       1.828734763058e+03 
       1.417815666155e-02       1.830236176238e+03 
       1.431118893742e-02       1.831580872585e+03 
       1.444425816794e-02       1.832773696061e+03 
       1.457736453706e-02       1.833814516494e+03 
       1.471050825103e-02       1.834707178722e+03 
       1.484368953822e-02       1.835452773641e+03 
       1.497690864875e-02       1.836054650992e+03 
       1.511016585436e-02       1.836513736544e+03 
       1.524346144820e-02       1.836833757582e+03 
       1.537679574464e-02       1.837015913502e+03 
       1.551016907917e-02       1.837062397332e+03 
       1.564358180828e-02       1.836975855620e+03 
       1.577703430938e-02       1.836757655190e+03 
       1.591052698073e-02       1.836410375624e+03 
       1.604406024142e-02       1.835936042842e+03 
       1.617763453133e-02       1.835336662087e+03 
       1.631125031118e-02       1.834613765454e+03 
       1.644490806251e-02       1.833769835398e+03 
       1.657860828775e-02       1.832806879643e+03 
       1.671235151029e-02       1.831726795698e+03 
       1.684613827459e-02       1.830531567394e+03 
       1.697996914622e-02       1.829221505977e+03 
       1.711384471207e-02       1.827800034197e+03 
       1.724776558040e-02       1.826270473188e+03 
       1.738173238109e-02       1.824633202237e+03 
       1.751574576578e-02       1.822888262707e+03 
       1.764980640804e-02       1.821039420289e+03 
       1.778391500363e-02       1.819088222818e+03 
       1.791807227070e-02       1.817036639965e+03 
       1.805227895006e-02       1.814885455197e+03 
       1.818653580541e-02       1.812637639771e+03 
       1.832084362365e-02       1.810293505113e+03 
       1.845520321520e-02       1.807855750290e+03 
       1.858961541424e-02       1.805324925815e+03 
       1.872408107911e-02       1.802704305347e+03 
       1.885860109264e-02       1.799994825389e+03 
       1.899317636251e-02       1.797196274594e+03 
       1.912780782161e-02       1.794313188712e+03 
       1.926249642850e-02       1.791343892181e+03 
       1.939724316775e-02       1.788295392181e+03 
       1.953204905044e-02       1.785160616151e+03 
       1.966691511458e-02       1.781951573468e+03 
       1.980184242558e-02       1.778660698906e+03 
       1.993683207674e-02       1.775294586439e+03 
       2.007188518977e-02       1.771853808505e+03 
       2.020700291530e-02       1.768336525444e+03 
       2.034218643342e-02       1.764747823084e+03 
       2.047743695426e-02       1.761089186692e+03 
       2.061275571856e-02       1.757360916120e+03 
       2.074814399829e-02       1.753564025822e+03 
       2.088360309724e-02       1.749700190380e+03 
       2.101913435170e-02       1.745770782829e+03 
       2.115473913110e-02       1.741777016398e+03 
       2.129041883873e-02       1.737724114550e+03 
